"Continent","Country","Province","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Rate of Death","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Asia","Afghanistan","None","2020-03-27",2.2327899147676606,-31.900914783087458,1.214896261212217,16.600890957453785,0.08209360706356844,3.0254383943025314,0.09741315191638622
"Europe","Albania","None","2020-03-23",1.5994459982908884,-26.67188443160708,1.552713913067924,10.0887915806899,0.06245029096730658,2.2378393103589245,0.13551670579053693
"Africa","Algeria","None","2020-03-21",1.1691067150783447,-13.08791539100328,1.182151383949249,6.090606432153615,0.18929903717998076,6.765982896390282,3.435860701009878
"Europe","Andorra","None","2020-03-22",1.2084369106851138,-24.154523792601378,2.7142654048087937,6.298483004604315,0.061187112426876716,3.0769233383030286,0.5089614075625625
"South America","Argentina","None","2020-03-20",0.6596742800398046,-10.79642097764387,0.4598707054076649,16.129950790281523,0.10840439525133674,3.865954782935842,1.4478358622501217
"Asia","Armenia","None","2020-03-19",1.6827309426011265,-30.90311106267478,1.0987199389553708,12.706817859453515,0.029437055030557404,2.56058961492595,0.07900467598262416
"Oceania","Australia","Australian Capital Territory","2020-04-09",0.5653207505092562,-41.806973341294125,4.684183458560062,19.096489495111506,0.027477740037174656,0.04638455582074902,0.04587580352783985
"Oceania","Australia","New South Wales","2020-03-14",1.3409050679058991,-3.6003571455701553,4.638103526107133,16.021686856603523,0.015008398802614165,1.7237553828412147,5.384005982349394
"Oceania","Australia","Queensland","2020-03-19",0.34736274855249444,-13.292554516081482,3.7520848811758842,16.293265619929432,0.009016262717540004,4.432835000994772,0.8667731452504123
"Oceania","Australia","South Australia","2020-03-22",0.3444055139772625,-30.960734132296203,3.6405391147582744,13.34118834013415,0.012318770053866565,1.6013249511904784,1.5437279252173
"Oceania","Australia","Tasmania","2020-04-09",0.5063346282292878,-27.024542258293422,2.6682515570700835,16.35890077263968,0.08571340230550746,0.6750190723025797,0.38951380822093934
"Oceania","Australia","Victoria","2020-03-18",0.4671965712575084,-11.515120643502748,3.636369300919923,15.982323755501369,0.01875944580519133,7.98361709973327,0.10249240283330507
"Oceania","Australia","Western Australia","2020-03-22",0.37185606892634304,-24.10477981955371,2.93683365403732,16.438265242644377,0.01932325773508677,2.809841483045452,0.5211707902324748
"Europe","Austria","None","2020-03-08",1.762170854129744,-2.5655757269993917,4.059396471048423,19.254701636770207,0.057410334588774724,14.546464889242506,5.555756094296836
"Asia","Azerbaijan","None","2020-03-26",1.1604643500418725,-5.03206569015975,3.084396589699276,16.77470095953455,0.024633092078554096,4.725612751668452,0.46309973318986486
"Asia","Bahrain","None","2020-03-10",0.873907815226643,-0.14261339764595307,0.518254514314658,13.844162464378691,0.007866838668837152,0.16824589255252276,0.32939780760723847
"Asia","Bangladesh","None","2020-04-06",1.5004724603248758,-0.7438936602895935,2.1300098362713755,12.799431396560838,0.08937970324782914,6.863516086226904,5.531773752405923
"Europe","Belarus","None","2020-03-30",1.3114983670887175,3.5421281849855646,1.9218075511985984,19.679780769862944,0.029877608174116173,4.6720562831501855,0.14489332418084236
"Europe","Belgium","None","2020-03-06",1.5718271890559827,8.238093734845908,2.4974373754038703,12.400671445571595,0.2686991896601797,2.5699577573309926,0.04883653239107079
"South America","Bolivia","None","2020-03-31",2.270475120749985,-18.816822124479245,1.6410600380117448,16.166016027402726,0.14838174797434897,1.2536890817913124,0.5173447815501108
"Europe","Bosnia and Herzegovina","None","2020-03-22",1.2332373641792076,-23.70038393837776,1.2439445407124143,12.8945268208385,0.07033001462072624,3.5065332337246775,0.08992400699731007
"South America","Brazil","None","2020-03-13",0.9613730876025471,5.794745641968683,0.5897023970902604,11.925132981071156,0.15860528652980804,7.368965559090569,0.2657891293699843
"Europe","Bulgaria","None","2020-03-20",1.8303152279980566,-27.0979344984513,1.4925901691399182,15.400853988139906,0.0850100718154511,2.00779092828578,0.26692838772396643
"Africa","Burkina Faso","None","2020-03-24",1.8290660668990912,-31.292537139235385,2.4431384378601804,13.34428604686791,0.1041433341262099,2.4554078625535247,0.36981479325346095
"Asia","Cambodia","None","2020-03-29",0.8286309238680011,-24.402334545036567,2.88177959943224,8.154285753635625,0.004587587077103809,0.071941935672784,0.07071937878459891
"Africa","Cameroon","None","2020-03-29",1.181523244579712,-29.837326233713448,1.677358061802632,9.999992607100692,0.04769100541199971,5.124262340036504,1.6760830367138304
"North America","Canada","Alberta","2020-03-19",1.2735988155427722,-17.68521984349315,0.6263424695590318,21.6619714916928,0.06063471082096789,1.8604063145048264,0.23899875115241076
"North America","Canada","British Columbia","2020-03-16",1.44187790476002,-13.342227332245729,2.3909995907806256,20.6149925793118,0.10039980370587673,5.71641801790765,1.1119827658695247
