Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
None,None,None,2020-03-07,203,101,15,15,17,4
None,None,None,2020-03-08,823,663,101,108,53,25
None,None,None,2020-03-09,1493,1232,188,209,94,47
None,None,None,2020-03-10,2286,1881,290,328,139,70
None,None,None,2020-03-11,3225,2624,407,469,188,99
None,None,None,2020-03-12,4447,3591,561,652,244,134
None,None,None,2020-03-13,5791,4603,722,853,312,172
None,None,None,2020-03-14,7508,5894,929,1110,395,219
None,None,None,2020-03-15,9470,7332,1162,1404,494,271
None,None,None,2020-03-16,12347,9510,1507,1827,625,353
None,None,None,2020-03-17,17798,14039,2215,2643,801,521
None,None,None,2020-03-18,24514,19452,3069,3651,1049,722
None,None,None,2020-03-19,32863,26039,4109,4895,1371,967
None,None,None,2020-03-20,42802,33663,5325,6378,1780,1252
None,None,None,2020-03-21,54269,42209,6699,8094,2291,1569
None,None,None,2020-03-22,66978,51355,8181,9996,2876,1906
None,None,None,2020-03-23,81454,61605,9853,12163,3541,2282
None,None,None,2020-03-24,97108,72222,11595,14497,4296,2676
None,None,None,2020-03-25,113533,82897,13377,16956,5136,3071
None,None,None,2020-03-26,130963,93851,15220,19573,6044,3468
None,None,None,2020-03-27,149414,105035,17115,22336,7027,3880
None,None,None,2020-03-28,168642,116224,19037,25223,8076,4291
None,None,None,2020-03-29,188734,127505,20987,28235,9188,4700
None,None,None,2020-03-30,209806,138978,22990,31392,10371,5116
None,None,None,2020-03-31,231600,150391,24995,34661,11612,5532
None,None,None,2020-04-01,254106,161749,27016,38038,12911,5941
None,None,None,2020-04-02,277361,173075,29043,41525,14265,6357
None,None,None,2020-04-03,301325,184346,31082,45124,15670,6762
None,None,None,2020-04-04,325967,195533,33124,48817,17126,7157
None,None,None,2020-04-05,351255,206618,35158,52607,18631,7563
None,None,None,2020-04-06,377136,217546,37184,56492,20176,7957
None,None,None,2020-04-07,403543,228293,39197,60454,21763,8345
None,None,None,2020-04-08,430457,238829,41188,64490,23384,8721
None,None,None,2020-04-09,457822,249127,43151,68597,25038,9088
None,None,None,2020-04-10,485606,259170,45086,72762,26717,9444
None,None,None,2020-04-11,513767,268939,46980,76990,28431,9797
None,None,None,2020-04-12,542242,278393,48842,81256,30165,10131
None,None,None,2020-04-13,570992,287512,50652,85573,31917,10450
