Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Asia,Afghanistan,None,2020-03-27,3.445,1.637652503870328,-94.87505866278877,0.2565787011294307,1.7307270101315826,0.018472620202040258,2.060776106617426,0.11988510715808322
Europe,Albania,None,2020-03-23,5.684,0.5425633844749952,-108.32703783388139,0.10722136597048672,1.7178409711585285,0.02910060473604418,0.415591328823781,1.543019387224614
Africa,Algeria,None,2020-03-21,4.404,0.8834597090296108,-52.42776901197944,0.27046282885551864,5.19847674431329,0.07525569707230587,1.9511052732977767,7.043646951995625
Europe,Andorra,None,2020-03-22,2.727,3.5313126242063895,-2.088747210662097,17.205723380113113,0.09312086726882295,0.06510533526756619,0.553580859078867,1.022569989986874
South America,Argentina,None,2020-03-20,4.466,0.5092207849916807,-0.7469711020639811,0.006936119439375148,1.367667011359279,0.03482645262818983,0.12642453543473592,2.813962669925965
Oceania,Australia,Australian Capital Territory,2020-04-09,0.294,2.1808704852626724,-1.7270639258415066,17.508434965956194,0.2377266652748453,0.010596730239869432,0.010466222284480645,0.021092838032505747
Oceania,Australia,New South Wales,2020-03-14,1.062,29.24784313276962,-0.05430277365579632,196.78219958989078,0.041672100369870485,0.016489248431906564,9.23391332485825,0.13112308129881772
Oceania,Australia,Queensland,2020-03-19,3.625,0.37278341782750063,-5.299430288605954,10.537608819168241,0.13520524540984274,0.005913872101934235,5.575983355441139,0.11040898134652143
Oceania,Australia,South Australia,2020-03-22,1.175,0.0054388836729659246,-383.6241984202173,82.02311401221236,0.09352441282964073,0.009317350168023786,2.0189109214040726,1.38572129992214
Oceania,Australia,Tasmania,2020-04-09,0.74,0.011336752797762898,-241.86094238015895,61.55263289881067,0.1357973732469927,0.04862505186323894,0.9988507690304064,0.26309776308576477
Oceania,Australia,Victoria,2020-03-18,1.797,0.6086517154786114,-69.81256759834541,0.43473025825130956,0.20887704528951054,0.01188579724754215,5.43316186288041,0.22770927229712196
Oceania,Australia,Western Australia,2020-03-22,2.186,0.3766229244757495,-5.434515883386091,4.28691998264035,0.08009410226993255,0.014574806024878217,2.5355225493994635,0.47449424367105836
Europe,Austria,None,2020-03-08,2.656,10.048580374567788,-0.2320270413450107,29.22083915238339,0.061587073013398476,0.04341138894006357,12.913838990246177,0.4907915621720674
Asia,Azerbaijan,None,2020-03-26,4.898,0.8963512333734955,-73.75281256588886,0.15949263586547419,0.4434218549724006,0.012242723196428735,0.3776271547991147,0.8584719176835343
Asia,Bahrain,None,2020-03-10,4.165,0.5242829904239311,-0.058344510063143756,0.03147954316267397,2.0956939802822494,0.0016839669133790814,0.03831875642818997,1.3294678559337216
Asia,Bangladesh,None,2020-04-06,1.132,0.6075721040536355,-0.6787544301252667,0.11562507855520386,1.5741910100923873,0.01397470892323019,2.287268662778947,20.922470987849362
Europe,Belarus,None,2020-03-30,0.929,0.6821559067435834,0.2616970806879063,0.4222331287966074,1.365836562434386,0.005660683009007772,12.885841767754563,0.15641083985582746
Europe,Belgium,None,2020-03-06,1.591,2.0196955447852707,8.154854121849434,3.3339349051334985,0.19073547385167391,0.16933976726732447,1.094850282037362,0.02741395829251033
South America,Bolivia,None,2020-03-31,3.111,1.3251828930806346,-106.84109567402942,0.16999637889172634,1.9293863707858727,0.035550760797724165,0.27038691639492196,1.0258601805202712
Europe,Bosnia and Herzegovina,None,2020-03-22,1.602,1.1536217740250874,-38.75938247176585,0.6649150572166915,0.05343643827357698,0.07463083073077224,2.0990791142378886,0.6750528303720356
South America,Brazil,None,2020-03-13,3.03,0.7594330253371455,4.295749405706258,0.19314086304499198,2.596117883625665,0.05863547186878535,11.72663195183844,0.20819864931104853
