country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
Chile,,2020-01-22,-53,0,0,,,,,,
Chile,,2020-01-23,-52,0,0,,,,,,
Chile,,2020-01-24,-51,0,0,,,,,,
Chile,,2020-01-25,-50,0,0,,,,,,
Chile,,2020-01-26,-49,0,0,,,,,,
Chile,,2020-01-27,-48,0,0,,,,,,
Chile,,2020-01-28,-47,0,0,,,,,,
Chile,,2020-01-29,-46,0,0,,,,,,
Chile,,2020-01-30,-45,0,0,,,,,,
Chile,,2020-01-31,-44,0,0,,,,,,
Chile,,2020-02-01,-43,0,0,,,,,,
Chile,,2020-02-02,-42,0,0,,,,,,
Chile,,2020-02-03,-41,0,0,,,,,,
Chile,,2020-02-04,-40,0,0,,,,,,
Chile,,2020-02-05,-39,0,0,,,,,,
Chile,,2020-02-06,-38,0,0,,,,,,
Chile,,2020-02-07,-37,0,0,,,,,,
Chile,,2020-02-08,-36,0,0,,,,,,
Chile,,2020-02-09,-35,0,0,,,,,,
Chile,,2020-02-10,-34,0,0,,,,,,
Chile,,2020-02-11,-33,0,0,,,,,,
Chile,,2020-02-12,-32,0,0,,,,,,
Chile,,2020-02-13,-31,0,0,,,,,,
Chile,,2020-02-14,-30,0,0,,,,,,
Chile,,2020-02-15,-29,0,0,,,,,,
Chile,,2020-02-16,-28,0,0,,,,,,
Chile,,2020-02-17,-27,0,0,,,,,,
Chile,,2020-02-18,-26,0,0,,,,,,
Chile,,2020-02-19,-25,0,0,,,,,,
Chile,,2020-02-20,-24,0,0,,,,,,
Chile,,2020-02-21,-23,0,0,,,,,,
Chile,,2020-02-22,-22,0,0,,,,,,
Chile,,2020-02-23,-21,2,0,,,,,,
Chile,,2020-02-24,-20,2,0,,,,,,
Chile,,2020-02-25,-19,2,0,,,,,,
Chile,,2020-02-26,-18,2,0,,,,,,
Chile,,2020-02-27,-17,2,0,,,,,,
Chile,,2020-02-28,-16,2,0,,,,,,
Chile,,2020-02-29,-15,2,0,,,,,,
Chile,,2020-03-01,-14,9,0,,,,,,
Chile,,2020-03-02,-13,9,0,,,,,,
Chile,,2020-03-03,-12,10,0,,,,,,
Chile,,2020-03-04,-11,10,0,,,,,,
Chile,,2020-03-05,-10,13,0,,,,,,
Chile,,2020-03-06,-9,13,0,,,,,,
Chile,,2020-03-07,-8,13,0,,,,,,
Chile,,2020-03-08,-7,20,0,,,,,,
Chile,,2020-03-09,-6,20,0,,,,,,
Chile,,2020-03-10,-5,25,0,,,,,,
Chile,,2020-03-11,-4,35,0,,,,,,
Chile,,2020-03-12,-3,35,0,,,,,,
Chile,,2020-03-13,-2,55,0,,,,,,
Chile,,2020-03-14,-1,88,0,,,,,,
Chile,,2020-03-15,0,101,0,,,,,,
Chile,,2020-03-16,1,182,0,,,,,,
Chile,,2020-03-17,2,228,0,,,,,,
Chile,,2020-03-18,3,265,0,,,,,,
Chile,,2020-03-19,4,265,0,,,,,,
Chile,,2020-03-20,5,461,0,,,,,,
Chile,,2020-03-21,6,592,0,,,,,,
Chile,,2020-03-22,7,687,1,,,,,,
Chile,,2020-03-23,8,801,2,,,,,,
Chile,,2020-03-24,9,977,2,,,,,,
Chile,,2020-03-25,10,1197,3,,,,,,
Chile,,2020-03-26,11,1361,4,,,,,,
Chile,,2020-03-27,12,1665,5,,,,,,
Chile,,2020-03-28,13,2015,6,,,,,,
Chile,,2020-03-29,14,2245,7,,,,,,
Chile,,2020-03-30,15,2555,8,,,,,,
Chile,,2020-03-31,16,2844,12,,,,,,
Chile,,2020-04-01,17,3137,16,,,,,,
Chile,,2020-04-02,18,3510,18,,,,,,
Chile,,2020-04-03,19,3843,22,,,,,,
Chile,,2020-04-04,20,4355,27,,,,,,
Chile,,2020-04-05,21,4665,34,,,,,,
Chile,,2020-04-06,22,5009,37,,,,,,
Chile,,2020-04-07,23,5310,43,,,,,,
Chile,,2020-04-08,24,5740,48,,,,,,
Chile,,2020-04-09,25,6166,57,,,,,,
Chile,,2020-04-10,26,6695,65,,,,,,
Chile,,2020-04-11,27,7366,73,,,,,,
Chile,,2020-04-12,28,7652,80,,,,,,
Chile,,2020-04-13,29,7964,82,,,,,,
Chile,,2020-04-14,30,8356,92,,,,,,
Chile,,2020-04-15,31,8712,94,,,,,,
Chile,,2020-04-16,32,9246,105,,,,,,
Chile,,2020-04-17,33,9691,116,,,,,,
Chile,,2020-04-18,34,10598,126,,,,,,
Chile,,2020-04-19,35,10956,133,,,,,,
Chile,,2020-04-20,36,11375,139,,,,,,
Chile,,2020-04-21,37,11700,147,,,,,,
Chile,,2020-04-22,38,12164,160,,,,,,
Chile,,2020-04-23,39,12680,168,,,,,,
Chile,,2020-04-24,40,13174,174,,,,,,
Chile,,2020-04-25,41,14537,181,,,,,,
Chile,,2020-04-26,42,15010,189,,,,,,
Chile,,2020-04-27,43,15492,198,,,,,,
Chile,,2020-04-28,44,16044,207,,,,,,
Chile,,2020-04-29,45,16564,216,,,,,,
Chile,,2020-04-30,46,17702,227,,,,,,
Chile,,2020-05-01,47,18687,234,,,,,,
Chile,,2020-05-02,48,21213,247,,,,,,
Chile,,2020-05-03,49,22441,260,,,,,,
Chile,,2020-05-04,50,23421,270,,,,,,
Chile,,2020-05-05,51,24794,275,,,,,,
Chile,,2020-05-06,52,25826,281,,,,,,
Chile,,2020-05-07,53,27359,285,,,,,,
Chile,,2020-05-08,54,28750,294,,,,,,
Chile,,2020-05-09,55,32208,304,,,,,,
Chile,,2020-05-10,56,33855,312,,,,,,
Chile,,2020-05-11,57,35052,323,,,,,,
Chile,,2020-05-12,58,36710,335,,,,,,
Chile,,2020-05-13,59,39370,346,,,,,,
Chile,,2020-05-14,60,42029,368,,,,,,
Chile,,2020-05-15,61,44531,394,,,,,,
Chile,,2020-05-16,62,50016,421,,,,,,
Chile,,2020-05-17,63,52369,450,,,,,,
Chile,,2020-05-18,64,54647,478,,,,,,
Chile,,2020-05-19,65,58167,509,,,,,,
Chile,,2020-05-20,66,62205,544,,,,,,
Chile,,2020-05-21,67,66169,589,,,,,,
Chile,,2020-05-22,68,70445,630,,,,,,
Chile,,2020-05-23,69,80287,673,,,,,,
Chile,,2020-05-24,70,83996,718,,,,,,
Chile,,2020-05-25,71,88891,761,,,,,,
Chile,,2020-05-26,72,92855,806,,,,,,
Chile,,2020-05-27,73,97183,841,,,,,,
Chile,,2020-05-28,74,101837,890,,,,,,
Chile,,2020-05-29,75,105532,944,,,,,,
Chile,,2020-05-30,76,118720,997,,,,,,
Chile,,2020-05-31,77,123550,1054,,,,,,
Chile,,2020-06-01,78,129020,1113,,,,,,
Chile,,2020-06-02,79,132548,1188,,,,,,
Chile,,2020-06-03,80,137490,1275,,,,,,
Chile,,2020-06-04,81,142154,1356,,,,,,
Chile,,2020-06-05,82,146361,1448,,,,,,
Chile,,2020-06-06,83,160351,1541,,,,,,
Chile,,2020-06-07,84,166756,1637,,,,,,
Chile,,2020-06-08,85,171452,2264,,,,,,
Chile,,2020-06-09,86,175365,2283,,,,,,
Chile,,2020-06-10,87,181062,2475,,,,,,
Chile,,2020-06-11,88,186698,2648,,,,,,
Chile,,2020-06-12,89,193452,2870,,,,,,
Chile,,2020-06-13,90,201634,3101,,,,,,
Chile,,2020-06-14,91,208572,3323,,,,,,
Chile,,2020-06-15,92,213715,3362,,,,,,
Chile,,2020-06-16,93,218728,3383,,,,,,
Chile,,2020-06-17,94,220628,3615,,,,,,
Chile,,2020-06-18,95,225103,3841,,,,,,
Chile,,2020-06-19,96,231393,4093,,,,,,
Chile,,2020-06-20,97,236748,4295,,,,,,
Chile,,2020-06-21,98,242355,4479,,,,,,
Chile,,2020-06-22,99,246963,4502,,,,,,
Chile,,2020-06-23,100,250767,4505,,,,,,
Chile,,2020-06-24,101,254416,4731,,,,,,
Chile,,2020-06-25,102,259064,4903,,,,,,
Chile,,2020-06-26,103,263360,5068,,,,,,
Chile,,2020-06-27,104,267766,5347,,,,,,
Chile,,2020-06-28,105,271982,5509,,,,,,
Chile,,2020-06-29,106,275999,5575,,,,,,
Chile,,2020-06-30,107,279393,5688,,,,,,
Chile,,2020-07-01,108,282043,5753,,,,,,
Chile,,2020-07-02,109,284541,5920,,,,,,
Chile,,2020-07-03,110,288089,6051,,,,,,
Chile,,2020-07-04,111,291847,6192,,,,,,
Chile,,2020-07-05,112,295532,6308,,,,,,
Chile,,2020-07-06,113,298557,6384,,,,,,
Chile,,2020-07-07,114,301019,6434,,,,,,
Chile,,2020-07-08,115,303083,6573,,,,,,
Chile,,2020-07-09,116,306216,6682,,,,,,
Chile,,2020-07-10,117,309274,6781,,,,,,
Chile,,2020-07-11,118,312029,6881,,,,,,
Chile,,2020-07-12,119,315041,6979,,,,,,
Chile,,2020-07-13,120,317657,7024,,,,,,
Chile,,2020-07-14,121,319493,7069,,,,,,
Chile,,2020-07-15,122,321205,7186,,,,,,
Chile,,2020-07-16,123,323698,7290,,,,,,
Chile,,2020-07-17,124,326439,8347,,,,,,
Chile,,2020-07-18,125,328846,8445,,,,,,
Chile,,2020-07-19,126,330930,8503,,,,,,
Chile,,2020-07-20,127,333029,8633,,,,,,
Chile,,2020-07-21,128,334683,8677,,,,,,
Chile,,2020-07-22,129,336402,8722,,,,,,
Chile,,2020-07-23,130,338759,8838,,,,,,
Chile,,2020-07-24,131,341304,8914,,,,,,
Chile,,2020-07-25,132,343592,9020,,,,,,
Chile,,2020-07-26,133,345790,9112,,,,,,
Chile,,2020-07-27,134,347923,9187,,,,,,
Chile,,2020-07-28,135,349800,9240,,,,,,
Chile,,2020-07-29,136,351575,9278,,,,,,
Chile,,2020-07-30,137,353536,9377,,,,,,
Chile,,2020-07-31,138,355667,9457,,,,,,
Chile,,2020-08-01,139,357658,9533,,,,,,
Chile,,2020-08-02,140,359731,9608,,,,,,
Chile,,2020-08-03,141,361493,9707,,,,,,
Chile,,2020-08-04,142,362962,9745,,,,,,
Chile,,2020-08-05,143,364723,9792,,,,,,
Chile,,2020-08-06,144,366671,9889,,,,,,
Chile,,2020-08-07,145,368825,9958,,,,,,
Chile,,2020-08-08,146,371023,10011,,,,,,
Chile,,2020-08-09,147,373056,10077,,,,,,
Chile,,2020-08-10,148,375044,10139,,,,,,
Chile,,2020-08-11,149,376616,10178,,,,,,
Chile,,2020-08-12,150,378168,10205,,,,,,
Chile,,2020-08-13,151,380034,10299,,,,,,
Chile,,2020-08-14,152,382111,10340,,,,,,
Chile,,2020-08-15,153,383902,10395,,,,,,
Chile,,2020-08-16,154,385946,10452,,,,,,
Chile,,2020-08-17,155,387502,10513,,,,,,
Chile,,2020-08-18,156,388855,10546,,,,,,
Chile,,2020-08-19,157,390037,10578,,,,,,
