country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
South Africa,Western Cape,2020-03-05,-19,0,0,,,,,,
South Africa,Western Cape,2020-03-07,-17,0,0,,,,,,
South Africa,Western Cape,2020-03-08,-16,0,0,,,,,,
South Africa,Western Cape,2020-03-09,-15,0,0,,,,,,
South Africa,Western Cape,2020-03-11,-13,1,0,,,,,,
South Africa,Western Cape,2020-03-12,-12,1,0,,,,,,
South Africa,Western Cape,2020-03-13,-11,3,0,,,,,,
South Africa,Western Cape,2020-03-14,-10,9,0,,,,,,
South Africa,Western Cape,2020-03-15,-9,14,0,,,,,,
South Africa,Western Cape,2020-03-16,-8,16,0,,,,,,
South Africa,Western Cape,2020-03-17,-7,21,0,,,,,,
South Africa,Western Cape,2020-03-18,-6,31,0,,,,,,
South Africa,Western Cape,2020-03-19,-5,46,0,,,,,,
South Africa,Western Cape,2020-03-20,-4,57,0,,,,,,
South Africa,Western Cape,2020-03-21,-3,75,0,,,,,,
South Africa,Western Cape,2020-03-22,-2,89,0,,,,,,
South Africa,Western Cape,2020-03-23,-1,100,0,,,,,,
South Africa,Western Cape,2020-03-24,0,113,0,,,,,,
South Africa,Western Cape,2020-03-25,1,183,0,,,,,,
South Africa,Western Cape,2020-03-26,2,229,0,,,,,,
South Africa,Western Cape,2020-03-27,3,0,0,,,,,,
South Africa,Western Cape,2020-03-28,4,271,0,,,,,,
South Africa,Western Cape,2020-03-29,5,310,0,,,,,,
South Africa,Western Cape,2020-03-30,6,324,0,,,,,,
South Africa,Western Cape,2020-03-31,7,325,1,,,,,,
South Africa,Western Cape,2020-04-01,8,326,1,,,,,,
South Africa,Western Cape,2020-04-02,9,353,1,,,,,,
South Africa,Western Cape,2020-04-03,10,374,1,,,,,,
South Africa,Western Cape,2020-04-04,11,433,1,,,,,,
South Africa,Western Cape,2020-04-05,12,454,2,,,,,,
South Africa,Western Cape,2020-04-06,13,462,3,,,,,,
South Africa,Western Cape,2020-04-07,14,0,3,,,,,,
South Africa,Western Cape,2020-04-08,15,495,3,,,,,,
South Africa,Western Cape,2020-04-09,16,515,3,,,,,,
South Africa,Western Cape,2020-04-10,17,541,6,,,,,,
South Africa,Western Cape,2020-04-11,18,546,7,,,,,,
South Africa,Western Cape,2020-04-12,19,587,7,,,,,,
South Africa,Western Cape,2020-04-13,20,617,8,,,,,,
South Africa,Western Cape,2020-04-14,21,643,8,,,,,,
South Africa,Western Cape,2020-04-15,22,657,8,,,,,,
South Africa,Western Cape,2020-04-16,23,675,13,,,,,,
South Africa,Western Cape,2020-04-17,24,717,15,,,,,,
South Africa,Western Cape,2020-04-18,25,836,16,,,,,,
South Africa,Western Cape,2020-04-19,26,868,17,,,,,,
South Africa,Western Cape,2020-04-20,27,940,17,,,,,,
South Africa,Western Cape,2020-04-21,28,1010,17,,,,,,
South Africa,Western Cape,2020-04-22,29,1079,22,,,,,,
South Africa,Western Cape,2020-04-23,30,1279,28,,,,,,
South Africa,Western Cape,2020-04-24,31,1413,30,,,,,,
South Africa,Western Cape,2020-04-25,32,1514,32,,,,,,
South Africa,Western Cape,2020-04-26,33,1608,33,,,,,,
South Africa,Western Cape,2020-04-27,34,1737,35,,,,,,
South Africa,Western Cape,2020-04-28,35,1870,38,,,,,,
South Africa,Western Cape,2020-04-29,36,2135,42,,,,,,
South Africa,Western Cape,2020-04-30,37,2342,42,,,,,,
South Africa,Western Cape,2020-05-01,38,2507,55,,,,,,
South Africa,Western Cape,2020-05-02,39,2700,56,,,,,,
South Africa,Western Cape,2020-05-03,40,3044,58,,,,,,
South Africa,Western Cape,2020-05-04,41,3362,64,,,,,,
South Africa,Western Cape,2020-05-05,42,3609,71,,,,,,
South Africa,Western Cape,2020-05-06,43,3760,73,,,,,,
South Africa,Western Cape,2020-05-07,44,3994,79,,,,,,
South Africa,Western Cape,2020-05-08,45,4497,88,,,,,,
South Africa,Western Cape,2020-05-09,46,4809,95,,,,,,
South Africa,Western Cape,2020-05-10,47,5168,98,,,,,,
South Africa,Western Cape,2020-05-11,48,5621,106,,,,,,
South Africa,Western Cape,2020-05-12,49,6105,106,,,,,,
South Africa,Western Cape,2020-05-13,50,6713,117,,,,,,
South Africa,Western Cape,2020-05-14,51,7235,129,,,,,,
South Africa,Western Cape,2020-05-15,52,7798,137,,,,,,
South Africa,Western Cape,2020-05-16,53,8404,149,,,,,,
South Africa,Western Cape,2020-05-17,54,9294,149,,,,,,
South Africa,Western Cape,2020-05-18,55,10035,166,,,,,,
South Africa,Western Cape,2020-05-19,56,10639,187,,,,,,
South Africa,Western Cape,2020-05-20,57,11262,210,,,,,,
South Africa,Western Cape,2020-05-21,58,12153,235,,,,,,
South Africa,Western Cape,2020-05-22,59,12888,257,,,,,,
South Africa,Western Cape,2020-05-23,60,13826,261,,,,,,
South Africa,Western Cape,2020-05-24,61,14740,281,,,,,,
South Africa,Western Cape,2020-05-25,62,15396,330,,,,,,
South Africa,Western Cape,2020-05-26,63,15829,363,,,,,,
