country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
France,,2020-01-22,-39,0,0,,,,,,
France,,2020-01-23,-38,0,0,,,,,,
France,,2020-01-24,-37,2,0,,,,,,
France,,2020-01-25,-36,3,0,,,,,,
France,,2020-01-26,-35,3,0,,,,,,
France,,2020-01-27,-34,3,0,,,,,,
France,,2020-01-28,-33,4,0,,,,,,
France,,2020-01-29,-32,5,0,,,,,,
France,,2020-01-30,-31,5,0,,,,,,
France,,2020-01-31,-30,5,0,,,,,,
France,,2020-02-01,-29,6,0,,,,,,
France,,2020-02-02,-28,6,0,,,,,,
France,,2020-02-03,-27,6,0,,,,,,
France,,2020-02-04,-26,6,0,,,,,,
France,,2020-02-05,-25,6,0,,,,,,
France,,2020-02-06,-24,6,0,,,,,,
France,,2020-02-07,-23,6,0,,,,,,
France,,2020-02-08,-22,11,0,,,,,,
France,,2020-02-09,-21,11,0,,,,,,
France,,2020-02-10,-20,11,0,,,,,,
France,,2020-02-11,-19,11,0,,,,,,
France,,2020-02-12,-18,11,0,,,,,,
France,,2020-02-13,-17,11,0,,,,,,
France,,2020-02-14,-16,11,0,,,,,,
France,,2020-02-15,-15,12,1,,,,,,
France,,2020-02-16,-14,12,1,,,,,,
France,,2020-02-17,-13,12,1,,,,,,
France,,2020-02-18,-12,12,1,,,,,,
France,,2020-02-19,-11,12,1,,,,,,
France,,2020-02-20,-10,12,1,,,,,,
France,,2020-02-21,-9,12,1,,,,,,
France,,2020-02-22,-8,12,1,,,,,,
France,,2020-02-23,-7,12,1,,,,,,
France,,2020-02-24,-6,12,1,,,,,,
France,,2020-02-25,-5,14,1,,,,,,
France,,2020-02-26,-4,18,2,,,,,,
France,,2020-02-27,-3,38,2,,,,,,
France,,2020-02-28,-2,57,2,,,,,,
France,,2020-02-29,-1,100,2,,,,,,
France,,2020-03-01,0,130,2,,,,,,
France,,2020-03-02,1,191,3,,,,,,
France,,2020-03-03,2,204,4,,,,,,
France,,2020-03-04,3,285,4,,,,,,
France,,2020-03-05,4,377,6,,,,,,
France,,2020-03-06,5,653,9,,,,,,
France,,2020-03-07,6,949,11,,,,,,
France,,2020-03-08,7,1126,19,,,,,,
France,,2020-03-09,8,1209,19,,,,,,
France,,2020-03-10,9,1784,33,,,,,,
France,,2020-03-11,10,2281,48,,,,,,
France,,2020-03-12,11,2281,48,,,,,,
France,,2020-03-13,12,3661,79,,,,,,
France,,2020-03-14,13,4469,91,,,,,,
France,,2020-03-15,14,4499,91,,,,,,
France,,2020-03-16,15,6633,148,,,,,,
France,,2020-03-17,16,7652,148,,,,,,
France,,2020-03-18,17,9043,148,,,,,,
France,,2020-03-19,18,10871,243,2229.0,,438.0,,519.0,519.0
France,,2020-03-20,19,12612,450,1256.0,,242.0,,317.0,836.0
France,,2020-03-21,20,14282,562,1540.0,,298.0,,368.0,1204.0
France,,2020-03-22,21,16018,674,1534.0,,309.0,,315.0,1519.0
France,,2020-03-23,22,19856,860,2053.0,,448.0,,377.0,1896.0
France,,2020-03-24,23,22304,1100,2618.0,,571.0,,743.0,2639.0
France,,2020-03-25,24,25233,1331,3166.0,,607.0,,834.0,3473.0
France,,2020-03-26,25,29155,1696,3097.0,,612.0,,888.0,4361.0
France,,2020-03-27,26,32964,1995,3059.0,,608.0,,814.0,5175.0
France,,2020-03-28,27,37575,2314,3353.0,,695.0,,969.0,6144.0
France,,2020-03-29,28,40174,2606,2685.0,,543.0,,543.0,6687.0
France,,2020-03-30,29,44550,3024,3108.0,,694.0,,861.0,7548.0
France,,2020-03-31,30,52128,3523,4145.0,,767.0,,1589.0,9137.0
France,,2020-04-01,31,56989,4403,4281.0,,771.0,,1647.0,10784.0
France,,2020-04-02,32,59105,5387,3845.0,,728.0,,1577.0,12361.0
France,,2020-04-03,33,64338,6507,3627.0,,640.0,,1655.0,14016.0
France,,2020-04-04,34,68605,7560,2822.0,,502.0,,1495.0,15511.0
France,,2020-04-05,35,70478,8078,1931.0,,390.0,,773.0,16284.0
France,,2020-04-06,36,74390,8911,2754.0,,478.0,,1133.0,17417.0
France,,2020-04-07,37,78167,10328,3277.0,,518.0,,2161.0,19578.0
France,,2020-04-08,38,82048,10869,3139.0,,482.0,,2022.0,21600.0
France,,2020-04-09,39,86334,12210,2990.0,,369.0,,2032.0,23632.0
France,,2020-04-10,40,90676,13197,3161.0,,431.0,,1967.0,25599.0
France,,2020-04-11,41,93790,13832,2044.0,,255.0,,1527.0,27126.0
