country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
Liberia,,2020-01-22,-90,0,0,,,,,,
Liberia,,2020-01-23,-89,0,0,,,,,,
Liberia,,2020-01-24,-88,0,0,,,,,,
Liberia,,2020-01-25,-87,0,0,,,,,,
Liberia,,2020-01-26,-86,0,0,,,,,,
Liberia,,2020-01-27,-85,0,0,,,,,,
Liberia,,2020-01-28,-84,0,0,,,,,,
Liberia,,2020-01-29,-83,0,0,,,,,,
Liberia,,2020-01-30,-82,0,0,,,,,,
Liberia,,2020-01-31,-81,0,0,,,,,,
Liberia,,2020-02-01,-80,0,0,,,,,,
Liberia,,2020-02-02,-79,0,0,,,,,,
Liberia,,2020-02-03,-78,0,0,,,,,,
Liberia,,2020-02-04,-77,0,0,,,,,,
Liberia,,2020-02-05,-76,0,0,,,,,,
Liberia,,2020-02-06,-75,0,0,,,,,,
Liberia,,2020-02-07,-74,0,0,,,,,,
Liberia,,2020-02-08,-73,0,0,,,,,,
Liberia,,2020-02-09,-72,0,0,,,,,,
Liberia,,2020-02-10,-71,0,0,,,,,,
Liberia,,2020-02-11,-70,0,0,,,,,,
Liberia,,2020-02-12,-69,0,0,,,,,,
Liberia,,2020-02-13,-68,0,0,,,,,,
Liberia,,2020-02-14,-67,0,0,,,,,,
Liberia,,2020-02-15,-66,0,0,,,,,,
Liberia,,2020-02-16,-65,0,0,,,,,,
Liberia,,2020-02-17,-64,0,0,,,,,,
Liberia,,2020-02-18,-63,0,0,,,,,,
Liberia,,2020-02-19,-62,0,0,,,,,,
Liberia,,2020-02-20,-61,0,0,,,,,,
Liberia,,2020-02-21,-60,0,0,,,,,,
Liberia,,2020-02-22,-59,0,0,,,,,,
Liberia,,2020-02-23,-58,0,0,,,,,,
Liberia,,2020-02-24,-57,0,0,,,,,,
Liberia,,2020-02-25,-56,0,0,,,,,,
Liberia,,2020-02-26,-55,0,0,,,,,,
Liberia,,2020-02-27,-54,0,0,,,,,,
Liberia,,2020-02-28,-53,0,0,,,,,,
Liberia,,2020-02-29,-52,0,0,,,,,,
Liberia,,2020-03-01,-51,0,0,,,,,,
Liberia,,2020-03-02,-50,0,0,,,,,,
Liberia,,2020-03-03,-49,0,0,,,,,,
Liberia,,2020-03-04,-48,0,0,,,,,,
Liberia,,2020-03-05,-47,0,0,,,,,,
Liberia,,2020-03-06,-46,0,0,,,,,,
Liberia,,2020-03-07,-45,0,0,,,,,,
Liberia,,2020-03-08,-44,0,0,,,,,,
Liberia,,2020-03-09,-43,0,0,,,,,,
Liberia,,2020-03-10,-42,0,0,,,,,,
Liberia,,2020-03-11,-41,0,0,,,,,,
Liberia,,2020-03-12,-40,0,0,,,,,,
Liberia,,2020-03-13,-39,0,0,,,,,,
Liberia,,2020-03-14,-38,0,0,,,,,,
Liberia,,2020-03-15,-37,0,0,,,,,,
Liberia,,2020-03-16,-36,1,0,,,,,,
Liberia,,2020-03-17,-35,1,0,,,,,,
Liberia,,2020-03-18,-34,2,0,,,,,,
Liberia,,2020-03-19,-33,2,0,,,,,,
Liberia,,2020-03-20,-32,2,0,,,,,,
Liberia,,2020-03-21,-31,3,0,,,,,,
Liberia,,2020-03-22,-30,3,0,,,,,,
Liberia,,2020-03-23,-29,3,0,,,,,,
Liberia,,2020-03-24,-28,3,0,,,,,,
Liberia,,2020-03-25,-27,3,0,,,,,,
Liberia,,2020-03-26,-26,3,0,,,,,,
Liberia,,2020-03-27,-25,3,0,,,,,,
Liberia,,2020-03-28,-24,3,0,,,,,,
Liberia,,2020-03-29,-23,3,0,,,,,,
Liberia,,2020-03-30,-22,3,0,,,,,,
Liberia,,2020-03-31,-21,3,0,,,,,,
Liberia,,2020-04-01,-20,6,0,,,,,,
Liberia,,2020-04-02,-19,6,0,,,,,,
Liberia,,2020-04-03,-18,7,0,,,,,,
Liberia,,2020-04-04,-17,10,1,,,,,,
Liberia,,2020-04-05,-16,13,3,,,,,,
Liberia,,2020-04-06,-15,14,3,,,,,,
Liberia,,2020-04-07,-14,14,3,,,,,,
Liberia,,2020-04-08,-13,31,4,,,,,,
Liberia,,2020-04-09,-12,31,4,,,,,,
Liberia,,2020-04-10,-11,37,5,,,,,,
Liberia,,2020-04-11,-10,48,5,,,,,,
Liberia,,2020-04-12,-9,50,5,,,,,,
Liberia,,2020-04-13,-8,59,6,,,,,,
Liberia,,2020-04-14,-7,59,6,,,,,,
Liberia,,2020-04-15,-6,59,6,,,,,,
Liberia,,2020-04-16,-5,59,6,,,,,,
Liberia,,2020-04-17,-4,76,7,,,,,,
Liberia,,2020-04-18,-3,76,7,,,,,,
Liberia,,2020-04-19,-2,91,8,,,,,,
Liberia,,2020-04-20,-1,99,8,,,,,,
Liberia,,2020-04-21,0,101,8,,,,,,
Liberia,,2020-04-22,1,101,8,,,,,,
Liberia,,2020-04-23,2,101,8,,,,,,
Liberia,,2020-04-24,3,117,8,,,,,,
Liberia,,2020-04-25,4,120,11,,,,,,
Liberia,,2020-04-26,5,124,12,,,,,,
Liberia,,2020-04-27,6,124,12,,,,,,
Liberia,,2020-04-28,7,141,16,,,,,,
Liberia,,2020-04-29,8,141,16,,,,,,
Liberia,,2020-04-30,9,141,16,,,,,,
Liberia,,2020-05-01,10,152,18,,,,,,
Liberia,,2020-05-02,11,154,18,,,,,,
Liberia,,2020-05-03,12,158,18,,,,,,
Liberia,,2020-05-04,13,166,18,,,,,,
Liberia,,2020-05-05,14,170,20,,,,,,
Liberia,,2020-05-06,15,178,20,,,,,,
Liberia,,2020-05-07,16,189,20,,,,,,
Liberia,,2020-05-08,17,199,20,,,,,,
Liberia,,2020-05-09,18,199,20,,,,,,
Liberia,,2020-05-10,19,199,20,,,,,,
Liberia,,2020-05-11,20,211,20,,,,,,
Liberia,,2020-05-12,21,211,20,,,,,,
Liberia,,2020-05-13,22,213,20,,,,,,
Liberia,,2020-05-14,23,215,20,,,,,,
Liberia,,2020-05-15,24,219,20,,,,,,
Liberia,,2020-05-16,25,223,20,,,,,,
Liberia,,2020-05-17,26,226,21,,,,,,
Liberia,,2020-05-18,27,229,22,,,,,,
Liberia,,2020-05-19,28,233,23,,,,,,
Liberia,,2020-05-20,29,238,23,,,,,,
Liberia,,2020-05-21,30,240,23,,,,,,
Liberia,,2020-05-22,31,249,24,,,,,,
Liberia,,2020-05-23,32,255,26,,,,,,
Liberia,,2020-05-24,33,265,26,,,,,,
Liberia,,2020-05-25,34,265,26,,,,,,
Liberia,,2020-05-26,35,266,26,,,,,,
Liberia,,2020-05-27,36,266,27,,,,,,
Liberia,,2020-05-28,37,269,27,,,,,,
Liberia,,2020-05-29,38,273,27,,,,,,
Liberia,,2020-05-30,39,280,27,,,,,,
Liberia,,2020-05-31,40,288,27,,,,,,
Liberia,,2020-06-01,41,296,27,,,,,,
Liberia,,2020-06-02,42,311,28,,,,,,
