country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
US,Hawaii,2020-03-06,-20,1,0,,,,,,
US,Hawaii,2020-03-07,-19,1,0,,,,,,
US,Hawaii,2020-03-08,-18,2,0,,,,,,
US,Hawaii,2020-03-09,-17,2,0,,,,,,
US,Hawaii,2020-03-10,-16,2,0,,,,,,
US,Hawaii,2020-03-11,-15,2,0,,,,,,
US,Hawaii,2020-03-12,-14,2,0,,,,,,
US,Hawaii,2020-03-13,-13,2,0,,,,,,
US,Hawaii,2020-03-14,-12,4,0,,,,,,
US,Hawaii,2020-03-15,-11,7,0,,,,,,
US,Hawaii,2020-03-16,-10,10,0,,,,,,
US,Hawaii,2020-03-17,-9,14,0,,,,,,
US,Hawaii,2020-03-18,-8,16,0,,,,,,
US,Hawaii,2020-03-19,-7,26,0,,,,,,
US,Hawaii,2020-03-20,-6,37,0,,,,,,
US,Hawaii,2020-03-21,-5,48,0,,,,,,
US,Hawaii,2020-03-22,-4,56,0,,,,,,
US,Hawaii,2020-03-23,-3,77,0,,,,,,
US,Hawaii,2020-03-24,-2,97,0,,,,,,
US,Hawaii,2020-03-25,-1,96,0,,,,,,
US,Hawaii,2020-03-26,0,106,0,,,,,,
US,Hawaii,2020-03-27,1,120,0,,,,,,
US,Hawaii,2020-03-28,2,150,0,,,,,,
US,Hawaii,2020-03-29,3,173,0,,,,,,
US,Hawaii,2020-03-30,4,199,0,,,,,,
US,Hawaii,2020-03-31,5,224,1,,,,,,
US,Hawaii,2020-04-01,6,256,1,,,,,,
US,Hawaii,2020-04-02,7,283,2,,,,,,
US,Hawaii,2020-04-03,8,317,3,,,,,,
US,Hawaii,2020-04-04,9,349,3,,,,,,
US,Hawaii,2020-04-05,10,372,3,,,,,,
US,Hawaii,2020-04-06,11,385,5,,,,,,
US,Hawaii,2020-04-07,12,408,5,,,,,,
US,Hawaii,2020-04-08,13,433,5,,,,,,
US,Hawaii,2020-04-09,14,440,6,,,,,,
US,Hawaii,2020-04-10,15,463,8,,,,,,
US,Hawaii,2020-04-11,16,484,8,,,,,,
US,Hawaii,2020-04-12,17,497,9,,,,,,
US,Hawaii,2020-04-13,18,502,9,,,,,,
US,Hawaii,2020-04-14,19,511,9,,,,,,
US,Hawaii,2020-04-15,20,524,9,,,,,,
US,Hawaii,2020-04-16,21,535,9,,,,,,
US,Hawaii,2020-04-17,22,547,9,,,,,,
US,Hawaii,2020-04-18,23,568,9,,,,,,
US,Hawaii,2020-04-19,24,574,10,,,,,,
US,Hawaii,2020-04-20,25,578,10,,,,,,
US,Hawaii,2020-04-21,26,580,12,,,,,,
US,Hawaii,2020-04-22,27,586,12,,,,,,
US,Hawaii,2020-04-23,28,590,12,,,,,,
US,Hawaii,2020-04-24,29,595,13,,,,,,
US,Hawaii,2020-04-25,30,597,14,,,,,,
US,Hawaii,2020-04-26,31,599,14,,,,,,
US,Hawaii,2020-04-27,32,600,16,,,,,,
