country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
US,Kentucky,2020-03-06,-16,1,0,,,,,,
US,Kentucky,2020-03-07,-15,1,0,,,,,,
US,Kentucky,2020-03-08,-14,4,0,,,,,,
US,Kentucky,2020-03-09,-13,5,0,,,,,,
US,Kentucky,2020-03-10,-12,7,0,,,,,,
US,Kentucky,2020-03-11,-11,7,0,,,,,,
US,Kentucky,2020-03-12,-10,11,0,,,,,,
US,Kentucky,2020-03-13,-9,11,0,,,,,,
US,Kentucky,2020-03-14,-8,18,0,,,,,,
US,Kentucky,2020-03-15,-7,21,0,,,,,,
US,Kentucky,2020-03-16,-6,22,1,,,,,,
US,Kentucky,2020-03-17,-5,26,1,,,,,,
US,Kentucky,2020-03-18,-4,35,1,,,,,,
US,Kentucky,2020-03-19,-3,47,2,,,,,,
US,Kentucky,2020-03-20,-2,63,2,,,,,,
US,Kentucky,2020-03-21,-1,84,3,,,,,,
US,Kentucky,2020-03-22,0,103,3,,,,,,
US,Kentucky,2020-03-23,1,124,3,,,,,,
US,Kentucky,2020-03-24,2,162,3,,,,,,
US,Kentucky,2020-03-25,3,203,5,,,,,,
US,Kentucky,2020-03-26,4,252,5,,,,,,
US,Kentucky,2020-03-27,5,306,8,,,,,,
US,Kentucky,2020-03-28,6,398,9,,,,,,
US,Kentucky,2020-03-29,7,443,9,,,,,,
US,Kentucky,2020-03-30,8,484,11,,,,,,
US,Kentucky,2020-03-31,9,599,18,,,,,,
US,Kentucky,2020-04-01,10,683,20,,,,,,
US,Kentucky,2020-04-02,11,747,34,,,,,,
US,Kentucky,2020-04-03,12,762,34,,,,,,
US,Kentucky,2020-04-04,13,909,40,,,,,,
US,Kentucky,2020-04-05,14,1057,44,,,,,,
US,Kentucky,2020-04-06,15,1057,52,,,,,,
US,Kentucky,2020-04-07,16,1289,66,,,,,,
US,Kentucky,2020-04-08,17,1393,73,,,,,,
US,Kentucky,2020-04-09,18,1525,84,,,,,,
US,Kentucky,2020-04-10,19,1702,90,,,,,,
US,Kentucky,2020-04-11,20,1851,94,,,,,,
US,Kentucky,2020-04-12,21,1963,98,,,,,,
US,Kentucky,2020-04-13,22,2048,106,,,,,,
US,Kentucky,2020-04-14,23,2210,115,,,,,,
US,Kentucky,2020-04-15,24,2372,125,,,,,,
US,Kentucky,2020-04-16,25,2494,132,,,,,,
US,Kentucky,2020-04-17,26,2522,140,,,,,,
US,Kentucky,2020-04-18,27,2707,145,,,,,,
US,Kentucky,2020-04-19,28,2960,149,,,,,,
US,Kentucky,2020-04-20,29,3050,155,,,,,,
US,Kentucky,2020-04-21,30,3193,172,,,,,,
US,Kentucky,2020-04-22,31,3407,185,,,,,,
US,Kentucky,2020-04-23,32,3548,194,,,,,,
US,Kentucky,2020-04-24,33,3779,203,,,,,,
US,Kentucky,2020-04-25,34,3905,213,,,,,,
US,Kentucky,2020-04-26,35,4074,211,,,,,,
US,Kentucky,2020-04-27,36,4146,216,,,,,,
US,Kentucky,2020-04-28,37,4375,231,,,,,,
US,Kentucky,2020-04-29,38,4538,235,,,,,,
US,Kentucky,2020-04-30,39,4708,240,,,,,,
US,Kentucky,2020-05-01,40,4879,248,,,,,,
US,Kentucky,2020-05-02,41,4881,252,,,,,,
US,Kentucky,2020-05-03,42,5222,255,,,,,,
US,Kentucky,2020-05-04,43,5363,267,,,,,,
US,Kentucky,2020-05-05,44,5822,278,,,,,,
US,Kentucky,2020-05-06,45,5946,286,,,,,,
US,Kentucky,2020-05-07,46,6173,302,,,,,,
US,Kentucky,2020-05-08,47,6298,303,,,,,,
US,Kentucky,2020-05-09,48,6469,312,,,,,,
US,Kentucky,2020-05-10,49,6486,312,,,,,,
US,Kentucky,2020-05-11,50,6710,325,,,,,,
US,Kentucky,2020-05-12,51,7003,333,,,,,,
US,Kentucky,2020-05-13,52,7102,334,,,,,,
US,Kentucky,2020-05-14,53,7397,341,,,,,,
US,Kentucky,2020-05-15,54,7578,343,,,,,,
US,Kentucky,2020-05-16,55,7773,346,,,,,,
US,Kentucky,2020-05-17,56,7793,346,,,,,,
US,Kentucky,2020-05-18,57,8041,354,,,,,,
US,Kentucky,2020-05-19,58,8205,369,,,,,,
US,Kentucky,2020-05-20,59,8336,381,,,,,,
US,Kentucky,2020-05-21,60,8475,393,,,,,,
US,Kentucky,2020-05-22,61,8688,398,,,,,,
US,Kentucky,2020-05-23,62,8812,399,,,,,,
US,Kentucky,2020-05-24,63,8842,399,,,,,,
US,Kentucky,2020-05-25,64,8899,403,,,,,,
US,Kentucky,2020-05-26,65,9175,407,,,,,,
US,Kentucky,2020-05-27,66,9313,420,,,,,,
US,Kentucky,2020-05-28,67,9510,424,,,,,,
US,Kentucky,2020-05-29,68,9688,434,,,,,,
US,Kentucky,2020-05-30,69,9887,441,,,,,,
US,Kentucky,2020-05-31,70,9937,441,,,,,,
US,Kentucky,2020-06-01,71,10150,445,,,,,,
US,Kentucky,2020-06-02,72,10287,451,,,,,,
US,Kentucky,2020-06-03,73,10485,458,,,,,,
US,Kentucky,2020-06-04,74,10781,469,,,,,,
US,Kentucky,2020-06-05,75,11051,476,,,,,,
US,Kentucky,2020-06-06,76,11359,480,,,,,,
US,Kentucky,2020-06-07,77,11393,481,,,,,,
US,Kentucky,2020-06-08,78,11701,487,,,,,,
US,Kentucky,2020-06-09,79,11891,494,,,,,,
US,Kentucky,2020-06-10,80,12029,498,,,,,,
