region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('Asia', 'Afghanistan', 'None')",False,0.0,0.0,0.0
"('Europe', 'Albania', 'None')",False,0.0,0.0,0.0
"('Africa', 'Algeria', 'None')",False,0.0,0.0,0.0
"('Europe', 'Andorra', 'None')",False,0.0,0.0,0.0
"('Africa', 'Angola', 'None')",False,0.0,0.0,0.0
"('North America', 'Antigua and Barbuda', 'None')",False,0.0,0.0,0.0
"('South America', 'Argentina', 'None')",False,0.0,0.0,0.0
"('Asia', 'Armenia', 'None')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Australian Capital Territory')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'New South Wales')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Queensland')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'South Australia')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Tasmania')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Victoria')",False,0.0,0.0,0.0
"('Oceania', 'Australia', 'Western Australia')",False,0.0,0.0,0.0
"('Europe', 'Austria', 'None')",False,0.0,0.0,0.0
"('Asia', 'Azerbaijan', 'None')",False,0.0,0.0,0.0
"('Asia', 'Bahrain', 'None')",False,0.0,0.0,0.0
"('Asia', 'Bangladesh', 'None')",False,0.0,0.0,0.0
"('North America', 'Barbados', 'None')",False,0.0,0.0,0.0
"('Europe', 'Belarus', 'None')",False,0.0,0.0,0.0
"('Europe', 'Belgium', 'None')",False,0.0,0.0,0.0
"('North America', 'Belize', 'None')",False,0.0,0.0,0.0
"('Africa', 'Benin', 'None')",False,0.0,0.0,0.0
"('Asia', 'Bhutan', 'None')",False,0.0,0.0,0.0
"('South America', 'Bolivia', 'None')",False,0.0,0.0,0.0
"('Europe', 'Bosnia and Herzegovina', 'None')",False,0.0,0.0,0.0
"('Africa', 'Botswana', 'None')",False,0.0,0.0,0.0
"('South America', 'Brazil', 'None')",False,0.0,0.0,0.0
"('Europe', 'Bulgaria', 'None')",False,0.0,0.0,0.0
"('Africa', 'Burkina Faso', 'None')",False,0.0,0.0,0.0
"('Africa', 'Burundi', 'None')",False,0.0,0.0,0.0
"('Africa', 'Cabo Verde', 'None')",False,0.0,0.0,0.0
"('Asia', 'Cambodia', 'None')",False,0.0,0.0,0.0
"('Africa', 'Cameroon', 'None')",False,0.0,0.0,0.0
"('North America', 'Canada', 'Alberta')",False,0.0,0.0,0.0
"('North America', 'Canada', 'British Columbia')",False,0.0,0.0,0.0
"('North America', 'Canada', 'Manitoba')",False,0.0,0.0,0.0
"('North America', 'Canada', 'New Brunswick')",False,0.0,0.0,0.0
"('North America', 'Canada', 'Newfoundland and Labrador')",False,0.0,0.0,0.0
"('North America', 'Canada', 'Nova Scotia')",False,0.0,0.0,0.0
"('North America', 'Canada', 'Ontario')",False,0.0,0.0,0.0
"('North America', 'Canada', 'Quebec')",False,0.0,0.0,0.0
"('North America', 'Canada', 'Saskatchewan')",False,0.0,0.0,0.0
"('Africa', 'Central African Republic', 'None')",False,0.0,0.0,0.0
"('Africa', 'Chad', 'None')",False,0.0,0.0,0.0
"('South America', 'Chile', 'None')",False,0.0,0.0,0.0
"('South America', 'Colombia', 'None')",False,0.0,0.0,0.0
"('Africa', 'Comoros', 'None')",False,0.0,0.0,0.0
"('Africa', 'Congo (Brazzaville)', 'None')",False,0.0,0.0,0.0
"('Africa', 'Congo (Kinshasa)', 'None')",False,0.0,0.0,0.0
"('North America', 'Costa Rica', 'None')",False,0.0,0.0,0.0
"('Africa', ""Cote d'Ivoire"", 'None')",False,0.0,0.0,0.0
"('Europe', 'Croatia', 'None')",False,0.0,0.0,0.0
"('North America', 'Cuba', 'None')",False,0.0,0.0,0.0
"('Europe', 'Cyprus', 'None')",False,0.0,0.0,0.0
"('Europe', 'Czechia', 'None')",False,0.0,0.0,0.0
"('Europe', 'Denmark', 'None')",False,0.0,0.0,0.0
"('Africa', 'Djibouti', 'None')",False,0.0,0.0,0.0
"('North America', 'Dominican Republic', 'None')",False,0.0,0.0,0.0
