Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,Internal Parameter 3
South America,Argentina,Buenos Aires Province,2020-10-01,0.4965087920230162,0.3786581220545587,1.2299368277183378,0.0,0.15446161800610167,0.041528981964635635,0.1937832148013411,0.0,2.535143133437991,0.5771009088714361,88.05679595177095,9.326274849428769,0.20150768426403276
South America,Argentina,City of Buenos Aires,2020-10-01,0.4744321800997364,0.5251706396170868,-146.05889814537684,0.0023495567589888145,0.5481755023355985,0.0395200194431547,0.2786989105725122,1.9258823111735697e-06,1.4506594677321465,0.0,6.04016636283965,1.0000000375989444,0.1449579021357939
South America,Argentina,Cordoba,2020-10-01,2.8764494610942566,0.36565914617890577,-19.569542310056093,0.0,0.09725570347544077,0.04731910256597071,0.8589029986700165,0.0004311393078022297,14.024024820554075,0.0,-97.5431411965226,1.0,0.04085087300077515
South America,Argentina,Chaco,2020-10-01,0.2429408874639985,0.3971596793896902,-3.3609210179254707,0.020723280144723584,0.99996041083115,0.0286772704398282,0.11397856031812358,0.6330020114987913,4.035201185969369,1.1647816652119325,-4.181385319107192,2.9970827483766245,0.15349149918170354
South America,Argentina,Santa Fe,2020-10-01,0.38238252143017776,0.3573347874213958,3.42700091515678,0.0,0.5132558696478954,0.021001944552215053,0.07729809661849707,5.0175372104607305,1.200214192319497,0.9569262105184312,86.09421934593881,4.582096444974068,0.161369328327733
South America,Argentina,Tierra del Fuego,2020-10-01,0.5834255566346782,0.4297140997863471,1.056732749168795,0.0,0.02,0.1257692536940144,6.685070769495022,4.000870701270541,0.8500241251953652,0.8082579203777241,101.54214436926901,31.30091052303363,0.2842748884823214
South America,Argentina,Neuquen,2020-10-01,0.5014512471458782,0.2972608165763532,-25.369931479915103,8.146952765322281e-06,0.08054125755225645,0.028579395886723143,0.4937871443859759,2.6760799401928015,0.3256926624509188,1.0944942785647116,91.11779794134677,29.40866069702745,0.5587572139031738
South America,Argentina,Santa Cruz,2020-10-01,0.7469489601381711,0.4689075299392622,-7.098183441886543,0.0,0.03839376715156627,0.05530382931064077,0.7101557959452319,0.027657912550171616,2.8702992397897384,0.6946290513547341,83.2395879935447,3.955837275900661,0.20800617217803816
South America,Argentina,Tucuman,2020-10-01,0.2527210784230393,0.26230915051552794,10.346045371931623,0.0,0.07031598167532659,0.023364542854851726,0.2739393745021053,3.760481743395186,0.005650309847335283,0.8797641286583362,138.53667119911088,44.77629991714072,0.4640581203808022
South America,Argentina,Mendoza,2020-10-01,0.3352764713762043,0.26992697917041275,15.220392222040026,0.0,0.116213561997355,0.02815637526395288,0.27827706480720577,3.8205727623783714,0.1344033089212284,1.2363978564160572,114.60981200183343,11.955959697367152,0.15734663195251133
South America,Argentina,Corrientes,2020-10-01,2.070550077506115,0.3679193792375447,-34.78857219173411,0.0,0.057914803383467925,0.03631684490432446,0.4939391890605347,2.5538262344125187,1.3065849351675998,1.8656672524021083,27.41016105542565,2.1424837706977393,0.2622263863078025
South America,Argentina,Entre Rios,2020-10-01,0.7045793443900984,0.43025316187818413,0.3474838674874977,0.046472051187477686,1.0,0.02629230029762158,0.13137447109830735,2.6759404657385164e-06,15.023792319278732,3.6593949564954436,-38.170129425903895,4.397140237460908,0.04410775027918895
South America,Argentina,San Luis,2020-10-01,0.5863343353635218,0.3277446884318857,-1.0147434943310671,0.02771992640915081,0.09939441625804714,0.016914410726194012,0.07367922976858983,1.2433168056874195,8.096567722017423e-06,1.8262235729687,104.72158349378441,5.375137139549112,2.303896408498688
South America,Argentina,Rio Negro,2020-10-01,1.125941677035169,0.3580152295975681,0.031040886165428737,0.0,0.2027637278566087,0.02437627785767841,0.0822088653485286,11.983758456097027,1.970725147502201,0.5855323808484818,85.5712476426322,15.10406539182148,0.08261128060215796
