date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-30,Argentina,Entre Rios,-78,12,2,,,,,,
2020-03-31,Argentina,Entre Rios,-77,12,2,,,,,,
2020-04-01,Argentina,Entre Rios,-76,14,2,,,,,,
2020-04-02,Argentina,Entre Rios,-75,15,3,,,,,,
2020-04-03,Argentina,Entre Rios,-74,17,3,,,,,,
2020-04-04,Argentina,Entre Rios,-73,18,3,,,,,,
2020-04-05,Argentina,Entre Rios,-72,18,3,,,,,,
2020-04-06,Argentina,Entre Rios,-71,19,3,,,,,,
2020-04-07,Argentina,Entre Rios,-70,19,3,,,,,,
2020-04-08,Argentina,Entre Rios,-69,19,3,,,,,,
2020-04-09,Argentina,Entre Rios,-68,20,4,,,,,,
2020-04-10,Argentina,Entre Rios,-67,20,4,,,,,,
2020-04-11,Argentina,Entre Rios,-66,20,4,,,,,,
2020-04-12,Argentina,Entre Rios,-65,20,4,,,,,,
2020-04-13,Argentina,Entre Rios,-64,20,4,,,,,,
2020-04-14,Argentina,Entre Rios,-63,20,4,,,,,,
2020-04-15,Argentina,Entre Rios,-62,21,4,,,,,,
2020-04-16,Argentina,Entre Rios,-61,21,4,,,,,,
2020-04-17,Argentina,Entre Rios,-60,21,4,,,,,,
2020-04-18,Argentina,Entre Rios,-59,21,4,,,,,,
2020-04-19,Argentina,Entre Rios,-58,21,4,,,,,,
2020-04-20,Argentina,Entre Rios,-57,21,4,,,,,,
2020-04-21,Argentina,Entre Rios,-56,21,4,,,,,,
2020-04-22,Argentina,Entre Rios,-55,21,4,,,,,,
2020-04-23,Argentina,Entre Rios,-54,21,4,,,,,,
2020-04-24,Argentina,Entre Rios,-53,21,4,,,,,,
2020-04-25,Argentina,Entre Rios,-52,21,4,,,,,,
2020-04-26,Argentina,Entre Rios,-51,21,4,,,,,,
2020-04-27,Argentina,Entre Rios,-50,22,4,,,,,,
2020-04-28,Argentina,Entre Rios,-49,22,4,,,,,,
2020-04-29,Argentina,Entre Rios,-48,22,4,,,,,,
2020-04-30,Argentina,Entre Rios,-47,24,4,,,,,,
2020-05-01,Argentina,Entre Rios,-46,24,4,,,,,,
2020-05-02,Argentina,Entre Rios,-45,26,5,,,,,,
2020-05-03,Argentina,Entre Rios,-44,26,5,,,,,,
2020-05-04,Argentina,Entre Rios,-43,27,5,,,,,,
2020-05-05,Argentina,Entre Rios,-42,28,5,,,,,,
2020-05-06,Argentina,Entre Rios,-41,28,5,,,,,,
2020-05-07,Argentina,Entre Rios,-40,28,5,,,,,,
2020-05-08,Argentina,Entre Rios,-39,28,5,,,,,,
2020-05-09,Argentina,Entre Rios,-38,28,5,,,,,,
2020-05-10,Argentina,Entre Rios,-37,28,5,,,,,,
2020-05-11,Argentina,Entre Rios,-36,28,5,,,,,,
2020-05-12,Argentina,Entre Rios,-35,29,5,,,,,,
2020-05-13,Argentina,Entre Rios,-34,29,5,,,,,,
2020-05-14,Argentina,Entre Rios,-33,29,5,,,,,,
2020-05-15,Argentina,Entre Rios,-32,29,5,,,,,,
2020-05-16,Argentina,Entre Rios,-31,29,5,,,,,,
2020-05-17,Argentina,Entre Rios,-30,29,5,,,,,,
2020-05-18,Argentina,Entre Rios,-29,29,5,,,,,,
2020-05-19,Argentina,Entre Rios,-28,29,5,,,,,,
2020-05-20,Argentina,Entre Rios,-27,29,5,,,,,,
2020-05-21,Argentina,Entre Rios,-26,29,5,,,,,,
2020-05-22,Argentina,Entre Rios,-25,29,5,,,,,,
2020-05-23,Argentina,Entre Rios,-24,29,5,,,,,,
2020-05-24,Argentina,Entre Rios,-23,29,5,,,,,,
2020-05-25,Argentina,Entre Rios,-22,29,5,,,,,,
2020-05-26,Argentina,Entre Rios,-21,29,5,,,,,,
2020-05-27,Argentina,Entre Rios,-20,29,5,,,,,,
2020-05-28,Argentina,Entre Rios,-19,30,6,,,,,,
2020-05-29,Argentina,Entre Rios,-18,30,6,,,,,,
2020-05-30,Argentina,Entre Rios,-17,31,6,,,,,,
2020-05-31,Argentina,Entre Rios,-16,31,6,,,,,,
2020-06-01,Argentina,Entre Rios,-15,33,6,,,,,,
2020-06-02,Argentina,Entre Rios,-14,33,6,,,,,,
2020-06-03,Argentina,Entre Rios,-13,35,7,,,,,,
2020-06-04,Argentina,Entre Rios,-12,39,7,,,,,,
2020-06-05,Argentina,Entre Rios,-11,46,9,,,,,,
2020-06-06,Argentina,Entre Rios,-10,50,10,,,,,,
2020-06-07,Argentina,Entre Rios,-9,52,10,,,,,,
2020-06-08,Argentina,Entre Rios,-8,54,10,,,,,,
2020-06-09,Argentina,Entre Rios,-7,57,11,,,,,,
2020-06-10,Argentina,Entre Rios,-6,63,12,,,,,,
2020-06-11,Argentina,Entre Rios,-5,68,13,,,,,,
2020-06-12,Argentina,Entre Rios,-4,70,14,,,,,,
2020-06-13,Argentina,Entre Rios,-3,88,17,,,,,,
2020-06-14,Argentina,Entre Rios,-2,89,17,,,,,,
2020-06-15,Argentina,Entre Rios,-1,98,19,,,,,,
2020-06-16,Argentina,Entre Rios,0,105,21,,,,,,
2020-06-17,Argentina,Entre Rios,1,110,22,,,,,,
2020-06-18,Argentina,Entre Rios,2,114,22,,,,,,
2020-06-19,Argentina,Entre Rios,3,114,22,,,,,,
2020-06-20,Argentina,Entre Rios,4,133,26,,,,,,
2020-06-21,Argentina,Entre Rios,5,141,28,,,,,,
2020-06-22,Argentina,Entre Rios,6,158,31,,,,,,
2020-06-23,Argentina,Entre Rios,7,175,35,,,,,,
2020-06-24,Argentina,Entre Rios,8,199,39,,,,,,
2020-06-25,Argentina,Entre Rios,9,215,43,,,,,,
2020-06-26,Argentina,Entre Rios,10,235,47,,,,,,
2020-06-27,Argentina,Entre Rios,11,245,49,,,,,,
2020-06-28,Argentina,Entre Rios,12,269,53,,,,,,
2020-06-29,Argentina,Entre Rios,13,274,54,,,,,,
2020-06-30,Argentina,Entre Rios,14,279,55,,,,,,
2020-07-01,Argentina,Entre Rios,15,288,57,,,,,,
2020-07-02,Argentina,Entre Rios,16,303,60,,,,,,
2020-07-03,Argentina,Entre Rios,17,313,62,,,,,,
2020-07-04,Argentina,Entre Rios,18,319,63,,,,,,
2020-07-05,Argentina,Entre Rios,19,325,65,,,,,,
2020-07-06,Argentina,Entre Rios,20,331,66,,,,,,
2020-07-07,Argentina,Entre Rios,21,340,68,,,,,,
2020-07-08,Argentina,Entre Rios,22,351,70,,,,,,
2020-07-09,Argentina,Entre Rios,23,371,74,,,,,,
2020-07-10,Argentina,Entre Rios,24,396,79,,,,,,
2020-07-11,Argentina,Entre Rios,25,427,85,,,,,,
2020-07-12,Argentina,Entre Rios,26,487,97,,,,,,
2020-07-13,Argentina,Entre Rios,27,530,106,,,,,,
2020-07-14,Argentina,Entre Rios,28,550,110,,,,,,
2020-07-15,Argentina,Entre Rios,29,559,111,,,,,,
2020-07-16,Argentina,Entre Rios,30,573,114,,,,,,
2020-07-17,Argentina,Entre Rios,31,597,119,,,,,,
2020-07-18,Argentina,Entre Rios,32,613,122,,,,,,
2020-07-19,Argentina,Entre Rios,33,627,125,,,,,,
2020-07-20,Argentina,Entre Rios,34,646,129,,,,,,
2020-07-21,Argentina,Entre Rios,35,657,131,,,,,,
2020-07-22,Argentina,Entre Rios,36,685,136,,,,,,
2020-07-23,Argentina,Entre Rios,37,713,136,,,,,,
