date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-01,Argentina,La Rioja,-185,0,0,,,,,,
2020-01-02,Argentina,La Rioja,-184,0,0,,,,,,
2020-01-03,Argentina,La Rioja,-183,0,0,,,,,,
2020-01-04,Argentina,La Rioja,-182,0,0,,,,,,
2020-01-05,Argentina,La Rioja,-181,0,0,,,,,,
2020-01-06,Argentina,La Rioja,-180,0,0,,,,,,
2020-01-07,Argentina,La Rioja,-179,0,0,,,,,,
2020-01-08,Argentina,La Rioja,-178,0,0,,,,,,
2020-01-09,Argentina,La Rioja,-177,0,0,,,,,,
2020-01-10,Argentina,La Rioja,-176,0,0,,,,,,
2020-01-11,Argentina,La Rioja,-175,0,0,,,,,,
2020-01-12,Argentina,La Rioja,-174,0,0,,,,,,
2020-01-13,Argentina,La Rioja,-173,0,0,,,,,,
2020-01-14,Argentina,La Rioja,-172,0,0,,,,,,
2020-01-15,Argentina,La Rioja,-171,0,0,,,,,,
2020-01-16,Argentina,La Rioja,-170,0,0,,,,,,
2020-01-17,Argentina,La Rioja,-169,0,0,,,,,,
2020-01-18,Argentina,La Rioja,-168,0,0,,,,,,
2020-01-19,Argentina,La Rioja,-167,0,0,,,,,,
2020-01-20,Argentina,La Rioja,-166,0,0,,,,,,
2020-01-21,Argentina,La Rioja,-165,0,0,,,,,,
2020-01-22,Argentina,La Rioja,-164,0,0,,,,,,
2020-01-23,Argentina,La Rioja,-163,0,0,,,,,,
2020-01-24,Argentina,La Rioja,-162,0,0,,,,,,
2020-01-25,Argentina,La Rioja,-161,0,0,,,,,,
2020-01-26,Argentina,La Rioja,-160,0,0,,,,,,
2020-01-27,Argentina,La Rioja,-159,0,0,,,,,,
2020-01-28,Argentina,La Rioja,-158,0,0,,,,,,
2020-01-29,Argentina,La Rioja,-157,0,0,,,,,,
2020-01-30,Argentina,La Rioja,-156,0,0,,,,,,
2020-01-31,Argentina,La Rioja,-155,0,0,,,,,,
2020-02-01,Argentina,La Rioja,-154,0,0,,,,,,
2020-02-02,Argentina,La Rioja,-153,0,0,,,,,,
2020-02-03,Argentina,La Rioja,-152,0,0,,,,,,
