date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-24,Argentina,Tierra del Fuego,-21,11,0,,,,,,
2020-03-25,Argentina,Tierra del Fuego,-20,15,0,,,,,,
2020-03-27,Argentina,Tierra del Fuego,-19,19,1,,,,,,
2020-03-28,Argentina,Tierra del Fuego,-18,23,1,,,,,,
2020-03-29,Argentina,Tierra del Fuego,-17,28,1,,,,,,
2020-03-30,Argentina,Tierra del Fuego,-16,40,1,,,,,,
2020-03-31,Argentina,Tierra del Fuego,-15,41,1,,,,,,
2020-04-01,Argentina,Tierra del Fuego,-14,41,1,,,,,,
2020-04-02,Argentina,Tierra del Fuego,-13,65,1,,,,,,
2020-04-03,Argentina,Tierra del Fuego,-12,72,1,,,,,,
2020-04-04,Argentina,Tierra del Fuego,-11,74,1,,,,,,
2020-04-05,Argentina,Tierra del Fuego,-10,77,1,,,,,,
2020-04-06,Argentina,Tierra del Fuego,-9,78,1,,,,,,
2020-04-07,Argentina,Tierra del Fuego,-8,80,1,,,,,,
2020-04-08,Argentina,Tierra del Fuego,-7,80,2,,,,,,
2020-04-09,Argentina,Tierra del Fuego,-6,82,2,,,,,,
2020-04-10,Argentina,Tierra del Fuego,-5,85,2,,,,,,
2020-04-11,Argentina,Tierra del Fuego,-4,89,2,,,,,,
2020-04-12,Argentina,Tierra del Fuego,-3,94,2,,,,,,
2020-04-13,Argentina,Tierra del Fuego,-2,96,2,,,,,,
2020-04-14,Argentina,Tierra del Fuego,-1,99,2,,,,,,
2020-04-15,Argentina,Tierra del Fuego,0,106,2,,,,,,
2020-04-17,Argentina,Tierra del Fuego,1,109,2,,,,,,
2020-04-18,Argentina,Tierra del Fuego,2,112,2,,,,,,
2020-04-19,Argentina,Tierra del Fuego,3,112,2,,,,,,
2020-04-20,Argentina,Tierra del Fuego,4,113,2,,,,,,
2020-04-21,Argentina,Tierra del Fuego,5,113,3,,,,,,
2020-04-22,Argentina,Tierra del Fuego,6,114,3,,,,,,
2020-04-24,Argentina,Tierra del Fuego,7,117,3,,,,,,
2020-04-25,Argentina,Tierra del Fuego,8,117,3,,,,,,
2020-04-26,Argentina,Tierra del Fuego,9,118,3,,,,,,
2020-04-27,Argentina,Tierra del Fuego,10,121,3,,,,,,
2020-04-28,Argentina,Tierra del Fuego,11,124,3,,,,,,
2020-04-29,Argentina,Tierra del Fuego,12,126,3,,,,,,
2020-04-30,Argentina,Tierra del Fuego,13,128,3,,,,,,
2020-05-01,Argentina,Tierra del Fuego,14,130,3,,,,,,
2020-05-02,Argentina,Tierra del Fuego,15,131,3,,,,,,
2020-05-03,Argentina,Tierra del Fuego,16,132,3,,,,,,
2020-05-05,Argentina,Tierra del Fuego,17,132,3,,,,,,
2020-05-06,Argentina,Tierra del Fuego,18,132,4,,,,,,
2020-05-08,Argentina,Tierra del Fuego,19,133,4,,,,,,
2020-05-09,Argentina,Tierra del Fuego,20,135,4,,,,,,
2020-05-11,Argentina,Tierra del Fuego,21,135,5,,,,,,
2020-05-12,Argentina,Tierra del Fuego,22,135,5,,,,,,
2020-05-14,Argentina,Tierra del Fuego,23,135,5,,,,,,
2020-05-18,Argentina,Tierra del Fuego,24,135,5,,,,,,
2020-05-21,Argentina,Tierra del Fuego,25,137,6,,,,,,
2020-05-25,Argentina,Tierra del Fuego,26,137,7,,,,,,
2020-05-26,Argentina,Tierra del Fuego,27,138,7,,,,,,
2020-05-29,Argentina,Tierra del Fuego,28,138,7,,,,,,
2020-06-01,Argentina,Tierra del Fuego,29,138,7,,,,,,
2020-06-02,Argentina,Tierra del Fuego,30,138,7,,,,,,
2020-06-04,Argentina,Tierra del Fuego,31,138,7,,,,,,
2020-06-06,Argentina,Tierra del Fuego,32,138,7,,,,,,
