date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-27,Brazil,BR_PB_250190,-78,0,0,,,,,,
2020-03-28,Brazil,BR_PB_250190,-77,0,0,,,,,,
2020-03-29,Brazil,BR_PB_250190,-76,0,0,,,,,,
2020-03-30,Brazil,BR_PB_250190,-75,0,0,,,,,,
2020-03-31,Brazil,BR_PB_250190,-74,0,0,,,,,,
2020-04-01,Brazil,BR_PB_250190,-73,0,0,,,,,,
2020-04-02,Brazil,BR_PB_250190,-72,0,0,,,,,,
2020-04-03,Brazil,BR_PB_250190,-71,0,0,,,,,,
2020-04-04,Brazil,BR_PB_250190,-70,0,0,,,,,,
2020-04-05,Brazil,BR_PB_250190,-69,0,0,,,,,,
2020-04-06,Brazil,BR_PB_250190,-68,0,0,,,,,,
2020-04-07,Brazil,BR_PB_250190,-67,0,0,,,,,,
2020-04-08,Brazil,BR_PB_250190,-66,0,0,,,,,,
2020-04-09,Brazil,BR_PB_250190,-65,0,0,,,,,,
2020-04-10,Brazil,BR_PB_250190,-64,0,0,,,,,,
2020-04-11,Brazil,BR_PB_250190,-63,0,0,,,,,,
2020-04-12,Brazil,BR_PB_250190,-62,0,0,,,,,,
2020-04-13,Brazil,BR_PB_250190,-61,0,0,,,,,,
2020-04-14,Brazil,BR_PB_250190,-60,0,0,,,,,,
2020-04-15,Brazil,BR_PB_250190,-59,0,0,,,,,,
2020-04-16,Brazil,BR_PB_250190,-58,0,0,,,,,,
2020-04-17,Brazil,BR_PB_250190,-57,0,0,,,,,,
2020-04-18,Brazil,BR_PB_250190,-56,0,0,,,,,,
2020-04-19,Brazil,BR_PB_250190,-55,0,0,,,,,,
2020-04-20,Brazil,BR_PB_250190,-54,0,0,,,,,,
2020-04-21,Brazil,BR_PB_250190,-53,0,0,,,,,,
2020-04-22,Brazil,BR_PB_250190,-52,0,0,,,,,,
2020-04-23,Brazil,BR_PB_250190,-51,0,0,,,,,,
2020-04-24,Brazil,BR_PB_250190,-50,0,0,,,,,,
2020-04-25,Brazil,BR_PB_250190,-49,0,0,,,,,,
2020-04-26,Brazil,BR_PB_250190,-48,0,0,,,,,,
2020-04-27,Brazil,BR_PB_250190,-47,0,0,,,,,,
2020-04-28,Brazil,BR_PB_250190,-46,0,0,,,,,,
2020-04-29,Brazil,BR_PB_250190,-45,0,0,,,,,,
2020-04-30,Brazil,BR_PB_250190,-44,0,0,,,,,,
2020-05-01,Brazil,BR_PB_250190,-43,0,0,,,,,,
2020-05-02,Brazil,BR_PB_250190,-42,0,0,,,,,,
2020-05-03,Brazil,BR_PB_250190,-41,0,0,,,,,,
2020-05-04,Brazil,BR_PB_250190,-40,0,0,,,,,,
2020-05-05,Brazil,BR_PB_250190,-39,0,0,,,,,,
2020-05-06,Brazil,BR_PB_250190,-38,0,0,,,,,,
2020-05-07,Brazil,BR_PB_250190,-37,0,0,,,,,,
2020-05-08,Brazil,BR_PB_250190,-36,0,0,,,,,,
2020-05-09,Brazil,BR_PB_250190,-35,0,0,,,,,,
2020-05-10,Brazil,BR_PB_250190,-34,0,0,,,,,,
2020-05-11,Brazil,BR_PB_250190,-33,0,0,,,,,,
2020-05-12,Brazil,BR_PB_250190,-32,1,0,,,,,,
2020-05-13,Brazil,BR_PB_250190,-31,4,0,,,,,,
2020-05-14,Brazil,BR_PB_250190,-30,4,0,,,,,,
2020-05-15,Brazil,BR_PB_250190,-29,7,0,,,,,,
2020-05-16,Brazil,BR_PB_250190,-28,7,0,,,,,,
2020-05-17,Brazil,BR_PB_250190,-27,7,0,,,,,,
2020-05-18,Brazil,BR_PB_250190,-26,8,0,,,,,,
2020-05-19,Brazil,BR_PB_250190,-25,8,0,,,,,,
2020-05-20,Brazil,BR_PB_250190,-24,10,0,,,,,,
2020-05-21,Brazil,BR_PB_250190,-23,13,0,,,,,,
2020-05-22,Brazil,BR_PB_250190,-22,13,0,,,,,,
2020-05-23,Brazil,BR_PB_250190,-21,13,0,,,,,,
2020-05-24,Brazil,BR_PB_250190,-20,13,0,,,,,,
2020-05-25,Brazil,BR_PB_250190,-19,13,0,,,,,,
2020-05-26,Brazil,BR_PB_250190,-18,15,0,,,,,,
2020-05-27,Brazil,BR_PB_250190,-17,27,0,,,,,,
2020-05-28,Brazil,BR_PB_250190,-16,25,0,,,,,,
2020-05-29,Brazil,BR_PB_250190,-15,29,0,,,,,,
2020-05-30,Brazil,BR_PB_250190,-14,34,0,,,,,,
2020-05-31,Brazil,BR_PB_250190,-13,35,0,,,,,,
2020-06-01,Brazil,BR_PB_250190,-12,36,0,,,,,,
2020-06-02,Brazil,BR_PB_250190,-11,40,0,,,,,,
2020-06-03,Brazil,BR_PB_250190,-10,47,0,,,,,,
2020-06-04,Brazil,BR_PB_250190,-9,60,0,,,,,,
2020-06-05,Brazil,BR_PB_250190,-8,64,0,,,,,,
2020-06-06,Brazil,BR_PB_250190,-7,73,0,,,,,,
2020-06-07,Brazil,BR_PB_250190,-6,73,0,,,,,,
2020-06-08,Brazil,BR_PB_250190,-5,73,0,,,,,,
2020-06-09,Brazil,BR_PB_250190,-4,83,0,,,,,,
2020-06-10,Brazil,BR_PB_250190,-3,88,0,,,,,,
2020-06-11,Brazil,BR_PB_250190,-2,93,1,,,,,,
2020-06-12,Brazil,BR_PB_250190,-1,95,1,,,,,,
2020-06-13,Brazil,BR_PB_250190,0,101,1,,,,,,
2020-06-14,Brazil,BR_PB_250190,1,101,1,,,,,,
2020-06-15,Brazil,BR_PB_250190,2,101,1,,,,,,
2020-06-16,Brazil,BR_PB_250190,3,112,1,,,,,,
2020-06-17,Brazil,BR_PB_250190,4,117,1,,,,,,
2020-06-18,Brazil,BR_PB_250190,5,117,1,,,,,,
2020-06-19,Brazil,BR_PB_250190,6,146,1,,,,,,
2020-06-20,Brazil,BR_PB_250190,7,158,2,,,,,,
2020-06-21,Brazil,BR_PB_250190,8,158,2,,,,,,
2020-06-22,Brazil,BR_PB_250190,9,160,2,,,,,,
2020-06-23,Brazil,BR_PB_250190,10,192,2,,,,,,
2020-06-24,Brazil,BR_PB_250190,11,204,2,,,,,,
2020-06-25,Brazil,BR_PB_250190,12,206,2,,,,,,
2020-06-26,Brazil,BR_PB_250190,13,226,2,,,,,,
2020-06-27,Brazil,BR_PB_250190,14,246,2,,,,,,
2020-06-28,Brazil,BR_PB_250190,15,247,2,,,,,,
2020-06-29,Brazil,BR_PB_250190,16,248,2,,,,,,
2020-06-30,Brazil,BR_PB_250190,17,273,2,,,,,,
2020-07-01,Brazil,BR_PB_250190,18,287,3,,,,,,
2020-07-02,Brazil,BR_PB_250190,19,308,3,,,,,,
2020-07-03,Brazil,BR_PB_250190,20,328,3,,,,,,
2020-07-04,Brazil,BR_PB_250190,21,348,3,,,,,,
2020-07-05,Brazil,BR_PB_250190,22,348,3,,,,,,
2020-07-06,Brazil,BR_PB_250190,23,350,3,,,,,,
2020-07-07,Brazil,BR_PB_250190,24,372,3,,,,,,
2020-07-08,Brazil,BR_PB_250190,25,422,3,,,,,,
2020-07-09,Brazil,BR_PB_250190,26,445,5,,,,,,
2020-07-10,Brazil,BR_PB_250190,27,470,5,,,,,,
2020-07-11,Brazil,BR_PB_250190,28,490,5,,,,,,
2020-07-12,Brazil,BR_PB_250190,29,490,5,,,,,,
2020-07-13,Brazil,BR_PB_250190,30,496,5,,,,,,
2020-07-14,Brazil,BR_PB_250190,31,510,5,,,,,,
2020-07-15,Brazil,BR_PB_250190,32,512,6,,,,,,
2020-07-16,Brazil,BR_PB_250190,33,543,7,,,,,,
2020-07-17,Brazil,BR_PB_250190,34,547,7,,,,,,
2020-07-18,Brazil,BR_PB_250190,35,548,7,,,,,,
2020-07-19,Brazil,BR_PB_250190,36,549,7,,,,,,
2020-07-20,Brazil,BR_PB_250190,37,550,7,,,,,,
2020-07-21,Brazil,BR_PB_250190,38,554,7,,,,,,
2020-07-22,Brazil,BR_PB_250190,39,620,8,,,,,,
2020-07-23,Brazil,BR_PB_250190,40,641,8,,,,,,
2020-07-24,Brazil,BR_PB_250190,41,663,8,,,,,,
2020-07-25,Brazil,BR_PB_250190,42,672,8,,,,,,
2020-07-26,Brazil,BR_PB_250190,43,673,8,,,,,,
2020-07-27,Brazil,BR_PB_250190,44,679,8,,,,,,
2020-07-28,Brazil,BR_PB_250190,45,681,8,,,,,,
2020-07-29,Brazil,BR_PB_250190,46,687,8,,,,,,
2020-07-30,Brazil,BR_PB_250190,47,732,8,,,,,,
2020-07-31,Brazil,BR_PB_250190,48,758,9,,,,,,
2020-08-01,Brazil,BR_PB_250190,49,792,9,,,,,,
2020-08-02,Brazil,BR_PB_250190,50,792,9,,,,,,
2020-08-03,Brazil,BR_PB_250190,51,794,9,,,,,,
2020-08-04,Brazil,BR_PB_250190,52,805,9,,,,,,
2020-08-05,Brazil,BR_PB_250190,53,830,9,,,,,,
2020-08-06,Brazil,BR_PB_250190,54,844,9,,,,,,
2020-08-07,Brazil,BR_PB_250190,55,894,9,,,,,,
2020-08-08,Brazil,BR_PB_250190,56,905,9,,,,,,
2020-08-09,Brazil,BR_PB_250190,57,905,9,,,,,,
2020-08-10,Brazil,BR_PB_250190,58,913,9,,,,,,
2020-08-11,Brazil,BR_PB_250190,59,926,9,,,,,,
2020-08-12,Brazil,BR_PB_250190,60,918,9,,,,,,
2020-08-13,Brazil,BR_PB_250190,61,935,9,,,,,,
2020-08-14,Brazil,BR_PB_250190,62,939,9,,,,,,
2020-08-15,Brazil,BR_PB_250190,63,942,9,,,,,,
2020-08-16,Brazil,BR_PB_250190,64,944,9,,,,,,
2020-08-17,Brazil,BR_PB_250190,65,947,9,,,,,,
