date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-02-25,Brazil,Sao_Paulo,-19,1,0,,,,,,
2020-02-26,Brazil,Sao_Paulo,-18,1,0,,,,,,
2020-02-27,Brazil,Sao_Paulo,-17,1,0,,,,,,
2020-02-28,Brazil,Sao_Paulo,-16,1,0,,,,,,
2020-02-29,Brazil,Sao_Paulo,-15,2,0,,,,,,
2020-03-01,Brazil,Sao_Paulo,-14,2,0,,,,,,
2020-03-02,Brazil,Sao_Paulo,-13,2,0,,,,,,
2020-03-03,Brazil,Sao_Paulo,-12,2,0,,,,,,
2020-03-04,Brazil,Sao_Paulo,-11,3,0,,,,,,
2020-03-05,Brazil,Sao_Paulo,-10,6,0,,,,,,
2020-03-06,Brazil,Sao_Paulo,-9,10,0,,,,,,
2020-03-07,Brazil,Sao_Paulo,-8,13,0,,,,,,
2020-03-08,Brazil,Sao_Paulo,-7,16,0,,,,,,
2020-03-09,Brazil,Sao_Paulo,-6,16,0,,,,,,
2020-03-10,Brazil,Sao_Paulo,-5,19,0,,,,,,
2020-03-11,Brazil,Sao_Paulo,-4,30,0,,,,,,
2020-03-12,Brazil,Sao_Paulo,-3,42,0,,,,,,
2020-03-13,Brazil,Sao_Paulo,-2,56,0,,,,,,
2020-03-14,Brazil,Sao_Paulo,-1,65,0,,,,,,
2020-03-15,Brazil,Sao_Paulo,0,136,0,,,,,,
2020-03-16,Brazil,Sao_Paulo,1,152,0,,,,,,
2020-03-17,Brazil,Sao_Paulo,2,164,1,,,,,,
2020-03-18,Brazil,Sao_Paulo,3,240,4,,,,,,
2020-03-19,Brazil,Sao_Paulo,4,286,4,,,,,,
2020-03-20,Brazil,Sao_Paulo,5,396,9,,,,,,
2020-03-21,Brazil,Sao_Paulo,6,459,15,,,,,,
2020-03-22,Brazil,Sao_Paulo,7,631,22,,,,,,
2020-03-23,Brazil,Sao_Paulo,8,745,30,,,,,,
2020-03-24,Brazil,Sao_Paulo,9,810,40,,,,,,
2020-03-25,Brazil,Sao_Paulo,10,862,48,,,,,,
2020-03-26,Brazil,Sao_Paulo,11,1052,58,,,,,,
2020-03-27,Brazil,Sao_Paulo,12,1223,68,,,,,,
2020-03-28,Brazil,Sao_Paulo,13,1406,84,,,,,,
2020-03-29,Brazil,Sao_Paulo,14,1451,98,,,,,,
2020-03-30,Brazil,Sao_Paulo,15,1517,113,,,,,,
2020-03-31,Brazil,Sao_Paulo,16,2339,136,,,,,,
2020-04-01,Brazil,Sao_Paulo,17,2981,164,,,,,,
2020-04-02,Brazil,Sao_Paulo,18,3506,188,,,,,,
2020-04-03,Brazil,Sao_Paulo,19,4048,219,,,,,,
2020-04-04,Brazil,Sao_Paulo,20,4466,260,,,,,,
2020-04-05,Brazil,Sao_Paulo,21,4620,275,,,,,,
2020-04-06,Brazil,Sao_Paulo,22,4866,304,,,,,,
2020-04-07,Brazil,Sao_Paulo,23,5682,371,,,,,,
2020-04-08,Brazil,Sao_Paulo,24,6708,428,,,,,,
2020-04-09,Brazil,Sao_Paulo,25,7480,496,,,,,,
2020-04-10,Brazil,Sao_Paulo,26,8216,540,,,,,,
2020-04-11,Brazil,Sao_Paulo,27,8419,560,,,,,,
2020-04-12,Brazil,Sao_Paulo,28,8755,588,,,,,,
2020-04-13,Brazil,Sao_Paulo,29,8895,608,,,,,,
2020-04-14,Brazil,Sao_Paulo,30,9371,695,,,,,,
2020-04-15,Brazil,Sao_Paulo,31,11043,778,,,,,,
2020-04-16,Brazil,Sao_Paulo,32,11568,853,,,,,,
2020-04-17,Brazil,Sao_Paulo,33,12841,928,,,,,,
2020-04-18,Brazil,Sao_Paulo,34,13894,991,,,,,,
2020-04-19,Brazil,Sao_Paulo,35,14267,1015,,,,,,
2020-04-20,Brazil,Sao_Paulo,36,14580,1037,,,,,,
2020-04-21,Brazil,Sao_Paulo,37,15385,1093,,,,,,
2020-04-22,Brazil,Sao_Paulo,38,15914,1134,,,,,,
2020-04-23,Brazil,Sao_Paulo,39,16740,1345,,,,,,
2020-04-24,Brazil,Sao_Paulo,40,17826,1512,,,,,,
2020-04-25,Brazil,Sao_Paulo,41,20004,1667,,,,,,
