date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-03,Chile,Arica y Parinacota,-8,12,0,,,,,,
2020-04-04,Chile,Arica y Parinacota,-7,12,0,,,,,,
2020-04-05,Chile,Arica y Parinacota,-6,28,0,,,,,,
2020-04-06,Chile,Arica y Parinacota,-5,41,0,,,,,,
2020-04-07,Chile,Arica y Parinacota,-4,53,0,,,,,,
2020-04-08,Chile,Arica y Parinacota,-3,63,0,,,,,,
2020-04-09,Chile,Arica y Parinacota,-2,75,0,,,,,,
2020-04-10,Chile,Arica y Parinacota,-1,87,0,,,,,,
2020-04-11,Chile,Arica y Parinacota,0,107,0,,,,,,
2020-04-12,Chile,Arica y Parinacota,1,115,1,,,,,,
2020-04-13,Chile,Arica y Parinacota,2,115,1,,,,,,
2020-04-14,Chile,Arica y Parinacota,3,120,1,,,,,,
2020-04-15,Chile,Arica y Parinacota,4,124,1,,,,,,
2020-04-16,Chile,Arica y Parinacota,5,129,1,,,,,,
2020-04-17,Chile,Arica y Parinacota,6,134,2,,,,,,
2020-04-18,Chile,Arica y Parinacota,7,142,2,,,,,,
2020-04-19,Chile,Arica y Parinacota,8,145,2,,,,,,
2020-04-20,Chile,Arica y Parinacota,9,161,2,,,,,,
2020-04-21,Chile,Arica y Parinacota,10,170,2,,,,,,
2020-04-22,Chile,Arica y Parinacota,11,180,2,,,,,,
2020-04-23,Chile,Arica y Parinacota,12,210,2,,,,,,
2020-04-24,Chile,Arica y Parinacota,13,239,3,,,,,,
2020-04-25,Chile,Arica y Parinacota,14,245,3,,,,,,
2020-04-26,Chile,Arica y Parinacota,15,252,3,,,,,,
2020-04-27,Chile,Arica y Parinacota,16,265,3,,,,,,
2020-04-28,Chile,Arica y Parinacota,17,268,3,,,,,,
2020-04-29,Chile,Arica y Parinacota,18,272,4,,,,,,
2020-04-30,Chile,Arica y Parinacota,19,279,4,,,,,,
2020-05-01,Chile,Arica y Parinacota,20,297,4,,,,,,
2020-05-02,Chile,Arica y Parinacota,21,307,4,,,,,,
2020-05-03,Chile,Arica y Parinacota,22,308,4,,,,,,
2020-05-04,Chile,Arica y Parinacota,23,308,4,,,,,,
2020-05-05,Chile,Arica y Parinacota,24,315,4,,,,,,
2020-05-06,Chile,Arica y Parinacota,25,318,5,,,,,,
2020-05-07,Chile,Arica y Parinacota,26,325,6,,,,,,
2020-05-08,Chile,Arica y Parinacota,27,327,6,,,,,,
2020-05-09,Chile,Arica y Parinacota,28,337,6,,,,,,
2020-05-10,Chile,Arica y Parinacota,29,340,6,,,,,,
2020-05-11,Chile,Arica y Parinacota,30,351,7,,,,,,
2020-05-12,Chile,Arica y Parinacota,31,351,7,,,,,,
2020-05-13,Chile,Arica y Parinacota,32,359,7,,,,,,
2020-05-14,Chile,Arica y Parinacota,33,363,7,,,,,,
2020-05-15,Chile,Arica y Parinacota,34,368,7,,,,,,
2020-05-16,Chile,Arica y Parinacota,35,377,7,,,,,,
2020-05-17,Chile,Arica y Parinacota,36,378,7,,,,,,
2020-05-18,Chile,Arica y Parinacota,37,398,7,,,,,,
2020-05-19,Chile,Arica y Parinacota,38,422,7,,,,,,
2020-05-20,Chile,Arica y Parinacota,39,424,7,,,,,,
2020-05-21,Chile,Arica y Parinacota,40,453,7,,,,,,
2020-05-22,Chile,Arica y Parinacota,41,471,7,,,,,,
2020-05-23,Chile,Arica y Parinacota,42,482,7,,,,,,
2020-05-24,Chile,Arica y Parinacota,43,498,7,,,,,,
2020-05-25,Chile,Arica y Parinacota,44,513,7,,,,,,
2020-05-26,Chile,Arica y Parinacota,45,522,7,,,,,,
2020-05-27,Chile,Arica y Parinacota,46,541,7,,,,,,
2020-05-28,Chile,Arica y Parinacota,47,562,7,,,,,,
2020-05-29,Chile,Arica y Parinacota,48,582,7,,,,,,
2020-05-30,Chile,Arica y Parinacota,49,588,7,,,,,,
2020-05-31,Chile,Arica y Parinacota,50,619,7,,,,,,
2020-06-01,Chile,Arica y Parinacota,51,636,8,,,,,,
2020-06-02,Chile,Arica y Parinacota,52,654,8,,,,,,
2020-06-03,Chile,Arica y Parinacota,53,701,8,,,,,,
2020-06-04,Chile,Arica y Parinacota,54,736,8,,,,,,
2020-06-05,Chile,Arica y Parinacota,55,782,9,,,,,,
2020-06-06,Chile,Arica y Parinacota,56,819,9,,,,,,
2020-06-07,Chile,Arica y Parinacota,57,850,9,,,,,,
2020-06-08,Chile,Arica y Parinacota,58,874,9,,,,,,
2020-06-09,Chile,Arica y Parinacota,59,914,9,,,,,,
2020-06-10,Chile,Arica y Parinacota,60,930,10,,,,,,
2020-06-11,Chile,Arica y Parinacota,61,967,10,,,,,,
2020-06-12,Chile,Arica y Parinacota,62,1011,10,,,,,,
2020-06-13,Chile,Arica y Parinacota,63,1062,10,,,,,,
2020-06-14,Chile,Arica y Parinacota,64,1109,11,,,,,,
2020-06-15,Chile,Arica y Parinacota,65,1139,11,,,,,,
