date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-10,Chile,Atacama,-29,13,0,,,,,,
2020-04-11,Chile,Atacama,-28,13,0,,,,,,
2020-04-12,Chile,Atacama,-27,13,0,,,,,,
2020-04-13,Chile,Atacama,-26,13,0,,,,,,
2020-04-14,Chile,Atacama,-25,13,0,,,,,,
2020-04-15,Chile,Atacama,-24,13,0,,,,,,
2020-04-16,Chile,Atacama,-23,13,0,,,,,,
2020-04-17,Chile,Atacama,-22,13,0,,,,,,
2020-04-18,Chile,Atacama,-21,13,0,,,,,,
2020-04-19,Chile,Atacama,-20,13,0,,,,,,
2020-04-20,Chile,Atacama,-19,13,0,,,,,,
2020-04-21,Chile,Atacama,-18,13,0,,,,,,
2020-04-22,Chile,Atacama,-17,13,0,,,,,,
2020-04-23,Chile,Atacama,-16,18,0,,,,,,
2020-04-24,Chile,Atacama,-15,21,0,,,,,,
2020-04-25,Chile,Atacama,-14,24,0,,,,,,
2020-04-26,Chile,Atacama,-13,29,0,,,,,,
2020-04-27,Chile,Atacama,-12,35,0,,,,,,
2020-04-28,Chile,Atacama,-11,35,0,,,,,,
2020-04-29,Chile,Atacama,-10,42,0,,,,,,
2020-04-30,Chile,Atacama,-9,43,0,,,,,,
2020-05-01,Chile,Atacama,-8,43,0,,,,,,
2020-05-02,Chile,Atacama,-7,59,0,,,,,,
2020-05-03,Chile,Atacama,-6,67,0,,,,,,
2020-05-04,Chile,Atacama,-5,70,0,,,,,,
2020-05-05,Chile,Atacama,-4,78,0,,,,,,
2020-05-06,Chile,Atacama,-3,80,0,,,,,,
2020-05-07,Chile,Atacama,-2,87,0,,,,,,
2020-05-08,Chile,Atacama,-1,88,0,,,,,,
2020-05-09,Chile,Atacama,0,117,0,,,,,,
2020-05-10,Chile,Atacama,1,124,0,,,,,,
2020-05-11,Chile,Atacama,2,133,0,,,,,,
2020-05-12,Chile,Atacama,3,134,0,,,,,,
2020-05-13,Chile,Atacama,4,139,0,,,,,,
2020-05-14,Chile,Atacama,5,140,0,,,,,,
2020-05-15,Chile,Atacama,6,143,0,,,,,,
2020-05-16,Chile,Atacama,7,146,0,,,,,,
2020-05-17,Chile,Atacama,8,149,0,,,,,,
2020-05-18,Chile,Atacama,9,157,0,,,,,,
2020-05-19,Chile,Atacama,10,158,0,,,,,,
2020-05-20,Chile,Atacama,11,163,0,,,,,,
2020-05-21,Chile,Atacama,12,168,0,,,,,,
2020-05-22,Chile,Atacama,13,175,0,,,,,,
2020-05-23,Chile,Atacama,14,182,0,,,,,,
2020-05-24,Chile,Atacama,15,182,0,,,,,,
2020-05-25,Chile,Atacama,16,185,0,,,,,,
2020-05-26,Chile,Atacama,17,188,0,,,,,,
2020-05-27,Chile,Atacama,18,197,0,,,,,,
2020-05-28,Chile,Atacama,19,202,0,,,,,,
2020-05-29,Chile,Atacama,20,207,0,,,,,,
2020-05-30,Chile,Atacama,21,215,0,,,,,,
2020-05-31,Chile,Atacama,22,218,0,,,,,,
2020-06-01,Chile,Atacama,23,232,0,,,,,,
2020-06-02,Chile,Atacama,24,236,0,,,,,,
2020-06-03,Chile,Atacama,25,242,0,,,,,,
2020-06-04,Chile,Atacama,26,258,0,,,,,,
2020-06-05,Chile,Atacama,27,269,0,,,,,,
2020-06-06,Chile,Atacama,28,281,0,,,,,,
2020-06-07,Chile,Atacama,29,306,0,,,,,,
2020-06-08,Chile,Atacama,30,339,0,,,,,,
2020-06-09,Chile,Atacama,31,348,0,,,,,,
2020-06-10,Chile,Atacama,32,365,0,,,,,,
2020-06-11,Chile,Atacama,33,389,0,,,,,,
2020-06-12,Chile,Atacama,34,413,0,,,,,,
2020-06-13,Chile,Atacama,35,436,0,,,,,,
2020-06-14,Chile,Atacama,36,448,0,,,,,,
2020-06-15,Chile,Atacama,37,484,0,,,,,,
2020-06-16,Chile,Atacama,38,502,0,,,,,,
2020-06-17,Chile,Atacama,39,551,0,,,,,,
2020-06-18,Chile,Atacama,40,576,0,,,,,,
2020-06-19,Chile,Atacama,41,613,0,,,,,,
2020-06-20,Chile,Atacama,42,640,1,,,,,,
2020-06-21,Chile,Atacama,43,673,2,,,,,,
2020-06-22,Chile,Atacama,44,708,2,,,,,,
2020-06-23,Chile,Atacama,45,737,2,,,,,,
2020-06-24,Chile,Atacama,46,775,2,,,,,,
2020-06-25,Chile,Atacama,47,827,2,,,,,,
2020-06-26,Chile,Atacama,48,877,2,,,,,,
2020-06-27,Chile,Atacama,49,915,2,,,,,,
2020-06-28,Chile,Atacama,50,946,2,,,,,,
2020-06-29,Chile,Atacama,51,996,2,,,,,,
2020-06-30,Chile,Atacama,52,1033,2,,,,,,
2020-07-01,Chile,Atacama,53,1104,2,,,,,,
2020-07-02,Chile,Atacama,54,1125,2,,,,,,
2020-07-03,Chile,Atacama,55,1156,3,,,,,,
2020-07-04,Chile,Atacama,56,1198,5,,,,,,
2020-07-05,Chile,Atacama,57,1243,5,,,,,,
2020-07-06,Chile,Atacama,58,1291,5,,,,,,
2020-07-07,Chile,Atacama,59,1313,5,,,,,,
2020-07-08,Chile,Atacama,60,1347,7,,,,,,
2020-07-09,Chile,Atacama,61,1419,7,,,,,,
2020-07-10,Chile,Atacama,62,1457,9,,,,,,
2020-07-11,Chile,Atacama,63,1512,9,,,,,,
2020-07-12,Chile,Atacama,64,1566,9,,,,,,
2020-07-13,Chile,Atacama,65,1623,9,,,,,,
2020-07-14,Chile,Atacama,66,1664,9,,,,,,
2020-07-15,Chile,Atacama,67,1712,10,,,,,,
2020-07-16,Chile,Atacama,68,1735,10,,,,,,
2020-07-17,Chile,Atacama,69,1737,10,,,,,,
