date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-24,Chile,Coquimbo,-44,11,0,,,,,,
2020-03-25,Chile,Coquimbo,-43,12,0,,,,,,
2020-03-26,Chile,Coquimbo,-42,13,0,,,,,,
2020-03-27,Chile,Coquimbo,-41,14,0,,,,,,
2020-03-28,Chile,Coquimbo,-40,15,0,,,,,,
2020-03-29,Chile,Coquimbo,-39,18,0,,,,,,
2020-03-30,Chile,Coquimbo,-38,27,0,,,,,,
2020-03-31,Chile,Coquimbo,-37,28,0,,,,,,
2020-04-01,Chile,Coquimbo,-36,30,0,,,,,,
2020-04-02,Chile,Coquimbo,-35,34,0,,,,,,
2020-04-03,Chile,Coquimbo,-34,35,0,,,,,,
2020-04-04,Chile,Coquimbo,-33,44,0,,,,,,
2020-04-05,Chile,Coquimbo,-32,50,0,,,,,,
2020-04-06,Chile,Coquimbo,-31,51,0,,,,,,
2020-04-07,Chile,Coquimbo,-30,52,0,,,,,,
2020-04-08,Chile,Coquimbo,-29,56,0,,,,,,
2020-04-09,Chile,Coquimbo,-28,61,0,,,,,,
2020-04-10,Chile,Coquimbo,-27,61,0,,,,,,
2020-04-11,Chile,Coquimbo,-26,64,0,,,,,,
2020-04-12,Chile,Coquimbo,-25,66,0,,,,,,
2020-04-13,Chile,Coquimbo,-24,66,0,,,,,,
2020-04-14,Chile,Coquimbo,-23,66,0,,,,,,
2020-04-15,Chile,Coquimbo,-22,66,0,,,,,,
2020-04-16,Chile,Coquimbo,-21,68,0,,,,,,
2020-04-17,Chile,Coquimbo,-20,68,0,,,,,,
2020-04-18,Chile,Coquimbo,-19,68,0,,,,,,
2020-04-19,Chile,Coquimbo,-18,68,0,,,,,,
2020-04-20,Chile,Coquimbo,-17,69,0,,,,,,
2020-04-21,Chile,Coquimbo,-16,69,0,,,,,,
2020-04-22,Chile,Coquimbo,-15,70,0,,,,,,
2020-04-23,Chile,Coquimbo,-14,70,0,,,,,,
2020-04-24,Chile,Coquimbo,-13,72,0,,,,,,
2020-04-25,Chile,Coquimbo,-12,73,0,,,,,,
2020-04-26,Chile,Coquimbo,-11,73,0,,,,,,
2020-04-27,Chile,Coquimbo,-10,74,0,,,,,,
2020-04-28,Chile,Coquimbo,-9,74,0,,,,,,
2020-04-29,Chile,Coquimbo,-8,76,0,,,,,,
2020-04-30,Chile,Coquimbo,-7,76,0,,,,,,
2020-05-01,Chile,Coquimbo,-6,77,0,,,,,,
2020-05-02,Chile,Coquimbo,-5,78,0,,,,,,
2020-05-03,Chile,Coquimbo,-4,88,0,,,,,,
2020-05-04,Chile,Coquimbo,-3,91,0,,,,,,
2020-05-05,Chile,Coquimbo,-2,97,0,,,,,,
2020-05-06,Chile,Coquimbo,-1,97,0,,,,,,
2020-05-07,Chile,Coquimbo,0,100,0,,,,,,
2020-05-08,Chile,Coquimbo,1,111,0,,,,,,
2020-05-09,Chile,Coquimbo,2,129,0,,,,,,
2020-05-10,Chile,Coquimbo,3,135,1,,,,,,
2020-05-11,Chile,Coquimbo,4,140,1,,,,,,
2020-05-12,Chile,Coquimbo,5,148,1,,,,,,
2020-05-13,Chile,Coquimbo,6,153,1,,,,,,
2020-05-14,Chile,Coquimbo,7,165,1,,,,,,
2020-05-15,Chile,Coquimbo,8,180,1,,,,,,
2020-05-16,Chile,Coquimbo,9,187,2,,,,,,
2020-05-17,Chile,Coquimbo,10,194,2,,,,,,
2020-05-18,Chile,Coquimbo,11,212,2,,,,,,
2020-05-19,Chile,Coquimbo,12,239,2,,,,,,
2020-05-20,Chile,Coquimbo,13,263,2,,,,,,
2020-05-21,Chile,Coquimbo,14,268,2,,,,,,
2020-05-22,Chile,Coquimbo,15,281,2,,,,,,
2020-05-23,Chile,Coquimbo,16,294,2,,,,,,
2020-05-24,Chile,Coquimbo,17,323,2,,,,,,
2020-05-25,Chile,Coquimbo,18,338,2,,,,,,
2020-05-26,Chile,Coquimbo,19,384,2,,,,,,
2020-05-27,Chile,Coquimbo,20,455,2,,,,,,
2020-05-28,Chile,Coquimbo,21,482,2,,,,,,
2020-05-29,Chile,Coquimbo,22,537,2,,,,,,
2020-05-30,Chile,Coquimbo,23,597,2,,,,,,
2020-05-31,Chile,Coquimbo,24,628,2,,,,,,
2020-06-01,Chile,Coquimbo,25,668,2,,,,,,
2020-06-02,Chile,Coquimbo,26,687,2,,,,,,
2020-06-03,Chile,Coquimbo,27,718,4,,,,,,
2020-06-04,Chile,Coquimbo,28,772,4,,,,,,
2020-06-05,Chile,Coquimbo,29,832,5,,,,,,
2020-06-06,Chile,Coquimbo,30,898,5,,,,,,
2020-06-07,Chile,Coquimbo,31,990,5,,,,,,
2020-06-08,Chile,Coquimbo,32,1123,5,,,,,,
2020-06-09,Chile,Coquimbo,33,1175,5,,,,,,
2020-06-10,Chile,Coquimbo,34,1256,6,,,,,,
2020-06-11,Chile,Coquimbo,35,1345,7,,,,,,
2020-06-12,Chile,Coquimbo,36,1438,7,,,,,,
