date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-02-25,Chile,Magallanes,-37,0,0,,,,,,
2020-02-26,Chile,Magallanes,-36,0,0,,,,,,
2020-02-27,Chile,Magallanes,-35,0,0,,,,,,
2020-02-28,Chile,Magallanes,-34,0,0,,,,,,
2020-02-29,Chile,Magallanes,-33,0,0,,,,,,
2020-03-01,Chile,Magallanes,-32,0,0,,,,,,
2020-03-02,Chile,Magallanes,-31,0,0,,,,,,
2020-03-03,Chile,Magallanes,-30,0,0,,,,,,
2020-03-04,Chile,Magallanes,-29,0,0,,,,,,
2020-03-05,Chile,Magallanes,-28,0,0,,,,,,
2020-03-06,Chile,Magallanes,-27,0,0,,,,,,
2020-03-07,Chile,Magallanes,-26,0,0,,,,,,
2020-03-08,Chile,Magallanes,-25,0,0,,,,,,
2020-03-09,Chile,Magallanes,-24,0,0,,,,,,
2020-03-10,Chile,Magallanes,-23,0,0,,,,,,
2020-03-11,Chile,Magallanes,-22,0,0,,,,,,
2020-03-12,Chile,Magallanes,-21,0,0,,,,,,
2020-03-13,Chile,Magallanes,-20,0,0,,,,,,
2020-03-14,Chile,Magallanes,-19,0,0,,,,,,
2020-03-15,Chile,Magallanes,-18,0,0,,,,,,
2020-03-16,Chile,Magallanes,-17,0,0,,,,,,
2020-03-17,Chile,Magallanes,-16,2,0,,,,,,
2020-03-18,Chile,Magallanes,-15,2,0,,,,,,
2020-03-19,Chile,Magallanes,-14,2,0,,,,,,
2020-03-20,Chile,Magallanes,-13,2,0,,,,,,
2020-03-21,Chile,Magallanes,-12,3,0,,,,,,
2020-03-22,Chile,Magallanes,-11,4,0,,,,,,
2020-03-23,Chile,Magallanes,-10,6,0,,,,,,
2020-03-24,Chile,Magallanes,-9,8,0,,,,,,
2020-03-25,Chile,Magallanes,-8,13,0,,,,,,
2020-03-26,Chile,Magallanes,-7,19,0,,,,,,
2020-03-27,Chile,Magallanes,-6,22,0,,,,,,
2020-03-28,Chile,Magallanes,-5,26,0,,,,,,
2020-03-29,Chile,Magallanes,-4,39,0,,,,,,
2020-03-30,Chile,Magallanes,-3,39,0,,,,,,
2020-03-31,Chile,Magallanes,-2,63,0,,,,,,
2020-04-01,Chile,Magallanes,-1,99,0,,,,,,
2020-04-02,Chile,Magallanes,0,114,0,,,,,,
2020-04-03,Chile,Magallanes,1,156,1,,,,,,
2020-04-04,Chile,Magallanes,2,172,2,,,,,,
2020-04-05,Chile,Magallanes,3,190,2,,,,,,
