date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-02-25,Colombia,Atlantico,-52,0.0,0.0,,,,,,
2020-02-26,Colombia,Atlantico,-51,0.0,0.0,,,,,,
2020-02-27,Colombia,Atlantico,-50,0.0,0.0,,,,,,
2020-02-28,Colombia,Atlantico,-49,0.0,0.0,,,,,,
2020-02-29,Colombia,Atlantico,-48,0.0,0.0,,,,,,
2020-03-01,Colombia,Atlantico,-47,0.0,0.0,,,,,,
2020-03-02,Colombia,Atlantico,-46,0.0,0.0,,,,,,
2020-03-03,Colombia,Atlantico,-45,0.0,0.0,,,,,,
2020-03-04,Colombia,Atlantico,-44,0.0,0.0,,,,,,
2020-03-05,Colombia,Atlantico,-43,0.0,0.0,,,,,,
2020-03-06,Colombia,Atlantico,-42,0.0,0.0,,,,,,
2020-03-07,Colombia,Atlantico,-41,0.0,0.0,,,,,,
2020-03-08,Colombia,Atlantico,-40,0.0,0.0,,,,,,
2020-03-09,Colombia,Atlantico,-39,0.0,0.0,,,,,,
2020-03-10,Colombia,Atlantico,-38,0.0,0.0,,,,,,
2020-03-11,Colombia,Atlantico,-37,0.0,0.0,,,,,,
2020-03-12,Colombia,Atlantico,-36,0.0,0.0,,,,,,
2020-03-13,Colombia,Atlantico,-35,0.0,0.0,,,,,,
2020-03-14,Colombia,Atlantico,-34,0.0,0.0,,,,,,
2020-03-15,Colombia,Atlantico,-33,0.0,0.0,,,,,,
2020-03-16,Colombia,Atlantico,-32,2.0,0.0,,,,,,
2020-03-17,Colombia,Atlantico,-31,2.0,0.0,,,,,,
2020-03-18,Colombia,Atlantico,-30,2.0,0.0,,,,,,
2020-03-19,Colombia,Atlantico,-29,5.0,0.0,,,,,,
2020-03-20,Colombia,Atlantico,-28,5.0,0.0,,,,,,
2020-03-21,Colombia,Atlantico,-27,7.0,0.0,,,,,,
2020-03-22,Colombia,Atlantico,-26,7.0,0.0,,,,,,
2020-03-23,Colombia,Atlantico,-25,7.0,0.0,,,,,,
2020-03-24,Colombia,Atlantico,-24,9.0,0.0,,,,,,
2020-03-25,Colombia,Atlantico,-23,13.0,0.0,,,,,,
2020-03-26,Colombia,Atlantico,-22,13.0,0.0,,,,,,
2020-03-27,Colombia,Atlantico,-21,16.0,1.0,,,,,,
2020-03-28,Colombia,Atlantico,-20,20.0,1.0,,,,,,
2020-03-29,Colombia,Atlantico,-19,24.0,1.0,,,,,,
2020-03-30,Colombia,Atlantico,-18,25.0,1.0,,,,,,
2020-03-31,Colombia,Atlantico,-17,33.0,1.0,,,,,,
2020-04-01,Colombia,Atlantico,-16,35.0,1.0,,,,,,
2020-04-02,Colombia,Atlantico,-15,35.0,2.0,,,,,,
2020-04-03,Colombia,Atlantico,-14,47.0,4.0,,,,,,
2020-04-04,Colombia,Atlantico,-13,47.0,4.0,,,,,,
2020-04-05,Colombia,Atlantico,-12,51.0,4.0,,,,,,
2020-04-06,Colombia,Atlantico,-11,52.0,4.0,,,,,,
2020-04-07,Colombia,Atlantico,-10,60.0,4.0,,,,,,
2020-04-08,Colombia,Atlantico,-9,67.0,4.0,,,,,,
2020-04-09,Colombia,Atlantico,-8,73.0,5.0,,,,,,
2020-04-10,Colombia,Atlantico,-7,79.0,5.0,,,,,,
2020-04-11,Colombia,Atlantico,-6,84.0,5.0,,,,,,
2020-04-12,Colombia,Atlantico,-5,89.0,5.0,,,,,,
2020-04-13,Colombia,Atlantico,-4,92.0,5.0,,,,,,
2020-04-14,Colombia,Atlantico,-3,94.0,5.0,,,,,,
2020-04-15,Colombia,Atlantico,-2,95.0,5.0,,,,,,
2020-04-16,Colombia,Atlantico,-1,97.0,5.0,,,,,,
2020-04-17,Colombia,Atlantico,0,100.0,5.0,,,,,,
2020-04-18,Colombia,Atlantico,1,106.0,5.0,,,,,,
2020-04-19,Colombia,Atlantico,2,108.0,5.0,,,,,,
