date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-25,Colombia,Caldas,-36,11,0,,,,,,
2020-03-26,Colombia,Caldas,-35,11,0,,,,,,
2020-03-27,Colombia,Caldas,-34,12,0,,,,,,
2020-03-28,Colombia,Caldas,-33,13,0,,,,,,
2020-03-29,Colombia,Caldas,-32,14,0,,,,,,
2020-03-30,Colombia,Caldas,-31,15,0,,,,,,
2020-03-31,Colombia,Caldas,-30,15,0,,,,,,
2020-04-01,Colombia,Caldas,-29,15,1,,,,,,
2020-04-02,Colombia,Caldas,-28,16,1,,,,,,
2020-04-04,Colombia,Caldas,-27,16,1,,,,,,
2020-04-05,Colombia,Caldas,-26,16,1,,,,,,
2020-04-08,Colombia,Caldas,-25,19,1,,,,,,
2020-04-09,Colombia,Caldas,-24,24,1,,,,,,
2020-04-10,Colombia,Caldas,-23,25,1,,,,,,
2020-04-11,Colombia,Caldas,-22,33,2,,,,,,
2020-04-12,Colombia,Caldas,-21,34,2,,,,,,
2020-04-13,Colombia,Caldas,-20,36,2,,,,,,
2020-04-15,Colombia,Caldas,-19,42,2,,,,,,
2020-04-16,Colombia,Caldas,-18,44,2,,,,,,
2020-04-17,Colombia,Caldas,-17,47,2,,,,,,
2020-04-19,Colombia,Caldas,-16,47,2,,,,,,
2020-04-20,Colombia,Caldas,-15,49,2,,,,,,
2020-04-21,Colombia,Caldas,-14,49,2,,,,,,
2020-04-23,Colombia,Caldas,-13,49,2,,,,,,
2020-04-24,Colombia,Caldas,-12,52,2,,,,,,
2020-04-26,Colombia,Caldas,-11,53,2,,,,,,
2020-04-27,Colombia,Caldas,-10,53,2,,,,,,
2020-04-28,Colombia,Caldas,-9,56,2,,,,,,
2020-04-29,Colombia,Caldas,-8,59,2,,,,,,
2020-04-30,Colombia,Caldas,-7,69,2,,,,,,
2020-05-02,Colombia,Caldas,-6,79,2,,,,,,
2020-05-03,Colombia,Caldas,-5,79,3,,,,,,
2020-05-05,Colombia,Caldas,-4,91,3,,,,,,
2020-05-06,Colombia,Caldas,-3,94,3,,,,,,
2020-05-07,Colombia,Caldas,-2,94,3,,,,,,
2020-05-08,Colombia,Caldas,-1,94,4,,,,,,
2020-05-09,Colombia,Caldas,0,100,5,,,,,,
2020-05-10,Colombia,Caldas,1,100,5,,,,,,
2020-05-11,Colombia,Caldas,2,100,5,,,,,,
2020-05-12,Colombia,Caldas,3,104,5,,,,,,
2020-05-13,Colombia,Caldas,4,104,5,,,,,,
2020-05-14,Colombia,Caldas,5,108,5,,,,,,
2020-05-15,Colombia,Caldas,6,109,5,,,,,,
2020-05-16,Colombia,Caldas,7,118,5,,,,,,
2020-05-17,Colombia,Caldas,8,119,5,,,,,,
2020-05-18,Colombia,Caldas,9,119,5,,,,,,
2020-05-19,Colombia,Caldas,10,119,5,,,,,,
2020-05-20,Colombia,Caldas,11,125,5,,,,,,
2020-05-21,Colombia,Caldas,12,125,5,,,,,,
2020-05-22,Colombia,Caldas,13,125,5,,,,,,
2020-05-23,Colombia,Caldas,14,126,5,,,,,,
2020-05-24,Colombia,Caldas,15,127,5,,,,,,
2020-05-25,Colombia,Caldas,16,127,5,,,,,,
2020-05-26,Colombia,Caldas,17,129,5,,,,,,
2020-05-27,Colombia,Caldas,18,133,5,,,,,,
2020-05-28,Colombia,Caldas,19,134,5,,,,,,
2020-05-29,Colombia,Caldas,20,134,5,,,,,,
2020-05-30,Colombia,Caldas,21,134,5,,,,,,
2020-05-31,Colombia,Caldas,22,134,5,,,,,,
2020-06-01,Colombia,Caldas,23,137,5,,,,,,
2020-06-02,Colombia,Caldas,24,145,5,,,,,,
2020-06-03,Colombia,Caldas,25,156,6,,,,,,
2020-06-04,Colombia,Caldas,26,161,6,,,,,,
2020-06-05,Colombia,Caldas,27,163,6,,,,,,
2020-06-06,Colombia,Caldas,28,172,6,,,,,,
2020-06-07,Colombia,Caldas,29,175,6,,,,,,
2020-06-09,Colombia,Caldas,30,179,6,,,,,,
2020-06-10,Colombia,Caldas,31,185,6,,,,,,
2020-06-11,Colombia,Caldas,32,188,6,,,,,,
2020-06-12,Colombia,Caldas,33,191,6,,,,,,
2020-06-13,Colombia,Caldas,34,192,6,,,,,,
2020-06-14,Colombia,Caldas,35,197,6,,,,,,
2020-06-15,Colombia,Caldas,36,201,6,,,,,,
2020-06-16,Colombia,Caldas,37,206,6,,,,,,
2020-06-17,Colombia,Caldas,38,206,6,,,,,,
2020-06-18,Colombia,Caldas,39,208,6,,,,,,
2020-06-19,Colombia,Caldas,40,212,6,,,,,,
2020-06-20,Colombia,Caldas,41,217,6,,,,,,
2020-06-21,Colombia,Caldas,42,219,6,,,,,,
