date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-18,Colombia,Choco,-26,12,0,,,,,,
2020-04-19,Colombia,Choco,-25,15,0,,,,,,
2020-04-20,Colombia,Choco,-24,17,0,,,,,,
2020-04-21,Colombia,Choco,-23,18,0,,,,,,
2020-04-23,Colombia,Choco,-22,19,0,,,,,,
2020-04-25,Colombia,Choco,-21,19,1,,,,,,
2020-04-26,Colombia,Choco,-20,20,1,,,,,,
2020-04-28,Colombia,Choco,-19,21,1,,,,,,
2020-04-29,Colombia,Choco,-18,23,1,,,,,,
2020-04-30,Colombia,Choco,-17,23,2,,,,,,
2020-05-01,Colombia,Choco,-16,24,2,,,,,,
2020-05-02,Colombia,Choco,-15,26,3,,,,,,
2020-05-04,Colombia,Choco,-14,34,3,,,,,,
2020-05-05,Colombia,Choco,-13,36,3,,,,,,
2020-05-06,Colombia,Choco,-12,39,3,,,,,,
2020-05-08,Colombia,Choco,-11,42,3,,,,,,
2020-05-09,Colombia,Choco,-10,43,3,,,,,,
2020-05-10,Colombia,Choco,-9,44,3,,,,,,
2020-05-11,Colombia,Choco,-8,44,3,,,,,,
2020-05-12,Colombia,Choco,-7,52,3,,,,,,
2020-05-13,Colombia,Choco,-6,57,3,,,,,,
2020-05-15,Colombia,Choco,-5,59,3,,,,,,
2020-05-16,Colombia,Choco,-4,59,4,,,,,,
2020-05-17,Colombia,Choco,-3,60,5,,,,,,
2020-05-18,Colombia,Choco,-2,61,5,,,,,,
2020-05-19,Colombia,Choco,-1,94,5,,,,,,
2020-05-20,Colombia,Choco,0,101,5,,,,,,
2020-05-21,Colombia,Choco,1,102,5,,,,,,
2020-05-22,Colombia,Choco,2,105,5,,,,,,
2020-05-23,Colombia,Choco,3,108,5,,,,,,
2020-05-24,Colombia,Choco,4,117,5,,,,,,
2020-05-25,Colombia,Choco,5,133,6,,,,,,
2020-05-26,Colombia,Choco,6,146,7,,,,,,
2020-05-27,Colombia,Choco,7,179,7,,,,,,
2020-05-28,Colombia,Choco,8,239,8,,,,,,
2020-05-29,Colombia,Choco,9,239,13,,,,,,
2020-05-30,Colombia,Choco,10,263,13,,,,,,
2020-05-31,Colombia,Choco,11,269,14,,,,,,
2020-06-01,Colombia,Choco,12,270,15,,,,,,
2020-06-02,Colombia,Choco,13,340,16,,,,,,
2020-06-03,Colombia,Choco,14,344,19,,,,,,
2020-06-04,Colombia,Choco,15,386,20,,,,,,
2020-06-05,Colombia,Choco,16,444,23,,,,,,
2020-06-06,Colombia,Choco,17,447,26,,,,,,
2020-06-07,Colombia,Choco,18,461,29,,,,,,
2020-06-08,Colombia,Choco,19,519,31,,,,,,
2020-06-09,Colombia,Choco,20,536,33,,,,,,
2020-06-10,Colombia,Choco,21,604,35,,,,,,
2020-06-11,Colombia,Choco,22,624,35,,,,,,
2020-06-12,Colombia,Choco,23,629,35,,,,,,
2020-06-13,Colombia,Choco,24,727,39,,,,,,
2020-06-14,Colombia,Choco,25,743,39,,,,,,
2020-06-15,Colombia,Choco,26,770,43,,,,,,
2020-06-16,Colombia,Choco,27,878,45,,,,,,
2020-06-17,Colombia,Choco,28,898,49,,,,,,
2020-06-18,Colombia,Choco,29,978,52,,,,,,
2020-06-19,Colombia,Choco,30,1014,57,,,,,,
2020-06-20,Colombia,Choco,31,1039,59,,,,,,
2020-06-21,Colombia,Choco,32,1052,63,,,,,,
2020-06-22,Colombia,Choco,33,1086,63,,,,,,
2020-06-23,Colombia,Choco,34,1110,66,,,,,,
