date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-17,Colombia,Valle Del Cauca,-11,13,0,,,,,,
2020-03-19,Colombia,Valle Del Cauca,-10,14,0,,,,,,
2020-03-20,Colombia,Valle Del Cauca,-9,15,0,,,,,,
2020-03-21,Colombia,Valle Del Cauca,-8,27,0,,,,,,
2020-03-22,Colombia,Valle Del Cauca,-7,32,1,,,,,,
2020-03-23,Colombia,Valle Del Cauca,-6,38,1,,,,,,
2020-03-24,Colombia,Valle Del Cauca,-5,68,1,,,,,,
2020-03-25,Colombia,Valle Del Cauca,-4,73,3,,,,,,
2020-03-26,Colombia,Valle Del Cauca,-3,75,3,,,,,,
2020-03-28,Colombia,Valle Del Cauca,-2,86,3,,,,,,
2020-03-29,Colombia,Valle Del Cauca,-1,94,3,,,,,,
2020-03-30,Colombia,Valle Del Cauca,0,107,4,,,,,,
2020-03-31,Colombia,Valle Del Cauca,1,118,5,,,,,,
2020-04-01,Colombia,Valle Del Cauca,2,150,5,,,,,,
2020-04-02,Colombia,Valle Del Cauca,3,154,6,,,,,,
2020-04-03,Colombia,Valle Del Cauca,4,172,7,,,,,,
2020-04-04,Colombia,Valle Del Cauca,5,185,10,,,,,,
2020-04-05,Colombia,Valle Del Cauca,6,202,10,,,,,,
2020-04-06,Colombia,Valle Del Cauca,7,216,12,,,,,,
2020-04-07,Colombia,Valle Del Cauca,8,233,12,,,,,,
2020-04-08,Colombia,Valle Del Cauca,9,325,12,,,,,,
2020-04-09,Colombia,Valle Del Cauca,10,364,15,,,,,,
2020-04-10,Colombia,Valle Del Cauca,11,434,15,,,,,,
2020-04-11,Colombia,Valle Del Cauca,12,495,15,,,,,,
2020-04-12,Colombia,Valle Del Cauca,13,505,22,,,,,,
2020-04-13,Colombia,Valle Del Cauca,14,510,23,,,,,,
2020-04-14,Colombia,Valle Del Cauca,15,526,25,,,,,,
2020-04-15,Colombia,Valle Del Cauca,16,546,31,,,,,,
2020-04-16,Colombia,Valle Del Cauca,17,574,36,,,,,,
2020-04-17,Colombia,Valle Del Cauca,18,621,37,,,,,,
2020-04-18,Colombia,Valle Del Cauca,19,644,40,,,,,,
2020-04-19,Colombia,Valle Del Cauca,20,655,44,,,,,,
2020-04-20,Colombia,Valle Del Cauca,21,704,46,,,,,,
2020-04-21,Colombia,Valle Del Cauca,22,738,47,,,,,,
2020-04-22,Colombia,Valle Del Cauca,23,767,50,,,,,,
2020-04-23,Colombia,Valle Del Cauca,24,806,52,,,,,,
2020-04-24,Colombia,Valle Del Cauca,25,832,52,,,,,,
2020-04-25,Colombia,Valle Del Cauca,26,851,52,,,,,,
2020-04-26,Colombia,Valle Del Cauca,27,879,54,,,,,,
2020-04-27,Colombia,Valle Del Cauca,28,886,57,,,,,,
2020-04-28,Colombia,Valle Del Cauca,29,920,59,,,,,,
2020-04-29,Colombia,Valle Del Cauca,30,942,62,,,,,,
2020-04-30,Colombia,Valle Del Cauca,31,983,63,,,,,,
2020-05-01,Colombia,Valle Del Cauca,32,1047,64,,,,,,
2020-05-02,Colombia,Valle Del Cauca,33,1093,67,,,,,,
2020-05-03,Colombia,Valle Del Cauca,34,1095,68,,,,,,
2020-05-04,Colombia,Valle Del Cauca,35,1135,73,,,,,,
2020-05-05,Colombia,Valle Del Cauca,36,1189,73,,,,,,
2020-05-06,Colombia,Valle Del Cauca,37,1237,76,,,,,,
2020-05-07,Colombia,Valle Del Cauca,38,1287,78,,,,,,
2020-05-08,Colombia,Valle Del Cauca,39,1332,79,,,,,,
2020-05-09,Colombia,Valle Del Cauca,40,1390,81,,,,,,
2020-05-10,Colombia,Valle Del Cauca,41,1401,84,,,,,,
2020-05-11,Colombia,Valle Del Cauca,42,1440,90,,,,,,
2020-05-12,Colombia,Valle Del Cauca,43,1491,91,,,,,,
2020-05-13,Colombia,Valle Del Cauca,44,1557,94,,,,,,
2020-05-14,Colombia,Valle Del Cauca,45,1638,99,,,,,,
2020-05-15,Colombia,Valle Del Cauca,46,1686,100,,,,,,
2020-05-16,Colombia,Valle Del Cauca,47,1762,102,,,,,,
2020-05-17,Colombia,Valle Del Cauca,48,1869,107,,,,,,
2020-05-18,Colombia,Valle Del Cauca,49,1917,110,,,,,,
2020-05-19,Colombia,Valle Del Cauca,50,2013,112,,,,,,
2020-05-20,Colombia,Valle Del Cauca,51,2110,120,,,,,,
2020-05-21,Colombia,Valle Del Cauca,52,2182,125,,,,,,
2020-05-22,Colombia,Valle Del Cauca,53,2358,135,,,,,,
2020-05-23,Colombia,Valle Del Cauca,54,2465,140,,,,,,
2020-05-24,Colombia,Valle Del Cauca,55,2580,150,,,,,,
2020-05-25,Colombia,Valle Del Cauca,56,2645,155,,,,,,
2020-05-26,Colombia,Valle Del Cauca,57,2840,162,,,,,,
2020-05-27,Colombia,Valle Del Cauca,58,2999,168,,,,,,
2020-05-28,Colombia,Valle Del Cauca,59,3141,178,,,,,,
2020-05-29,Colombia,Valle Del Cauca,60,3259,187,,,,,,
2020-05-30,Colombia,Valle Del Cauca,61,3546,196,,,,,,
2020-05-31,Colombia,Valle Del Cauca,62,3653,205,,,,,,
2020-06-01,Colombia,Valle Del Cauca,63,3771,210,,,,,,
2020-06-02,Colombia,Valle Del Cauca,64,3906,220,,,,,,
2020-06-03,Colombia,Valle Del Cauca,65,4082,226,,,,,,
2020-06-04,Colombia,Valle Del Cauca,66,4186,230,,,,,,
2020-06-05,Colombia,Valle Del Cauca,67,4394,238,,,,,,
2020-06-06,Colombia,Valle Del Cauca,68,4551,246,,,,,,
2020-06-07,Colombia,Valle Del Cauca,69,4617,256,,,,,,
2020-06-08,Colombia,Valle Del Cauca,70,4868,266,,,,,,
2020-06-09,Colombia,Valle Del Cauca,71,5012,271,,,,,,
2020-06-10,Colombia,Valle Del Cauca,72,5174,276,,,,,,
2020-06-11,Colombia,Valle Del Cauca,73,5553,282,,,,,,
2020-06-12,Colombia,Valle Del Cauca,74,5655,291,,,,,,
2020-06-13,Colombia,Valle Del Cauca,75,5959,297,,,,,,
2020-06-14,Colombia,Valle Del Cauca,76,6040,308,,,,,,
2020-06-15,Colombia,Valle Del Cauca,77,6284,314,,,,,,
2020-06-16,Colombia,Valle Del Cauca,78,6499,325,,,,,,
2020-06-17,Colombia,Valle Del Cauca,79,6723,333,,,,,,
2020-06-18,Colombia,Valle Del Cauca,80,6995,344,,,,,,
2020-06-19,Colombia,Valle Del Cauca,81,7238,354,,,,,,
