Continent,Country,Province,pop2016
South America,Argentina,Salta,1406584.0
South America,Argentina,Buenos Aires Province,17370144.0
South America,Argentina,City of Buenos Aires,3063728.0
South America,Argentina,San Luis,502000.0
South America,Argentina,Entre Ríos,1235994.0
South America,Argentina,La Rioja,388386.0
South America,Argentina,Santiago del Estero,968309.0
South America,Argentina,Chaco,1192616.0
South America,Argentina,San Juan,772876.0
South America,Argentina,La Pampa,355422.0
South America,Argentina,Mendoza,1969982.0
South America,Argentina,Neuquén,655501.0
South America,Argentina,Río Negro,738060.0
South America,Argentina,Santa Fe,3509113.0
South America,Argentina,Tucumán,1674622.0
South America,Argentina,Chubut,618994.0
South America,Argentina,Tierra del Fuego,169183.0
South America,Argentina,Corrientes,1111052.0
South America,Argentina,Córdoba,3722332.0
South America,Argentina,Jujuy,762440.0
South America,Argentina,Santa Cruz,356647.0
Oceania,Australia,New South Wales,7480228.0
Oceania,Australia,Queensland,4703193.0
Oceania,Australia,Victoria,5926624.0
Oceania,Australia,Western Australia,2474410.0
Europe,Belgium,Brussels,1215290.0
Europe,Belgium,Antwerp,1860470.0
Europe,Belgium,Flemish Brabant,1146643.0
Europe,Belgium,Limburg,875842.0
Europe,Belgium,East Flanders,1516283.0
Europe,Belgium,West Flanders,1196995.0
Europe,Belgium,Walloon Brabant,404270.0
Europe,Belgium,Hainaut,1346082.0
Europe,Belgium,Liège,1110068.0
Europe,Belgium,Luxembourg,286685.0
Europe,Belgium,Namur,496891.0
South America,Brazil,Acre,881935.0
South America,Brazil,Alagoas,3375823.0
South America,Brazil,Amazonas,4063614.0
South America,Brazil,Amapá,797722.0
South America,Brazil,Bahia,15344447.0
South America,Brazil,Ceará,9020460.0
South America,Brazil,Distrito Federal,3039444.0
South America,Brazil,Espirito Santo,3885049.0
South America,Brazil,Goiás,6778772.0
South America,Brazil,Maranhão,7000229.0
South America,Brazil,Minas Gerais,21119536.0
South America,Brazil,MatoGrosso do Sul,2713147.0
South America,Brazil,MatoGrosso,3344544.0
South America,Brazil,Pará,8366628.0
South America,Brazil,Paraíba,4025558.0
South America,Brazil,Pernambuco,9473266.0
South America,Brazil,Piauí,3219257.0
South America,Brazil,Paraná,11320892.0
South America,Brazil,Rio de Janeiro,16718956.0
South America,Brazil,Rio Grande do Norte,3507003.0
South America,Brazil,Rondônia,1590011.0
South America,Brazil,Roraima,1805788.0
South America,Brazil,Rio Grande do Sul,11322895.0
