date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-22,France,Pays de la Loire,-53,11,2,,,,,,
2020-03-23,France,Pays de la Loire,-52,15,3,,,,,,
2020-03-24,France,Pays de la Loire,-51,16,3,,,,,,
2020-03-25,France,Pays de la Loire,-50,20,4,,,,,,
2020-03-26,France,Pays de la Loire,-49,29,5,,,,,,
2020-03-27,France,Pays de la Loire,-48,31,6,,,,,,
2020-03-28,France,Pays de la Loire,-47,33,6,,,,,,
2020-03-29,France,Pays de la Loire,-46,33,6,,,,,,
2020-03-30,France,Pays de la Loire,-45,39,7,,,,,,
2020-03-31,France,Pays de la Loire,-44,44,8,,,,,,
2020-04-01,France,Pays de la Loire,-43,50,10,,,,,,
2020-04-02,France,Pays de la Loire,-42,52,10,,,,,,
2020-04-03,France,Pays de la Loire,-41,54,10,,,,,,
2020-04-04,France,Pays de la Loire,-40,54,10,,,,,,
2020-04-05,France,Pays de la Loire,-39,54,10,,,,,,
2020-04-06,France,Pays de la Loire,-38,57,11,,,,,,
2020-04-07,France,Pays de la Loire,-37,57,11,,,,,,
2020-04-08,France,Pays de la Loire,-36,58,11,,,,,,
2020-04-09,France,Pays de la Loire,-35,58,11,,,,,,
2020-04-10,France,Pays de la Loire,-34,59,11,,,,,,
2020-04-11,France,Pays de la Loire,-33,59,11,,,,,,
2020-04-12,France,Pays de la Loire,-32,59,11,,,,,,
2020-04-13,France,Pays de la Loire,-31,59,11,,,,,,
2020-04-14,France,Pays de la Loire,-30,60,12,,,,,,
2020-04-15,France,Pays de la Loire,-29,61,12,,,,,,
2020-04-16,France,Pays de la Loire,-28,62,12,,,,,,
2020-04-17,France,Pays de la Loire,-27,63,12,,,,,,
2020-04-18,France,Pays de la Loire,-26,63,12,,,,,,
2020-04-19,France,Pays de la Loire,-25,63,12,,,,,,
2020-04-20,France,Pays de la Loire,-24,64,12,,,,,,
2020-04-21,France,Pays de la Loire,-23,66,13,,,,,,
2020-04-22,France,Pays de la Loire,-22,69,13,,,,,,
2020-04-23,France,Pays de la Loire,-21,69,13,,,,,,
2020-04-24,France,Pays de la Loire,-20,69,13,,,,,,
2020-04-25,France,Pays de la Loire,-19,69,13,,,,,,
2020-04-26,France,Pays de la Loire,-18,69,13,,,,,,
2020-04-27,France,Pays de la Loire,-17,71,14,,,,,,
2020-04-28,France,Pays de la Loire,-16,72,14,,,,,,
2020-04-29,France,Pays de la Loire,-15,72,14,,,,,,
2020-04-30,France,Pays de la Loire,-14,73,14,,,,,,
