date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-02-28,Germany,Baden-Wurttemberg,-6,17,0,,,,,,
2020-02-29,Germany,Baden-Wurttemberg,-5,19,0,,,,,,
2020-03-01,Germany,Baden-Wurttemberg,-4,20,0,,,,,,
2020-03-02,Germany,Baden-Wurttemberg,-3,29,0,,,,,,
2020-03-03,Germany,Baden-Wurttemberg,-2,53,0,,,,,,
2020-03-04,Germany,Baden-Wurttemberg,-1,92,1,,,,,,
2020-03-05,Germany,Baden-Wurttemberg,0,128,1,,,,,,
2020-03-06,Germany,Baden-Wurttemberg,1,179,3,,,,,,
2020-03-07,Germany,Baden-Wurttemberg,2,211,4,,,,,,
2020-03-08,Germany,Baden-Wurttemberg,3,229,5,,,,,,
2020-03-09,Germany,Baden-Wurttemberg,4,280,7,,,,,,
2020-03-10,Germany,Baden-Wurttemberg,5,396,7,,,,,,
2020-03-11,Germany,Baden-Wurttemberg,6,543,12,,,,,,
2020-03-12,Germany,Baden-Wurttemberg,7,732,16,,,,,,
2020-03-13,Germany,Baden-Wurttemberg,8,1046,20,,,,,,
2020-03-14,Germany,Baden-Wurttemberg,9,1372,29,,,,,,
2020-03-15,Germany,Baden-Wurttemberg,10,1556,33,,,,,,
2020-03-16,Germany,Baden-Wurttemberg,11,1987,46,,,,,,
2020-03-17,Germany,Baden-Wurttemberg,12,2588,59,,,,,,
2020-03-18,Germany,Baden-Wurttemberg,13,3393,78,,,,,,
2020-03-19,Germany,Baden-Wurttemberg,14,4049,97,,,,,,
2020-03-20,Germany,Baden-Wurttemberg,15,4898,125,,,,,,
2020-03-21,Germany,Baden-Wurttemberg,16,5466,143,,,,,,
2020-03-22,Germany,Baden-Wurttemberg,17,6014,163,,,,,,
2020-03-23,Germany,Baden-Wurttemberg,18,6665,192,,,,,,
2020-03-24,Germany,Baden-Wurttemberg,19,7852,236,,,,,,
2020-03-25,Germany,Baden-Wurttemberg,20,9036,282,,,,,,
2020-03-26,Germany,Baden-Wurttemberg,21,10257,356,,,,,,
2020-03-27,Germany,Baden-Wurttemberg,22,11505,407,,,,,,
2020-03-28,Germany,Baden-Wurttemberg,23,12516,465,,,,,,
2020-03-29,Germany,Baden-Wurttemberg,24,13175,497,,,,,,
2020-03-30,Germany,Baden-Wurttemberg,25,14107,556,,,,,,
2020-03-31,Germany,Baden-Wurttemberg,26,15332,639,,,,,,
2020-04-01,Germany,Baden-Wurttemberg,27,16573,725,,,,,,
