date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-05,Germany,Hamburg,-6,11,0,,,,,,
2020-03-06,Germany,Hamburg,-5,14,1,,,,,,
2020-03-07,Germany,Hamburg,-4,18,1,,,,,,
2020-03-08,Germany,Hamburg,-3,23,1,,,,,,
2020-03-09,Germany,Hamburg,-2,44,1,,,,,,
2020-03-10,Germany,Hamburg,-1,73,1,,,,,,
2020-03-11,Germany,Hamburg,0,103,1,,,,,,
2020-03-12,Germany,Hamburg,1,144,2,,,,,,
2020-03-13,Germany,Hamburg,2,182,3,,,,,,
2020-03-14,Germany,Hamburg,3,261,4,,,,,,
2020-03-15,Germany,Hamburg,4,339,4,,,,,,
2020-03-16,Germany,Hamburg,5,419,4,,,,,,
2020-03-17,Germany,Hamburg,6,552,5,,,,,,
2020-03-18,Germany,Hamburg,7,687,5,,,,,,
2020-03-19,Germany,Hamburg,8,873,7,,,,,,
2020-03-20,Germany,Hamburg,9,1019,9,,,,,,
2020-03-21,Germany,Hamburg,10,1125,10,,,,,,
2020-03-22,Germany,Hamburg,11,1274,12,,,,,,
2020-03-23,Germany,Hamburg,12,1406,13,,,,,,
2020-03-24,Germany,Hamburg,13,1613,16,,,,,,
2020-03-25,Germany,Hamburg,14,1775,29,,,,,,
2020-03-26,Germany,Hamburg,15,1945,35,,,,,,
2020-03-27,Germany,Hamburg,16,2087,44,,,,,,
2020-03-28,Germany,Hamburg,17,2232,54,,,,,,
2020-03-29,Germany,Hamburg,18,2347,55,,,,,,
2020-03-30,Germany,Hamburg,19,2418,59,,,,,,
2020-03-31,Germany,Hamburg,20,2577,67,,,,,,
2020-04-01,Germany,Hamburg,21,2716,75,,,,,,
2020-04-02,Germany,Hamburg,22,2881,89,,,,,,
2020-04-03,Germany,Hamburg,23,3039,110,,,,,,
2020-04-04,Germany,Hamburg,24,3147,116,,,,,,
2020-04-05,Germany,Hamburg,25,3255,124,,,,,,
2020-04-06,Germany,Hamburg,26,3348,135,,,,,,
2020-04-07,Germany,Hamburg,27,3557,158,,,,,,
2020-04-08,Germany,Hamburg,28,3674,167,,,,,,
2020-04-09,Germany,Hamburg,29,3787,170,,,,,,
2020-04-10,Germany,Hamburg,30,3884,171,,,,,,
2020-04-11,Germany,Hamburg,31,3963,175,,,,,,
2020-04-12,Germany,Hamburg,32,4009,183,,,,,,
2020-04-13,Germany,Hamburg,33,4050,189,,,,,,
2020-04-14,Germany,Hamburg,34,4127,197,,,,,,
2020-04-15,Germany,Hamburg,35,4210,202,,,,,,
2020-04-16,Germany,Hamburg,36,4283,211,,,,,,
2020-04-17,Germany,Hamburg,37,4390,220,,,,,,
2020-04-18,Germany,Hamburg,38,4429,221,,,,,,
2020-04-19,Germany,Hamburg,39,4451,223,,,,,,
2020-04-20,Germany,Hamburg,40,4484,226,,,,,,
2020-04-21,Germany,Hamburg,41,4541,229,,,,,,
2020-04-22,Germany,Hamburg,42,4590,231,,,,,,
2020-04-23,Germany,Hamburg,43,4639,239,,,,,,
2020-04-24,Germany,Hamburg,44,4680,240,,,,,,
2020-04-25,Germany,Hamburg,45,4724,244,,,,,,
2020-04-26,Germany,Hamburg,46,4741,246,,,,,,
2020-04-27,Germany,Hamburg,47,4762,249,,,,,,
2020-04-28,Germany,Hamburg,48,4787,250,,,,,,
2020-04-29,Germany,Hamburg,49,4829,252,,,,,,
2020-04-30,Germany,Hamburg,50,4854,253,,,,,,
2020-05-01,Germany,Hamburg,51,4862,253,,,,,,
2020-05-02,Germany,Hamburg,52,4875,253,,,,,,
2020-05-03,Germany,Hamburg,53,4878,253,,,,,,
2020-05-04,Germany,Hamburg,54,4887,257,,,,,,
2020-05-05,Germany,Hamburg,55,4908,259,,,,,,
2020-05-06,Germany,Hamburg,56,4929,260,,,,,,
