date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-04,Germany,Lower Saxony,-7,14,0,,,,,,
2020-03-05,Germany,Lower Saxony,-6,20,0,,,,,,
2020-03-06,Germany,Lower Saxony,-5,27,0,,,,,,
2020-03-07,Germany,Lower Saxony,-4,35,0,,,,,,
2020-03-08,Germany,Lower Saxony,-3,39,0,,,,,,
2020-03-09,Germany,Lower Saxony,-2,53,0,,,,,,
2020-03-10,Germany,Lower Saxony,-1,87,1,,,,,,
2020-03-11,Germany,Lower Saxony,0,149,1,,,,,,
2020-03-12,Germany,Lower Saxony,1,217,2,,,,,,
2020-03-13,Germany,Lower Saxony,2,309,2,,,,,,
2020-03-14,Germany,Lower Saxony,3,386,2,,,,,,
2020-03-15,Germany,Lower Saxony,4,454,3,,,,,,
2020-03-16,Germany,Lower Saxony,5,611,3,,,,,,
2020-03-17,Germany,Lower Saxony,6,787,4,,,,,,
2020-03-18,Germany,Lower Saxony,7,1058,9,,,,,,
2020-03-19,Germany,Lower Saxony,8,1307,11,,,,,,
2020-03-20,Germany,Lower Saxony,9,1573,18,,,,,,
2020-03-21,Germany,Lower Saxony,10,1752,22,,,,,,
2020-03-22,Germany,Lower Saxony,11,1860,22,,,,,,
2020-03-23,Germany,Lower Saxony,12,2103,27,,,,,,
2020-03-24,Germany,Lower Saxony,13,2397,33,,,,,,
2020-03-25,Germany,Lower Saxony,14,2774,50,,,,,,
2020-03-26,Germany,Lower Saxony,15,3147,61,,,,,,
2020-03-27,Germany,Lower Saxony,16,3558,97,,,,,,
2020-03-28,Germany,Lower Saxony,17,3905,122,,,,,,
2020-03-29,Germany,Lower Saxony,18,4083,138,,,,,,
2020-03-30,Germany,Lower Saxony,19,4394,159,,,,,,
2020-03-31,Germany,Lower Saxony,20,4752,174,,,,,,
2020-04-01,Germany,Lower Saxony,21,5120,194,,,,,,
2020-04-02,Germany,Lower Saxony,22,5453,216,,,,,,
2020-04-03,Germany,Lower Saxony,23,5841,248,,,,,,
2020-04-04,Germany,Lower Saxony,24,6064,268,,,,,,
2020-04-05,Germany,Lower Saxony,25,6206,277,,,,,,
2020-04-06,Germany,Lower Saxony,26,6438,303,,,,,,
2020-04-07,Germany,Lower Saxony,27,6810,322,,,,,,
2020-04-08,Germany,Lower Saxony,28,7145,348,,,,,,
2020-04-09,Germany,Lower Saxony,29,7459,366,,,,,,
2020-04-10,Germany,Lower Saxony,30,7719,382,,,,,,
2020-04-11,Germany,Lower Saxony,31,7847,391,,,,,,
2020-04-12,Germany,Lower Saxony,32,7997,403,,,,,,
2020-04-13,Germany,Lower Saxony,33,8077,414,,,,,,
2020-04-14,Germany,Lower Saxony,34,8243,433,,,,,,
2020-04-15,Germany,Lower Saxony,35,8469,454,,,,,,
2020-04-16,Germany,Lower Saxony,36,8711,465,,,,,,
2020-04-17,Germany,Lower Saxony,37,8908,476,,,,,,
2020-04-18,Germany,Lower Saxony,38,9050,483,,,,,,
2020-04-19,Germany,Lower Saxony,39,9146,492,,,,,,
2020-04-20,Germany,Lower Saxony,40,9277,503,,,,,,
2020-04-21,Germany,Lower Saxony,41,9440,513,,,,,,
2020-04-22,Germany,Lower Saxony,42,9600,520,,,,,,
2020-04-23,Germany,Lower Saxony,43,9740,532,,,,,,
2020-04-24,Germany,Lower Saxony,44,9859,539,,,,,,
2020-04-25,Germany,Lower Saxony,45,9926,542,,,,,,
2020-04-26,Germany,Lower Saxony,46,9976,544,,,,,,
2020-04-27,Germany,Lower Saxony,47,10051,554,,,,,,
2020-04-28,Germany,Lower Saxony,48,10152,561,,,,,,
2020-04-29,Germany,Lower Saxony,49,10237,569,,,,,,
2020-04-30,Germany,Lower Saxony,50,10322,576,,,,,,
2020-05-01,Germany,Lower Saxony,51,10361,576,,,,,,
2020-05-02,Germany,Lower Saxony,52,10397,576,,,,,,
2020-05-03,Germany,Lower Saxony,53,10411,576,,,,,,
2020-05-04,Germany,Lower Saxony,54,10504,584,,,,,,
2020-05-05,Germany,Lower Saxony,55,10584,590,,,,,,
2020-05-06,Germany,Lower Saxony,56,10678,592,,,,,,
2020-05-07,Germany,Lower Saxony,57,10765,593,,,,,,
2020-05-08,Germany,Lower Saxony,58,10839,596,,,,,,
2020-05-09,Germany,Lower Saxony,59,10868,598,,,,,,
2020-05-10,Germany,Lower Saxony,60,10878,599,,,,,,
