date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-09,Germany,Schleswig-Holstein,-5,12,0,,,,,,
2020-03-10,Germany,Schleswig-Holstein,-4,19,0,,,,,,
2020-03-11,Germany,Schleswig-Holstein,-3,38,0,,,,,,
2020-03-12,Germany,Schleswig-Holstein,-2,56,1,,,,,,
2020-03-13,Germany,Schleswig-Holstein,-1,83,1,,,,,,
2020-03-14,Germany,Schleswig-Holstein,0,107,1,,,,,,
2020-03-15,Germany,Schleswig-Holstein,1,128,1,,,,,,
2020-03-16,Germany,Schleswig-Holstein,2,157,1,,,,,,
2020-03-17,Germany,Schleswig-Holstein,3,203,3,,,,,,
2020-03-18,Germany,Schleswig-Holstein,4,256,7,,,,,,
2020-03-19,Germany,Schleswig-Holstein,5,316,7,,,,,,
2020-03-20,Germany,Schleswig-Holstein,6,394,8,,,,,,
2020-03-21,Germany,Schleswig-Holstein,7,439,11,,,,,,
2020-03-22,Germany,Schleswig-Holstein,8,473,14,,,,,,
2020-03-23,Germany,Schleswig-Holstein,9,567,17,,,,,,
2020-03-24,Germany,Schleswig-Holstein,10,667,21,,,,,,
2020-03-25,Germany,Schleswig-Holstein,11,753,25,,,,,,
2020-03-26,Germany,Schleswig-Holstein,12,849,29,,,,,,
2020-03-27,Germany,Schleswig-Holstein,13,966,31,,,,,,
2020-03-28,Germany,Schleswig-Holstein,14,1048,32,,,,,,
2020-03-29,Germany,Schleswig-Holstein,15,1091,34,,,,,,
2020-03-30,Germany,Schleswig-Holstein,16,1169,39,,,,,,
2020-03-31,Germany,Schleswig-Holstein,17,1273,44,,,,,,
2020-04-01,Germany,Schleswig-Holstein,18,1375,51,,,,,,
2020-04-02,Germany,Schleswig-Holstein,19,1487,55,,,,,,
2020-04-03,Germany,Schleswig-Holstein,20,1599,62,,,,,,
2020-04-04,Germany,Schleswig-Holstein,21,1668,65,,,,,,
2020-04-05,Germany,Schleswig-Holstein,22,1704,66,,,,,,
2020-04-06,Germany,Schleswig-Holstein,23,1765,71,,,,,,
2020-04-07,Germany,Schleswig-Holstein,24,1877,82,,,,,,
2020-04-08,Germany,Schleswig-Holstein,25,1967,87,,,,,,
2020-04-09,Germany,Schleswig-Holstein,26,2059,92,,,,,,
2020-04-10,Germany,Schleswig-Holstein,27,2093,93,,,,,,
2020-04-11,Germany,Schleswig-Holstein,28,2134,96,,,,,,
2020-04-12,Germany,Schleswig-Holstein,29,2150,96,,,,,,
2020-04-13,Germany,Schleswig-Holstein,30,2248,108,,,,,,
2020-04-14,Germany,Schleswig-Holstein,31,2265,109,,,,,,
2020-04-15,Germany,Schleswig-Holstein,32,2307,112,,,,,,
