date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-09,India,Jharkhand,-18,13,1,,,,,,
2020-04-10,India,Jharkhand,-17,14,1,,,,,,
2020-04-11,India,Jharkhand,-16,17,1,,,,,,
2020-04-12,India,Jharkhand,-15,19,2,,,,,,
2020-04-13,India,Jharkhand,-14,24,2,,,,,,
2020-04-14,India,Jharkhand,-13,27,2,,,,,,
2020-04-15,India,Jharkhand,-12,28,2,,,,,,
2020-04-16,India,Jharkhand,-11,29,2,,,,,,
2020-04-17,India,Jharkhand,-10,32,2,,,,,,
2020-04-18,India,Jharkhand,-9,33,2,,,,,,
2020-04-19,India,Jharkhand,-8,41,2,,,,,,
2020-04-20,India,Jharkhand,-7,46,2,,,,,,
2020-04-21,India,Jharkhand,-6,46,2,,,,,,
2020-04-22,India,Jharkhand,-5,46,2,,,,,,
2020-04-23,India,Jharkhand,-4,53,3,,,,,,
2020-04-24,India,Jharkhand,-3,59,3,,,,,,
2020-04-25,India,Jharkhand,-2,67,3,,,,,,
2020-04-26,India,Jharkhand,-1,82,3,,,,,,
2020-04-27,India,Jharkhand,0,103,3,,,,,,
2020-04-28,India,Jharkhand,1,105,3,,,,,,
2020-04-29,India,Jharkhand,2,107,3,,,,,,
2020-04-30,India,Jharkhand,3,110,3,,,,,,
2020-05-01,India,Jharkhand,4,113,3,,,,,,
2020-05-02,India,Jharkhand,5,115,3,,,,,,
2020-05-03,India,Jharkhand,6,115,3,,,,,,
2020-05-04,India,Jharkhand,7,115,3,,,,,,
2020-05-05,India,Jharkhand,8,125,3,,,,,,
2020-05-06,India,Jharkhand,9,127,3,,,,,,
2020-05-07,India,Jharkhand,10,132,3,,,,,,
2020-05-08,India,Jharkhand,11,154,3,,,,,,
2020-05-09,India,Jharkhand,12,156,3,,,,,,
2020-05-10,India,Jharkhand,13,157,3,,,,,,
2020-05-11,India,Jharkhand,14,161,3,,,,,,
2020-05-12,India,Jharkhand,15,172,3,,,,,,
2020-05-13,India,Jharkhand,16,177,3,,,,,,
2020-05-14,India,Jharkhand,17,203,3,,,,,,
2020-05-15,India,Jharkhand,18,211,3,,,,,,
2020-05-16,India,Jharkhand,19,217,3,,,,,,
2020-05-17,India,Jharkhand,20,223,3,,,,,,
2020-05-18,India,Jharkhand,21,228,3,,,,,,
2020-05-19,India,Jharkhand,22,248,3,,,,,,
2020-05-20,India,Jharkhand,23,290,3,,,,,,
2020-05-21,India,Jharkhand,24,303,3,,,,,,
2020-05-22,India,Jharkhand,25,323,3,,,,,,
2020-05-23,India,Jharkhand,26,350,3,,,,,,
2020-05-24,India,Jharkhand,27,370,4,,,,,,
2020-05-25,India,Jharkhand,28,405,4,,,,,,
2020-05-26,India,Jharkhand,29,426,4,,,,,,
2020-05-27,India,Jharkhand,30,433,4,,,,,,
2020-05-28,India,Jharkhand,31,439,4,,,,,,
2020-05-29,India,Jharkhand,32,521,5,,,,,,
2020-05-30,India,Jharkhand,33,594,5,,,,,,
2020-05-31,India,Jharkhand,34,635,5,,,,,,
2020-06-01,India,Jharkhand,35,661,5,,,,,,
2020-06-02,India,Jharkhand,36,722,5,,,,,,
2020-06-03,India,Jharkhand,37,764,5,,,,,,
2020-06-04,India,Jharkhand,38,827,6,,,,,,
2020-06-05,India,Jharkhand,39,922,7,,,,,,
2020-06-06,India,Jharkhand,40,1028,7,,,,,,
2020-06-07,India,Jharkhand,41,1103,7,,,,,,
2020-06-08,India,Jharkhand,42,1290,7,,,,,,
2020-06-09,India,Jharkhand,43,1416,8,,,,,,
2020-06-10,India,Jharkhand,44,1551,8,,,,,,
2020-06-11,India,Jharkhand,45,1599,8,,,,,,
2020-06-12,India,Jharkhand,46,1656,8,,,,,,
2020-06-13,India,Jharkhand,47,1711,8,,,,,,
2020-06-14,India,Jharkhand,48,1763,8,,,,,,
2020-06-15,India,Jharkhand,49,1793,9,,,,,,
2020-06-16,India,Jharkhand,50,1839,9,,,,,,
2020-06-17,India,Jharkhand,51,1896,10,,,,,,
2020-06-18,India,Jharkhand,52,1919,11,,,,,,
2020-06-19,India,Jharkhand,53,1961,11,,,,,,
2020-06-20,India,Jharkhand,54,2024,11,,,,,,
2020-06-21,India,Jharkhand,55,2098,11,,,,,,
2020-06-22,India,Jharkhand,56,2140,11,,,,,,
2020-06-23,India,Jharkhand,57,2193,11,,,,,,
2020-06-24,India,Jharkhand,58,2219,12,,,,,,
2020-06-25,India,Jharkhand,59,2263,12,,,,,,
2020-06-26,India,Jharkhand,60,2294,12,,,,,,
2020-06-27,India,Jharkhand,61,2339,12,,,,,,
2020-06-28,India,Jharkhand,62,2364,12,,,,,,
2020-06-29,India,Jharkhand,63,2426,15,,,,,,
2020-06-30,India,Jharkhand,64,2490,15,,,,,,
2020-07-01,India,Jharkhand,65,2525,15,,,,,,
2020-07-02,India,Jharkhand,66,2585,15,,,,,,
2020-07-03,India,Jharkhand,67,2697,15,,,,,,
2020-07-04,India,Jharkhand,68,2739,18,,,,,,
2020-07-05,India,Jharkhand,69,2807,19,,,,,,
2020-07-06,India,Jharkhand,70,2854,20,,,,,,
2020-07-07,India,Jharkhand,71,3018,22,,,,,,
2020-07-08,India,Jharkhand,72,3134,22,,,,,,
2020-07-09,India,Jharkhand,73,3268,23,,,,,,
2020-07-10,India,Jharkhand,74,3518,23,,,,,,
2020-07-11,India,Jharkhand,75,3663,24,,,,,,
2020-07-12,India,Jharkhand,76,3760,31,,,,,,
2020-07-13,India,Jharkhand,77,3963,33,,,,,,
2020-07-14,India,Jharkhand,78,4225,36,,,,,,
2020-07-15,India,Jharkhand,79,4562,38,,,,,,
2020-07-16,India,Jharkhand,80,4783,42,,,,,,
2020-07-17,India,Jharkhand,81,5096,46,,,,,,
2020-07-18,India,Jharkhand,82,5385,48,,,,,,
2020-07-19,India,Jharkhand,83,5552,49,,,,,,
2020-07-20,India,Jharkhand,84,5777,53,,,,,,
2020-07-21,India,Jharkhand,85,6195,61,,,,,,
2020-07-22,India,Jharkhand,86,6682,64,,,,,,
2020-07-23,India,Jharkhand,87,7164,67,,,,,,
2020-07-24,India,Jharkhand,88,7564,76,,,,,,
2020-07-25,India,Jharkhand,89,7841,83,,,,,,
2020-07-26,India,Jharkhand,90,8349,83,,,,,,
2020-07-27,India,Jharkhand,91,8803,90,,,,,,
2020-07-28,India,Jharkhand,92,9563,94,,,,,,
2020-07-29,India,Jharkhand,93,9894,99,,,,,,
2020-07-30,India,Jharkhand,94,10399,103,,,,,,
2020-07-31,India,Jharkhand,95,11314,106,,,,,,
2020-08-01,India,Jharkhand,96,12104,114,,,,,,
2020-08-02,India,Jharkhand,97,12559,118,,,,,,
2020-08-03,India,Jharkhand,98,13500,125,,,,,,
2020-08-04,India,Jharkhand,99,14070,129,,,,,,
2020-08-05,India,Jharkhand,100,15048,136,,,,,,
2020-08-06,India,Jharkhand,101,15756,145,,,,,,
2020-08-07,India,Jharkhand,102,16482,151,,,,,,
2020-08-08,India,Jharkhand,103,17468,160,,,,,,
2020-08-09,India,Jharkhand,104,18156,177,,,,,,
2020-08-10,India,Jharkhand,105,18786,189,,,,,,
2020-08-11,India,Jharkhand,106,19469,194,,,,,,
2020-08-12,India,Jharkhand,107,20257,202,,,,,,
2020-08-13,India,Jharkhand,108,20950,209,,,,,,
2020-08-14,India,Jharkhand,109,22125,224,,,,,,
2020-08-15,India,Jharkhand,110,22672,229,,,,,,
2020-08-16,India,Jharkhand,111,23224,244,,,,,,
2020-08-17,India,Jharkhand,112,24067,255,,,,,,
2020-08-18,India,Jharkhand,113,25308,265,,,,,,
2020-08-19,India,Jharkhand,114,26275,278,,,,,,
2020-08-20,India,Jharkhand,115,26913,286,,,,,,
2020-08-21,India,Jharkhand,116,28171,297,,,,,,
2020-08-22,India,Jharkhand,117,29078,310,,,,,,
2020-08-23,India,Jharkhand,118,30153,318,,,,,,
2020-08-24,India,Jharkhand,119,31093,335,,,,,,
2020-08-25,India,Jharkhand,120,32149,347,,,,,,
2020-08-26,India,Jharkhand,121,33286,362,,,,,,
