date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-31,India,Karnataka,0,101,0,,,,,,
2020-04-01,India,Karnataka,1,110,3,,,,,,
2020-04-02,India,Karnataka,2,124,3,,,,,,
2020-04-03,India,Karnataka,3,128,3,,,,,,
2020-04-04,India,Karnataka,4,144,3,,,,,,
2020-04-05,India,Karnataka,5,151,4,,,,,,
2020-04-06,India,Karnataka,6,163,4,,,,,,
2020-04-07,India,Karnataka,7,175,4,,,,,,
2020-04-08,India,Karnataka,8,181,0,,,,,,
2020-04-09,India,Karnataka,9,197,5,,,,,,
2020-04-10,India,Karnataka,10,207,6,,,,,,
2020-04-11,India,Karnataka,11,215,6,,,,,,
2020-04-12,India,Karnataka,12,232,6,,,,,,
2020-04-13,India,Karnataka,13,247,6,,,,,,
2020-04-14,India,Karnataka,14,260,9,,,,,,
2020-04-15,India,Karnataka,15,279,11,,,,,,
2020-04-16,India,Karnataka,16,315,13,,,,,,
2020-04-17,India,Karnataka,17,359,13,,,,,,
2020-04-18,India,Karnataka,18,384,13,,,,,,
2020-04-19,India,Karnataka,19,390,14,,,,,,
2020-04-20,India,Karnataka,20,408,16,,,,,,
2020-04-21,India,Karnataka,21,418,17,,,,,,
2020-04-22,India,Karnataka,22,427,17,,,,,,
2020-04-23,India,Karnataka,23,445,17,,,,,,
2020-04-24,India,Karnataka,24,474,18,,,,,,
2020-04-25,India,Karnataka,25,500,18,,,,,,
2020-04-26,India,Karnataka,26,503,18,,,,,,
2020-04-27,India,Karnataka,27,512,20,,,,,,
2020-04-28,India,Karnataka,28,523,20,,,,,,
2020-04-29,India,Karnataka,29,535,20,,,,,,
2020-04-30,India,Karnataka,30,565,21,,,,,,
2020-05-01,India,Karnataka,31,589,22,,,,,,
2020-05-02,India,Karnataka,32,601,25,,,,,,
2020-05-03,India,Karnataka,33,614,25,,,,,,
2020-05-04,India,Karnataka,34,651,26,,,,,,
2020-05-05,India,Karnataka,35,673,28,,,,,,
2020-05-06,India,Karnataka,36,693,29,,,,,,
2020-05-07,India,Karnataka,37,705,29,,,,,,
2020-05-08,India,Karnataka,38,753,30,,,,,,
2020-05-09,India,Karnataka,39,794,30,,,,,,
2020-05-10,India,Karnataka,40,848,30,,,,,,
