date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-23,India,Tamil Nadu,-8,12,0,,,,,,
2020-03-24,India,Tamil Nadu,-7,18,1,,,,,,
2020-03-25,India,Tamil Nadu,-6,26,1,,,,,,
2020-03-26,India,Tamil Nadu,-5,29,1,,,,,,
2020-03-27,India,Tamil Nadu,-4,38,1,,,,,,
2020-03-28,India,Tamil Nadu,-3,42,1,,,,,,
2020-03-29,India,Tamil Nadu,-2,50,1,,,,,,
2020-03-30,India,Tamil Nadu,-1,67,1,,,,,,
2020-03-31,India,Tamil Nadu,0,124,1,,,,,,
2020-04-01,India,Tamil Nadu,1,234,1,,,,,,
2020-04-02,India,Tamil Nadu,2,309,1,,,,,,
2020-04-03,India,Tamil Nadu,3,411,1,,,,,,
2020-04-04,India,Tamil Nadu,4,485,3,,,,,,
2020-04-05,India,Tamil Nadu,5,571,5,,,,,,
2020-04-06,India,Tamil Nadu,6,621,6,,,,,,
2020-04-07,India,Tamil Nadu,7,690,7,,,,,,
2020-04-08,India,Tamil Nadu,8,738,8,,,,,,
2020-04-09,India,Tamil Nadu,9,834,8,,,,,,
2020-04-10,India,Tamil Nadu,10,911,9,,,,,,
2020-04-11,India,Tamil Nadu,11,969,10,,,,,,
2020-04-12,India,Tamil Nadu,12,1075,11,,,,,,
2020-04-13,India,Tamil Nadu,13,1173,11,,,,,,
2020-04-14,India,Tamil Nadu,14,1204,12,,,,,,
2020-04-15,India,Tamil Nadu,15,1242,14,,,,,,
2020-04-16,India,Tamil Nadu,16,1267,15,,,,,,
2020-04-17,India,Tamil Nadu,17,1323,15,,,,,,
2020-04-18,India,Tamil Nadu,18,1372,15,,,,,,
2020-04-19,India,Tamil Nadu,19,1477,15,,,,,,
2020-04-20,India,Tamil Nadu,20,1520,17,,,,,,
2020-04-21,India,Tamil Nadu,21,1596,18,,,,,,
2020-04-22,India,Tamil Nadu,22,1629,18,,,,,,
2020-04-23,India,Tamil Nadu,23,1683,20,,,,,,
2020-04-24,India,Tamil Nadu,24,1755,22,,,,,,
2020-04-25,India,Tamil Nadu,25,1821,23,,,,,,
2020-04-26,India,Tamil Nadu,26,1885,24,,,,,,
2020-04-27,India,Tamil Nadu,27,1937,24,,,,,,
2020-04-28,India,Tamil Nadu,28,2058,25,,,,,,
2020-04-29,India,Tamil Nadu,29,2162,27,,,,,,
2020-04-30,India,Tamil Nadu,30,2323,27,,,,,,
2020-05-01,India,Tamil Nadu,31,2526,28,,,,,,
2020-05-02,India,Tamil Nadu,32,2757,29,,,,,,
2020-05-03,India,Tamil Nadu,33,3023,30,,,,,,
2020-05-04,India,Tamil Nadu,34,3550,31,,,,,,
2020-05-05,India,Tamil Nadu,35,4058,33,,,,,,
2020-05-06,India,Tamil Nadu,36,4829,35,,,,,,
2020-05-07,India,Tamil Nadu,37,5409,37,,,,,,
2020-05-08,India,Tamil Nadu,38,6009,40,,,,,,
2020-05-09,India,Tamil Nadu,39,6535,44,,,,,,
2020-05-10,India,Tamil Nadu,40,7204,47,,,,,,
2020-05-11,India,Tamil Nadu,41,8002,53,,,,,,
2020-05-12,India,Tamil Nadu,42,8718,61,,,,,,
2020-05-13,India,Tamil Nadu,43,9227,64,,,,,,
2020-05-14,India,Tamil Nadu,44,9674,66,,,,,,
2020-05-15,India,Tamil Nadu,45,10108,71,,,,,,
2020-05-16,India,Tamil Nadu,46,10585,75,,,,,,
2020-05-17,India,Tamil Nadu,47,11224,79,,,,,,
2020-05-18,India,Tamil Nadu,48,11760,82,,,,,,
2020-05-19,India,Tamil Nadu,49,12448,85,,,,,,
2020-05-20,India,Tamil Nadu,50,13191,88,,,,,,
