date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-13,India,Uttar Pradesh,-18,11,0,,,,,,
2020-03-14,India,Uttar Pradesh,-17,12,0,,,,,,
2020-03-15,India,Uttar Pradesh,-16,13,0,,,,,,
2020-03-16,India,Uttar Pradesh,-15,13,0,,,,,,
2020-03-17,India,Uttar Pradesh,-14,15,0,,,,,,
2020-03-18,India,Uttar Pradesh,-13,17,0,,,,,,
2020-03-19,India,Uttar Pradesh,-12,20,0,,,,,,
2020-03-20,India,Uttar Pradesh,-11,24,0,,,,,,
2020-03-21,India,Uttar Pradesh,-10,28,0,,,,,,
2020-03-22,India,Uttar Pradesh,-9,30,0,,,,,,
2020-03-23,India,Uttar Pradesh,-8,32,0,,,,,,
2020-03-24,India,Uttar Pradesh,-7,35,0,,,,,,
2020-03-25,India,Uttar Pradesh,-6,38,0,,,,,,
2020-03-26,India,Uttar Pradesh,-5,42,0,,,,,,
2020-03-27,India,Uttar Pradesh,-4,49,0,,,,,,
2020-03-28,India,Uttar Pradesh,-3,65,0,,,,,,
2020-03-29,India,Uttar Pradesh,-2,72,0,,,,,,
2020-03-30,India,Uttar Pradesh,-1,96,0,,,,,,
2020-03-31,India,Uttar Pradesh,0,104,0,,,,,,
2020-04-01,India,Uttar Pradesh,1,117,2,,,,,,
2020-04-02,India,Uttar Pradesh,2,128,2,,,,,,
2020-04-03,India,Uttar Pradesh,3,174,2,,,,,,
2020-04-04,India,Uttar Pradesh,4,234,2,,,,,,
2020-04-05,India,Uttar Pradesh,5,278,3,,,,,,
2020-04-06,India,Uttar Pradesh,6,305,3,,,,,,
2020-04-07,India,Uttar Pradesh,7,332,3,,,,,,
2020-04-08,India,Uttar Pradesh,8,361,4,,,,,,
2020-04-09,India,Uttar Pradesh,9,410,4,,,,,,
2020-04-10,India,Uttar Pradesh,10,433,4,,,,,,
2020-04-11,India,Uttar Pradesh,11,452,5,,,,,,
2020-04-12,India,Uttar Pradesh,12,483,5,,,,,,
2020-04-13,India,Uttar Pradesh,13,558,5,,,,,,
2020-04-14,India,Uttar Pradesh,14,660,8,,,,,,
2020-04-15,India,Uttar Pradesh,15,735,11,,,,,,
2020-04-16,India,Uttar Pradesh,16,805,13,,,,,,
2020-04-17,India,Uttar Pradesh,17,849,14,,,,,,
2020-04-18,India,Uttar Pradesh,18,975,14,,,,,,
2020-04-19,India,Uttar Pradesh,19,1100,17,,,,,,
2020-04-20,India,Uttar Pradesh,20,1184,18,,,,,,
2020-04-21,India,Uttar Pradesh,21,1337,21,,,,,,
2020-04-22,India,Uttar Pradesh,22,1449,21,,,,,,
2020-04-23,India,Uttar Pradesh,23,1510,24,,,,,,
2020-04-24,India,Uttar Pradesh,24,1621,25,,,,,,
2020-04-25,India,Uttar Pradesh,25,1793,27,,,,,,
2020-04-26,India,Uttar Pradesh,26,1873,30,,,,,,
2020-04-27,India,Uttar Pradesh,27,1986,31,,,,,,
2020-04-28,India,Uttar Pradesh,28,2053,34,,,,,,
2020-04-29,India,Uttar Pradesh,29,2134,39,,,,,,
2020-04-30,India,Uttar Pradesh,30,2211,40,,,,,,
2020-05-01,India,Uttar Pradesh,31,2328,42,,,,,,
2020-05-02,India,Uttar Pradesh,32,2487,43,,,,,,
2020-05-03,India,Uttar Pradesh,33,2645,43,,,,,,
