date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-11,Israel,Haifa District,0,132,26,,,,,,
2020-03-12,Israel,Haifa District,1,141,28,,,,,,
2020-03-13,Israel,Haifa District,2,145,29,,,,,,
2020-03-14,Israel,Haifa District,3,150,30,,,,,,
2020-03-15,Israel,Haifa District,4,159,31,,,,,,
2020-03-16,Israel,Haifa District,5,171,34,,,,,,
2020-03-17,Israel,Haifa District,6,180,36,,,,,,
2020-03-18,Israel,Haifa District,7,188,37,,,,,,
2020-03-19,Israel,Haifa District,8,190,38,,,,,,
2020-03-20,Israel,Haifa District,9,197,39,,,,,,
2020-03-21,Israel,Haifa District,10,197,39,,,,,,
2020-03-22,Israel,Haifa District,11,197,39,,,,,,
2020-03-23,Israel,Haifa District,12,197,39,,,,,,
2020-03-24,Israel,Haifa District,13,198,39,,,,,,
2020-03-25,Israel,Haifa District,14,198,39,,,,,,
2020-03-26,Israel,Haifa District,15,198,39,,,,,,
2020-03-27,Israel,Haifa District,16,198,39,,,,,,
2020-03-28,Israel,Haifa District,17,198,39,,,,,,
2020-03-29,Israel,Haifa District,18,198,39,,,,,,
2020-03-30,Israel,Haifa District,19,198,39,,,,,,
2020-03-31,Israel,Haifa District,20,227,45,,,,,,
2020-04-01,Israel,Haifa District,21,233,46,,,,,,
2020-04-02,Israel,Haifa District,22,249,49,,,,,,
2020-04-03,Israel,Haifa District,23,258,51,,,,,,
2020-04-04,Israel,Haifa District,24,265,53,,,,,,
2020-04-05,Israel,Haifa District,25,283,56,,,,,,
2020-04-06,Israel,Haifa District,26,292,58,,,,,,
2020-04-07,Israel,Haifa District,27,294,58,,,,,,
2020-04-08,Israel,Haifa District,28,300,60,,,,,,
2020-04-09,Israel,Haifa District,29,318,63,,,,,,
2020-04-10,Israel,Haifa District,30,339,67,,,,,,
2020-04-11,Israel,Haifa District,31,345,69,,,,,,
2020-04-12,Israel,Haifa District,32,365,73,,,,,,
2020-04-13,Israel,Haifa District,33,372,74,,,,,,
2020-04-14,Israel,Haifa District,34,391,78,,,,,,
2020-04-15,Israel,Haifa District,35,399,79,,,,,,
2020-04-16,Israel,Haifa District,36,406,81,,,,,,
2020-04-17,Israel,Haifa District,37,408,81,,,,,,
2020-04-18,Israel,Haifa District,38,410,82,,,,,,
2020-04-19,Israel,Haifa District,39,411,82,,,,,,
2020-04-20,Israel,Haifa District,40,421,84,,,,,,
2020-04-21,Israel,Haifa District,41,426,85,,,,,,
2020-04-22,Israel,Haifa District,42,427,85,,,,,,
2020-04-23,Israel,Haifa District,43,428,85,,,,,,
2020-04-24,Israel,Haifa District,44,429,85,,,,,,
2020-04-25,Israel,Haifa District,45,429,85,,,,,,
2020-04-26,Israel,Haifa District,46,429,85,,,,,,
2020-04-27,Israel,Haifa District,47,431,86,,,,,,
2020-04-28,Israel,Haifa District,48,432,86,,,,,,
2020-04-29,Israel,Haifa District,49,434,86,,,,,,
2020-04-30,Israel,Haifa District,50,434,86,,,,,,
2020-05-01,Israel,Haifa District,51,437,87,,,,,,
2020-05-02,Israel,Haifa District,52,437,87,,,,,,
2020-05-03,Israel,Haifa District,53,437,87,,,,,,
2020-05-04,Israel,Haifa District,54,437,87,,,,,,
2020-05-05,Israel,Haifa District,55,438,87,,,,,,
2020-05-06,Israel,Haifa District,56,438,87,,,,,,
2020-05-07,Israel,Haifa District,57,438,87,,,,,,
2020-05-08,Israel,Haifa District,58,438,87,,,,,,
2020-05-09,Israel,Haifa District,59,438,87,,,,,,
2020-05-10,Israel,Haifa District,60,439,87,,,,,,
2020-05-11,Israel,Haifa District,61,439,87,,,,,,
2020-05-12,Israel,Haifa District,62,439,87,,,,,,
2020-05-13,Israel,Haifa District,63,439,87,,,,,,
2020-05-14,Israel,Haifa District,64,439,87,,,,,,
2020-05-15,Israel,Haifa District,65,439,87,,,,,,
2020-05-16,Israel,Haifa District,66,439,87,,,,,,
2020-05-17,Israel,Haifa District,67,439,87,,,,,,
2020-05-18,Israel,Haifa District,68,439,87,,,,,,
2020-05-19,Israel,Haifa District,69,439,87,,,,,,
2020-05-20,Israel,Haifa District,70,439,87,,,,,,
2020-05-21,Israel,Haifa District,71,439,87,,,,,,
2020-05-22,Israel,Haifa District,72,439,87,,,,,,
2020-05-23,Israel,Haifa District,73,439,87,,,,,,
2020-05-24,Israel,Haifa District,74,439,87,,,,,,
2020-05-25,Israel,Haifa District,75,439,87,,,,,,
2020-05-26,Israel,Haifa District,76,440,88,,,,,,
2020-05-27,Israel,Haifa District,77,440,88,,,,,,
2020-05-28,Israel,Haifa District,78,441,88,,,,,,
2020-05-29,Israel,Haifa District,79,441,88,,,,,,
2020-05-30,Israel,Haifa District,80,442,88,,,,,,
2020-05-31,Israel,Haifa District,81,442,88,,,,,,
2020-06-01,Israel,Haifa District,82,442,88,,,,,,
2020-06-02,Israel,Haifa District,83,446,89,,,,,,
2020-06-03,Israel,Haifa District,84,447,89,,,,,,
2020-06-04,Israel,Haifa District,85,447,89,,,,,,
2020-06-05,Israel,Haifa District,86,447,89,,,,,,
2020-06-06,Israel,Haifa District,87,447,89,,,,,,
2020-06-07,Israel,Haifa District,88,447,89,,,,,,
2020-06-08,Israel,Haifa District,89,450,90,,,,,,
2020-06-09,Israel,Haifa District,90,450,90,,,,,,
2020-06-10,Israel,Haifa District,91,458,91,,,,,,
2020-06-11,Israel,Haifa District,92,462,92,,,,,,
2020-06-12,Israel,Haifa District,93,471,94,,,,,,
2020-06-13,Israel,Haifa District,94,497,99,,,,,,
2020-06-14,Israel,Haifa District,95,519,103,,,,,,
2020-06-15,Israel,Haifa District,96,553,110,,,,,,
2020-06-16,Israel,Haifa District,97,564,112,,,,,,
2020-06-17,Israel,Haifa District,98,567,113,,,,,,
2020-06-18,Israel,Haifa District,99,581,116,,,,,,
2020-06-19,Israel,Haifa District,100,615,123,,,,,,
2020-06-20,Israel,Haifa District,101,623,124,,,,,,
2020-06-21,Israel,Haifa District,102,642,128,,,,,,
2020-06-22,Israel,Haifa District,103,653,130,,,,,,
2020-06-23,Israel,Haifa District,104,666,133,,,,,,
2020-06-24,Israel,Haifa District,105,685,137,,,,,,
2020-06-25,Israel,Haifa District,106,695,139,,,,,,
2020-06-26,Israel,Haifa District,107,713,142,,,,,,
2020-06-27,Israel,Haifa District,108,737,147,,,,,,
2020-06-28,Israel,Haifa District,109,741,148,,,,,,
2020-06-29,Israel,Haifa District,110,754,150,,,,,,
2020-06-30,Israel,Haifa District,111,783,156,,,,,,
2020-07-01,Israel,Haifa District,112,804,160,,,,,,
2020-07-02,Israel,Haifa District,113,818,163,,,,,,
2020-07-03,Israel,Haifa District,114,847,169,,,,,,
2020-07-04,Israel,Haifa District,115,878,175,,,,,,
2020-07-05,Israel,Haifa District,116,911,182,,,,,,
2020-07-06,Israel,Haifa District,117,941,188,,,,,,
2020-07-07,Israel,Haifa District,118,1001,198,,,,,,
2020-07-08,Israel,Haifa District,119,1065,198,,,,,,
2020-07-09,Israel,Haifa District,120,1143,198,,,,,,
2020-07-10,Israel,Haifa District,121,1234,198,,,,,,
2020-07-11,Israel,Haifa District,122,1295,198,,,,,,
2020-07-12,Israel,Haifa District,123,1346,198,,,,,,
2020-07-13,Israel,Haifa District,124,1490,198,,,,,,
2020-07-14,Israel,Haifa District,125,1590,198,,,,,,
2020-07-15,Israel,Haifa District,126,1758,198,,,,,,
2020-07-16,Israel,Haifa District,127,1888,198,,,,,,
2020-07-17,Israel,Haifa District,128,2042,198,,,,,,
2020-07-18,Israel,Haifa District,129,2154,198,,,,,,
2020-07-19,Israel,Haifa District,130,2221,198,,,,,,
2020-07-20,Israel,Haifa District,131,2394,198,,,,,,
2020-07-21,Israel,Haifa District,132,2558,198,,,,,,
2020-07-22,Israel,Haifa District,133,2630,198,,,,,,
2020-07-23,Israel,Haifa District,134,2757,198,,,,,,
2020-07-24,Israel,Haifa District,135,2826,198,,,,,,
2020-07-25,Israel,Haifa District,136,2906,198,,,,,,
2020-07-26,Israel,Haifa District,137,2952,198,,,,,,
2020-07-27,Israel,Haifa District,138,3091,198,,,,,,
2020-07-28,Israel,Haifa District,139,3207,198,,,,,,
2020-07-29,Israel,Haifa District,140,3355,198,,,,,,
2020-07-30,Israel,Haifa District,141,3502,198,,,,,,
2020-07-31,Israel,Haifa District,142,3628,198,,,,,,
2020-08-01,Israel,Haifa District,143,3678,198,,,,,,
2020-08-02,Israel,Haifa District,144,3726,198,,,,,,
2020-08-03,Israel,Haifa District,145,3822,198,,,,,,
2020-08-04,Israel,Haifa District,146,3895,198,,,,,,
