date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-18,Israel,Judea and Samaria Area,-11,13,0,,,,,,
2020-03-19,Israel,Judea and Samaria Area,-10,33,0,,,,,,
2020-03-20,Israel,Judea and Samaria Area,-9,41,0,,,,,,
2020-03-21,Israel,Judea and Samaria Area,-8,48,0,,,,,,
2020-03-22,Israel,Judea and Samaria Area,-7,56,0,,,,,,
2020-03-23,Israel,Judea and Samaria Area,-6,61,0,,,,,,
2020-03-24,Israel,Judea and Samaria Area,-5,75,0,,,,,,
2020-03-25,Israel,Judea and Samaria Area,-4,79,0,,,,,,
2020-03-26,Israel,Judea and Samaria Area,-3,86,0,,,,,,
2020-03-27,Israel,Judea and Samaria Area,-2,91,0,,,,,,
2020-03-28,Israel,Judea and Samaria Area,-1,98,0,,,,,,
2020-03-29,Israel,Judea and Samaria Area,0,101,0,,,,,,
2020-03-30,Israel,Judea and Samaria Area,1,118,0,,,,,,
2020-03-31,Israel,Judea and Samaria Area,2,127,0,,,,,,
2020-04-01,Israel,Judea and Samaria Area,3,148,0,,,,,,
2020-04-02,Israel,Judea and Samaria Area,4,189,0,,,,,,
2020-04-03,Israel,Judea and Samaria Area,5,239,0,,,,,,
2020-04-04,Israel,Judea and Samaria Area,6,273,0,,,,,,
2020-04-05,Israel,Judea and Samaria Area,7,317,0,,,,,,
2020-04-06,Israel,Judea and Samaria Area,8,333,0,,,,,,
2020-04-07,Israel,Judea and Samaria Area,9,352,0,,,,,,
2020-04-08,Israel,Judea and Samaria Area,10,360,0,,,,,,
2020-04-09,Israel,Judea and Samaria Area,11,390,0,,,,,,
2020-04-10,Israel,Judea and Samaria Area,12,437,0,,,,,,
2020-04-11,Israel,Judea and Samaria Area,13,457,0,,,,,,
2020-04-12,Israel,Judea and Samaria Area,14,494,0,,,,,,
2020-04-13,Israel,Judea and Samaria Area,15,524,0,,,,,,
2020-04-14,Israel,Judea and Samaria Area,16,572,0,,,,,,
2020-04-15,Israel,Judea and Samaria Area,17,612,0,,,,,,
2020-04-16,Israel,Judea and Samaria Area,18,624,0,,,,,,
2020-04-17,Israel,Judea and Samaria Area,19,638,0,,,,,,
2020-04-18,Israel,Judea and Samaria Area,20,697,0,,,,,,
2020-04-19,Israel,Judea and Samaria Area,21,710,0,,,,,,
2020-04-20,Israel,Judea and Samaria Area,22,727,0,,,,,,
2020-04-21,Israel,Judea and Samaria Area,23,743,0,,,,,,
2020-04-22,Israel,Judea and Samaria Area,24,780,0,,,,,,
2020-04-23,Israel,Judea and Samaria Area,25,815,0,,,,,,
2020-04-24,Israel,Judea and Samaria Area,26,842,1,,,,,,
2020-04-25,Israel,Judea and Samaria Area,27,854,1,,,,,,
2020-04-26,Israel,Judea and Samaria Area,28,861,1,,,,,,
2020-04-27,Israel,Judea and Samaria Area,29,869,1,,,,,,
2020-04-28,Israel,Judea and Samaria Area,30,874,1,,,,,,
2020-04-29,Israel,Judea and Samaria Area,31,877,1,,,,,,
2020-04-30,Israel,Judea and Samaria Area,32,887,1,,,,,,
2020-05-01,Israel,Judea and Samaria Area,33,890,1,,,,,,
2020-05-02,Israel,Judea and Samaria Area,34,893,1,,,,,,
2020-05-03,Israel,Judea and Samaria Area,35,893,1,,,,,,
2020-05-04,Israel,Judea and Samaria Area,36,896,1,,,,,,
2020-05-05,Israel,Judea and Samaria Area,37,897,1,,,,,,
2020-05-06,Israel,Judea and Samaria Area,38,906,1,,,,,,
2020-05-07,Israel,Judea and Samaria Area,39,908,1,,,,,,
2020-05-08,Israel,Judea and Samaria Area,40,910,1,,,,,,
2020-05-09,Israel,Judea and Samaria Area,41,911,1,,,,,,
2020-05-10,Israel,Judea and Samaria Area,42,911,1,,,,,,
2020-05-11,Israel,Judea and Samaria Area,43,912,1,,,,,,
2020-05-12,Israel,Judea and Samaria Area,44,927,1,,,,,,
2020-05-13,Israel,Judea and Samaria Area,45,933,1,,,,,,
2020-05-14,Israel,Judea and Samaria Area,46,933,1,,,,,,
