date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-11,Israel,Tel Aviv District,0,294,58,,,,,,
2020-03-12,Israel,Tel Aviv District,1,309,61,,,,,,
2020-03-13,Israel,Tel Aviv District,2,315,63,,,,,,
2020-03-14,Israel,Tel Aviv District,3,319,63,,,,,,
2020-03-15,Israel,Tel Aviv District,4,324,64,,,,,,
2020-03-16,Israel,Tel Aviv District,5,331,66,,,,,,
2020-03-17,Israel,Tel Aviv District,6,340,68,,,,,,
2020-03-18,Israel,Tel Aviv District,7,343,68,,,,,,
2020-03-19,Israel,Tel Aviv District,8,346,69,,,,,,
2020-03-20,Israel,Tel Aviv District,9,347,69,,,,,,
2020-03-21,Israel,Tel Aviv District,10,350,70,,,,,,
2020-03-22,Israel,Tel Aviv District,11,351,70,,,,,,
2020-03-23,Israel,Tel Aviv District,12,353,70,,,,,,
2020-03-24,Israel,Tel Aviv District,13,353,70,,,,,,
2020-03-25,Israel,Tel Aviv District,14,353,70,,,,,,
2020-03-26,Israel,Tel Aviv District,15,402,80,,,,,,
2020-03-27,Israel,Tel Aviv District,16,424,84,,,,,,
2020-03-28,Israel,Tel Aviv District,17,528,105,,,,,,
2020-03-29,Israel,Tel Aviv District,18,608,121,,,,,,
2020-03-30,Israel,Tel Aviv District,19,781,156,,,,,,
2020-03-31,Israel,Tel Aviv District,20,1016,203,,,,,,
2020-04-01,Israel,Tel Aviv District,21,1226,245,,,,,,
2020-04-02,Israel,Tel Aviv District,22,1436,287,,,,,,
2020-04-03,Israel,Tel Aviv District,23,1607,321,,,,,,
2020-04-04,Israel,Tel Aviv District,24,1699,339,,,,,,
2020-04-05,Israel,Tel Aviv District,25,1842,353,,,,,,
2020-04-06,Israel,Tel Aviv District,26,2006,353,,,,,,
2020-04-07,Israel,Tel Aviv District,27,2107,353,,,,,,
2020-04-08,Israel,Tel Aviv District,28,2196,353,,,,,,
2020-04-09,Israel,Tel Aviv District,29,2269,353,,,,,,
2020-04-10,Israel,Tel Aviv District,30,2311,353,,,,,,
2020-04-11,Israel,Tel Aviv District,31,2365,353,,,,,,
2020-04-12,Israel,Tel Aviv District,32,2459,353,,,,,,
2020-04-13,Israel,Tel Aviv District,33,2545,353,,,,,,
2020-04-14,Israel,Tel Aviv District,34,2605,353,,,,,,
2020-04-15,Israel,Tel Aviv District,35,2665,353,,,,,,
2020-04-16,Israel,Tel Aviv District,36,2715,353,,,,,,
