date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-01-01,Italy,Marche,-64,0,0,,,,,,
2020-01-02,Italy,Marche,-63,0,0,,,,,,
2020-01-03,Italy,Marche,-62,0,0,,,,,,
2020-01-04,Italy,Marche,-61,0,0,,,,,,
2020-01-05,Italy,Marche,-60,0,0,,,,,,
2020-01-06,Italy,Marche,-59,0,0,,,,,,
2020-01-07,Italy,Marche,-58,0,0,,,,,,
2020-01-08,Italy,Marche,-57,0,0,,,,,,
2020-01-09,Italy,Marche,-56,0,0,,,,,,
2020-01-10,Italy,Marche,-55,0,0,,,,,,
2020-01-11,Italy,Marche,-54,0,0,,,,,,
2020-01-12,Italy,Marche,-53,0,0,,,,,,
2020-01-13,Italy,Marche,-52,0,0,,,,,,
2020-01-14,Italy,Marche,-51,0,0,,,,,,
2020-01-15,Italy,Marche,-50,0,0,,,,,,
2020-01-16,Italy,Marche,-49,0,0,,,,,,
2020-01-17,Italy,Marche,-48,0,0,,,,,,
2020-01-18,Italy,Marche,-47,0,0,,,,,,
2020-01-19,Italy,Marche,-46,0,0,,,,,,
2020-01-20,Italy,Marche,-45,0,0,,,,,,
2020-01-21,Italy,Marche,-44,0,0,,,,,,
2020-01-22,Italy,Marche,-43,0,0,,,,,,
2020-01-23,Italy,Marche,-42,0,0,,,,,,
2020-01-24,Italy,Marche,-41,0,0,,,,,,
2020-01-25,Italy,Marche,-40,0,0,,,,,,
2020-01-26,Italy,Marche,-39,0,0,,,,,,
2020-01-27,Italy,Marche,-38,0,0,,,,,,
2020-01-28,Italy,Marche,-37,0,0,,,,,,
2020-01-29,Italy,Marche,-36,0,0,,,,,,
2020-01-30,Italy,Marche,-35,0,0,,,,,,
2020-01-31,Italy,Marche,-34,0,0,,,,,,
2020-02-01,Italy,Marche,-33,0,0,,,,,,
2020-02-02,Italy,Marche,-32,0,0,,,,,,
2020-02-03,Italy,Marche,-31,0,0,,,,,,
2020-02-04,Italy,Marche,-30,0,0,,,,,,
2020-02-05,Italy,Marche,-29,0,0,,,,,,
2020-02-06,Italy,Marche,-28,0,0,,,,,,
2020-02-07,Italy,Marche,-27,0,0,,,,,,
2020-02-08,Italy,Marche,-26,0,0,,,,,,
2020-02-09,Italy,Marche,-25,0,0,,,,,,
2020-02-10,Italy,Marche,-24,0,0,,,,,,
2020-02-11,Italy,Marche,-23,0,0,,,,,,
2020-02-12,Italy,Marche,-22,0,0,,,,,,
2020-02-13,Italy,Marche,-21,0,0,,,,,,
2020-02-14,Italy,Marche,-20,0,0,,,,,,
2020-02-15,Italy,Marche,-19,0,0,,,,,,
