date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-27,Japan,Ibaraki,-15,13,0,,,,,,
2020-03-28,Japan,Ibaraki,-14,16,0,,,,,,
2020-03-29,Japan,Ibaraki,-13,16,0,,,,,,
2020-03-30,Japan,Ibaraki,-12,20,0,,,,,,
2020-03-31,Japan,Ibaraki,-11,24,0,,,,,,
2020-04-01,Japan,Ibaraki,-10,42,2,,,,,,
2020-04-02,Japan,Ibaraki,-9,44,2,,,,,,
2020-04-03,Japan,Ibaraki,-8,54,2,,,,,,
2020-04-04,Japan,Ibaraki,-7,59,2,,,,,,
2020-04-05,Japan,Ibaraki,-6,64,2,,,,,,
2020-04-06,Japan,Ibaraki,-5,71,2,,,,,,
2020-04-07,Japan,Ibaraki,-4,77,2,,,,,,
2020-04-08,Japan,Ibaraki,-3,77,2,,,,,,
2020-04-09,Japan,Ibaraki,-2,82,2,,,,,,
2020-04-10,Japan,Ibaraki,-1,91,3,,,,,,
2020-04-11,Japan,Ibaraki,0,103,5,,,,,,
2020-04-12,Japan,Ibaraki,1,109,5,,,,,,
2020-04-13,Japan,Ibaraki,2,110,5,,,,,,
2020-04-14,Japan,Ibaraki,3,116,5,,,,,,
2020-04-15,Japan,Ibaraki,4,119,5,,,,,,
2020-04-16,Japan,Ibaraki,5,123,5,,,,,,
2020-04-17,Japan,Ibaraki,6,131,5,,,,,,
2020-04-18,Japan,Ibaraki,7,135,5,,,,,,
2020-04-19,Japan,Ibaraki,8,139,5,,,,,,
2020-04-20,Japan,Ibaraki,9,143,5,,,,,,
2020-04-21,Japan,Ibaraki,10,146,6,,,,,,
2020-04-22,Japan,Ibaraki,11,151,6,,,,,,
2020-04-23,Japan,Ibaraki,12,153,6,,,,,,
2020-04-24,Japan,Ibaraki,13,157,6,,,,,,
2020-04-25,Japan,Ibaraki,14,160,6,,,,,,
2020-04-26,Japan,Ibaraki,15,161,6,,,,,,
2020-04-27,Japan,Ibaraki,16,161,6,,,,,,
2020-04-28,Japan,Ibaraki,17,162,6,,,,,,
2020-04-29,Japan,Ibaraki,18,163,6,,,,,,
2020-04-30,Japan,Ibaraki,19,163,7,,,,,,
2020-05-01,Japan,Ibaraki,20,165,8,,,,,,
2020-05-02,Japan,Ibaraki,21,165,8,,,,,,
2020-05-03,Japan,Ibaraki,22,165,8,,,,,,
2020-05-04,Japan,Ibaraki,23,167,9,,,,,,
2020-05-05,Japan,Ibaraki,24,168,9,,,,,,
2020-05-06,Japan,Ibaraki,25,168,9,,,,,,
2020-05-07,Japan,Ibaraki,26,168,9,,,,,,
2020-05-08,Japan,Ibaraki,27,168,9,,,,,,
2020-05-09,Japan,Ibaraki,28,168,9,,,,,,
2020-05-10,Japan,Ibaraki,29,168,9,,,,,,
2020-05-11,Japan,Ibaraki,30,168,9,,,,,,
2020-05-12,Japan,Ibaraki,31,168,9,,,,,,
