date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-06-14,Kenya,Kajiado,-21,24,0,,,,,,
2020-06-15,Kenya,Kajiado,-20,24,0,,,,,,
2020-06-16,Kenya,Kajiado,-19,26,0,,,,,,
2020-06-17,Kenya,Kajiado,-18,26,0,,,,,,
2020-06-18,Kenya,Kajiado,-17,39,0,,,,,,
2020-06-19,Kenya,Kajiado,-16,39,0,,,,,,
2020-06-20,Kenya,Kajiado,-15,39,0,,,,,,
2020-06-21,Kenya,Kajiado,-14,39,0,,,,,,
2020-06-22,Kenya,Kajiado,-13,39,0,,,,,,
2020-06-23,Kenya,Kajiado,-12,40,0,,,,,,
2020-06-24,Kenya,Kajiado,-11,61,0,,,,,,
2020-06-25,Kenya,Kajiado,-10,61,0,,,,,,
2020-06-26,Kenya,Kajiado,-9,76,0,,,,,,
2020-06-27,Kenya,Kajiado,-8,76,0,,,,,,
2020-06-28,Kenya,Kajiado,-7,79,0,,,,,,
2020-06-29,Kenya,Kajiado,-6,79,0,,,,,,
2020-06-30,Kenya,Kajiado,-5,79,0,,,,,,
2020-07-01,Kenya,Kajiado,-4,79,0,,,,,,
2020-07-02,Kenya,Kajiado,-3,79,0,,,,,,
2020-07-03,Kenya,Kajiado,-2,79,0,,,,,,
2020-07-04,Kenya,Kajiado,-1,79,0,,,,,,
2020-07-05,Kenya,Kajiado,0,101,0,,,,,,
2020-07-06,Kenya,Kajiado,1,107,0,,,,,,
2020-07-07,Kenya,Kajiado,2,118,0,,,,,,
2020-07-08,Kenya,Kajiado,3,131,0,,,,,,
2020-07-09,Kenya,Kajiado,4,131,0,,,,,,
2020-07-10,Kenya,Kajiado,5,143,0,,,,,,
2020-07-11,Kenya,Kajiado,6,183,0,,,,,,
2020-07-12,Kenya,Kajiado,7,183,0,,,,,,
2020-07-13,Kenya,Kajiado,8,188,0,,,,,,
2020-07-14,Kenya,Kajiado,9,239,0,,,,,,
2020-07-15,Kenya,Kajiado,10,254,0,,,,,,
2020-07-16,Kenya,Kajiado,11,274,0,,,,,,
2020-07-17,Kenya,Kajiado,12,274,0,,,,,,
2020-07-18,Kenya,Kajiado,13,288,0,,,,,,
2020-07-19,Kenya,Kajiado,14,317,0,,,,,,
2020-07-20,Kenya,Kajiado,15,330,0,,,,,,
2020-07-21,Kenya,Kajiado,16,330,0,,,,,,
2020-07-22,Kenya,Kajiado,17,330,0,,,,,,
2020-07-23,Kenya,Kajiado,18,367,0,,,,,,
2020-07-24,Kenya,Kajiado,19,446,0,,,,,,
2020-07-25,Kenya,Kajiado,20,482,0,,,,,,
2020-07-26,Kenya,Kajiado,21,482,0,,,,,,
2020-07-27,Kenya,Kajiado,22,482,0,,,,,,
2020-07-28,Kenya,Kajiado,23,507,0,,,,,,
2020-07-29,Kenya,Kajiado,24,507,0,,,,,,
2020-07-30,Kenya,Kajiado,25,533,0,,,,,,
2020-07-31,Kenya,Kajiado,26,542,0,,,,,,
2020-08-01,Kenya,Kajiado,27,567,0,,,,,,
2020-08-02,Kenya,Kajiado,28,595,0,,,,,,
2020-08-03,Kenya,Kajiado,29,612,0,,,,,,
2020-08-04,Kenya,Kajiado,30,612,0,,,,,,
2020-08-05,Kenya,Kajiado,31,628,0,,,,,,
2020-08-06,Kenya,Kajiado,32,683,0,,,,,,
2020-08-07,Kenya,Kajiado,33,791,0,,,,,,
2020-08-08,Kenya,Kajiado,34,872,0,,,,,,
2020-08-09,Kenya,Kajiado,35,898,0,,,,,,
2020-08-10,Kenya,Kajiado,36,912,0,,,,,,
2020-08-11,Kenya,Kajiado,37,938,0,,,,,,
2020-08-12,Kenya,Kajiado,38,973,0,,,,,,
2020-08-13,Kenya,Kajiado,39,993,0,,,,,,
2020-08-14,Kenya,Kajiado,40,1007,0,,,,,,
2020-08-15,Kenya,Kajiado,41,1017,0,,,,,,
2020-08-16,Kenya,Kajiado,42,1017,0,,,,,,
2020-08-17,Kenya,Kajiado,43,1031,0,,,,,,
2020-08-18,Kenya,Kajiado,44,1040,0,,,,,,
2020-08-19,Kenya,Kajiado,45,1054,0,,,,,,
2020-08-20,Kenya,Kajiado,46,1117,0,,,,,,
2020-08-21,Kenya,Kajiado,47,1170,0,,,,,,
2020-08-22,Kenya,Kajiado,48,1190,0,,,,,,
2020-08-23,Kenya,Kajiado,49,1214,0,,,,,,
2020-08-24,Kenya,Kajiado,50,1217,0,,,,,,
2020-08-25,Kenya,Kajiado,51,1220,0,,,,,,
2020-08-26,Kenya,Kajiado,52,1227,0,,,,,,
2020-08-27,Kenya,Kajiado,53,1231,0,,,,,,
2020-08-28,Kenya,Kajiado,54,1239,0,,,,,,
2020-08-29,Kenya,Kajiado,55,1254,0,,,,,,
2020-08-30,Kenya,Kajiado,56,1254,0,,,,,,
2020-08-31,Kenya,Kajiado,57,1263,0,,,,,,
2020-09-01,Kenya,Kajiado,58,1263,0,,,,,,
2020-09-02,Kenya,Kajiado,59,1263,0,,,,,,
2020-09-03,Kenya,Kajiado,60,1267,0,,,,,,
2020-09-04,Kenya,Kajiado,61,1270,0,,,,,,
2020-09-05,Kenya,Kajiado,62,1281,0,,,,,,
2020-09-06,Kenya,Kajiado,63,1281,0,,,,,,
2020-09-07,Kenya,Kajiado,64,1283,0,,,,,,
2020-09-08,Kenya,Kajiado,65,1284,0,,,,,,
2020-09-09,Kenya,Kajiado,66,1284,0,,,,,,
2020-09-10,Kenya,Kajiado,67,1289,0,,,,,,
2020-09-11,Kenya,Kajiado,68,1295,0,,,,,,
2020-09-12,Kenya,Kajiado,69,1295,0,,,,,,
2020-09-13,Kenya,Kajiado,70,1302,0,,,,,,
2020-09-14,Kenya,Kajiado,71,1302,0,,,,,,
2020-09-15,Kenya,Kajiado,72,1302,0,,,,,,
2020-09-16,Kenya,Kajiado,73,1302,0,,,,,,
2020-09-17,Kenya,Kajiado,74,1302,0,,,,,,
2020-09-18,Kenya,Kajiado,75,1308,0,,,,,,
2020-09-19,Kenya,Kajiado,76,1311,0,,,,,,
2020-09-20,Kenya,Kajiado,77,1311,0,,,,,,
2020-09-21,Kenya,Kajiado,78,1311,0,,,,,,
2020-09-22,Kenya,Kajiado,79,1311,0,,,,,,
2020-09-23,Kenya,Kajiado,80,1312,0,,,,,,
2020-09-24,Kenya,Kajiado,81,1318,0,,,,,,
2020-09-25,Kenya,Kajiado,82,1329,0,,,,,,
2020-09-26,Kenya,Kajiado,83,1329,0,,,,,,
2020-09-27,Kenya,Kajiado,84,1329,0,,,,,,
2020-09-28,Kenya,Kajiado,85,1329,0,,,,,,
2020-09-29,Kenya,Kajiado,86,1330,0,,,,,,
2020-09-30,Kenya,Kajiado,87,1331,0,,,,,,
2020-10-01,Kenya,Kajiado,88,1331,0,,,,,,
2020-10-02,Kenya,Kajiado,89,1342,0,,,,,,
2020-10-03,Kenya,Kajiado,90,1342,0,,,,,,
2020-10-04,Kenya,Kajiado,91,1342,0,,,,,,
2020-10-05,Kenya,Kajiado,92,1342,0,,,,,,
2020-10-06,Kenya,Kajiado,93,1343,0,,,,,,
2020-10-07,Kenya,Kajiado,94,1347,0,,,,,,
2020-10-08,Kenya,Kajiado,95,1347,0,,,,,,
2020-10-09,Kenya,Kajiado,96,1358,0,,,,,,
2020-10-10,Kenya,Kajiado,97,1358,0,,,,,,
2020-10-11,Kenya,Kajiado,98,1361,0,,,,,,
2020-10-12,Kenya,Kajiado,99,1361,0,,,,,,
2020-10-13,Kenya,Kajiado,100,1363,0,,,,,,
2020-10-14,Kenya,Kajiado,101,1379,0,,,,,,
2020-10-15,Kenya,Kajiado,102,1379,0,,,,,,
2020-10-16,Kenya,Kajiado,103,1394,0,,,,,,
2020-10-17,Kenya,Kajiado,104,1404,0,,,,,,
2020-10-18,Kenya,Kajiado,105,1404,0,,,,,,
2020-10-22,Kenya,Kajiado,106,1422,0,,,,,,
2020-10-23,Kenya,Kajiado,107,1435,0,,,,,,
