date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-26,Mexico,Baja California Sur,-11,12,0,,,,,,
2020-03-27,Mexico,Baja California Sur,-10,16,0,,,,,,
2020-03-28,Mexico,Baja California Sur,-9,20,0,,,,,,
2020-03-29,Mexico,Baja California Sur,-8,21,1,,,,,,
2020-03-30,Mexico,Baja California Sur,-7,35,1,,,,,,
2020-03-31,Mexico,Baja California Sur,-6,42,2,,,,,,
2020-04-01,Mexico,Baja California Sur,-5,47,2,,,,,,
2020-04-02,Mexico,Baja California Sur,-4,58,2,,,,,,
2020-04-03,Mexico,Baja California Sur,-3,74,2,,,,,,
2020-04-04,Mexico,Baja California Sur,-2,79,3,,,,,,
2020-04-05,Mexico,Baja California Sur,-1,84,4,,,,,,
2020-04-06,Mexico,Baja California Sur,0,107,4,,,,,,
2020-04-07,Mexico,Baja California Sur,1,131,4,,,,,,
2020-04-08,Mexico,Baja California Sur,2,155,5,,,,,,
2020-04-09,Mexico,Baja California Sur,3,177,5,,,,,,
2020-04-10,Mexico,Baja California Sur,4,186,5,,,,,,
2020-04-11,Mexico,Baja California Sur,5,193,6,,,,,,
2020-04-12,Mexico,Baja California Sur,6,198,7,,,,,,
2020-04-13,Mexico,Baja California Sur,7,212,8,,,,,,
2020-04-14,Mexico,Baja California Sur,8,229,8,,,,,,
2020-04-15,Mexico,Baja California Sur,9,234,8,,,,,,
2020-04-16,Mexico,Baja California Sur,10,243,9,,,,,,
2020-04-17,Mexico,Baja California Sur,11,249,10,,,,,,
2020-04-18,Mexico,Baja California Sur,12,252,10,,,,,,
2020-04-19,Mexico,Baja California Sur,13,260,10,,,,,,
2020-04-20,Mexico,Baja California Sur,14,267,11,,,,,,
2020-04-21,Mexico,Baja California Sur,15,279,12,,,,,,
2020-04-22,Mexico,Baja California Sur,16,284,14,,,,,,
2020-04-23,Mexico,Baja California Sur,17,293,14,,,,,,
2020-04-24,Mexico,Baja California Sur,18,306,15,,,,,,
2020-04-25,Mexico,Baja California Sur,19,311,15,,,,,,
2020-04-26,Mexico,Baja California Sur,20,318,17,,,,,,
2020-04-27,Mexico,Baja California Sur,21,328,17,,,,,,
2020-04-28,Mexico,Baja California Sur,22,332,18,,,,,,
2020-04-29,Mexico,Baja California Sur,23,336,19,,,,,,
2020-04-30,Mexico,Baja California Sur,24,350,19,,,,,,
2020-05-01,Mexico,Baja California Sur,25,352,19,,,,,,
2020-05-02,Mexico,Baja California Sur,26,361,19,,,,,,
2020-05-03,Mexico,Baja California Sur,27,367,20,,,,,,
2020-05-04,Mexico,Baja California Sur,28,374,21,,,,,,
2020-05-05,Mexico,Baja California Sur,29,386,21,,,,,,
2020-05-06,Mexico,Baja California Sur,30,396,23,,,,,,
2020-05-07,Mexico,Baja California Sur,31,407,23,,,,,,
2020-05-08,Mexico,Baja California Sur,32,416,25,,,,,,
2020-05-09,Mexico,Baja California Sur,33,422,25,,,,,,
2020-05-10,Mexico,Baja California Sur,34,432,27,,,,,,
2020-05-11,Mexico,Baja California Sur,35,439,28,,,,,,
2020-05-12,Mexico,Baja California Sur,36,455,28,,,,,,
2020-05-13,Mexico,Baja California Sur,37,468,29,,,,,,
2020-05-14,Mexico,Baja California Sur,38,476,30,,,,,,
2020-05-15,Mexico,Baja California Sur,39,481,30,,,,,,
2020-05-16,Mexico,Baja California Sur,40,492,31,,,,,,
2020-05-17,Mexico,Baja California Sur,41,495,32,,,,,,
2020-05-18,Mexico,Baja California Sur,42,506,33,,,,,,
2020-05-19,Mexico,Baja California Sur,43,521,33,,,,,,
2020-05-20,Mexico,Baja California Sur,44,538,34,,,,,,
2020-05-21,Mexico,Baja California Sur,45,546,34,,,,,,
2020-05-22,Mexico,Baja California Sur,46,561,35,,,,,,
2020-05-23,Mexico,Baja California Sur,47,568,35,,,,,,
2020-05-24,Mexico,Baja California Sur,48,577,36,,,,,,
2020-05-25,Mexico,Baja California Sur,49,593,36,,,,,,
2020-05-26,Mexico,Baja California Sur,50,607,37,,,,,,
2020-05-27,Mexico,Baja California Sur,51,629,39,,,,,,
2020-05-28,Mexico,Baja California Sur,52,647,39,,,,,,
2020-05-29,Mexico,Baja California Sur,53,669,40,,,,,,
2020-05-30,Mexico,Baja California Sur,54,682,40,,,,,,
2020-05-31,Mexico,Baja California Sur,55,690,40,,,,,,
2020-06-01,Mexico,Baja California Sur,56,726,41,,,,,,
2020-06-02,Mexico,Baja California Sur,57,744,42,,,,,,
2020-06-03,Mexico,Baja California Sur,58,760,44,,,,,,
2020-06-04,Mexico,Baja California Sur,59,782,47,,,,,,
2020-06-05,Mexico,Baja California Sur,60,804,50,,,,,,
2020-06-06,Mexico,Baja California Sur,61,818,50,,,,,,
2020-06-07,Mexico,Baja California Sur,62,838,50,,,,,,
2020-06-08,Mexico,Baja California Sur,63,891,50,,,,,,
2020-06-09,Mexico,Baja California Sur,64,929,51,,,,,,
2020-06-10,Mexico,Baja California Sur,65,976,51,,,,,,
2020-06-11,Mexico,Baja California Sur,66,1005,53,,,,,,
2020-06-12,Mexico,Baja California Sur,67,1030,55,,,,,,
2020-06-13,Mexico,Baja California Sur,68,1052,57,,,,,,
2020-06-14,Mexico,Baja California Sur,69,1073,61,,,,,,
2020-06-15,Mexico,Baja California Sur,70,1125,65,,,,,,
2020-06-16,Mexico,Baja California Sur,71,1155,66,,,,,,
2020-06-17,Mexico,Baja California Sur,72,1202,67,,,,,,
2020-06-18,Mexico,Baja California Sur,73,1250,68,,,,,,
2020-06-19,Mexico,Baja California Sur,74,1269,69,,,,,,
2020-06-20,Mexico,Baja California Sur,75,1304,71,,,,,,
2020-06-21,Mexico,Baja California Sur,76,1321,71,,,,,,
2020-06-22,Mexico,Baja California Sur,77,1354,72,,,,,,
2020-06-23,Mexico,Baja California Sur,78,1401,73,,,,,,
2020-06-24,Mexico,Baja California Sur,79,1454,74,,,,,,
2020-06-25,Mexico,Baja California Sur,80,1508,75,,,,,,
2020-06-26,Mexico,Baja California Sur,81,1549,76,,,,,,
2020-06-27,Mexico,Baja California Sur,82,1594,79,,,,,,
2020-06-28,Mexico,Baja California Sur,83,1629,79,,,,,,
2020-06-29,Mexico,Baja California Sur,84,1695,80,,,,,,
2020-06-30,Mexico,Baja California Sur,85,1754,84,,,,,,
2020-07-01,Mexico,Baja California Sur,86,1827,85,,,,,,
2020-07-02,Mexico,Baja California Sur,87,1897,90,,,,,,
2020-07-03,Mexico,Baja California Sur,88,1961,94,,,,,,
2020-07-04,Mexico,Baja California Sur,89,2018,95,,,,,,
2020-07-05,Mexico,Baja California Sur,90,2067,97,,,,,,
2020-07-06,Mexico,Baja California Sur,91,2156,99,,,,,,
2020-07-07,Mexico,Baja California Sur,92,2269,99,,,,,,
2020-07-08,Mexico,Baja California Sur,93,2362,100,,,,,,
2020-07-09,Mexico,Baja California Sur,94,2488,103,,,,,,
2020-07-10,Mexico,Baja California Sur,95,2606,106,,,,,,
2020-07-11,Mexico,Baja California Sur,96,2644,111,,,,,,
2020-07-12,Mexico,Baja California Sur,97,2693,116,,,,,,
2020-07-13,Mexico,Baja California Sur,98,2823,120,,,,,,
2020-07-14,Mexico,Baja California Sur,99,2944,124,,,,,,
2020-07-15,Mexico,Baja California Sur,100,3076,128,,,,,,
2020-07-16,Mexico,Baja California Sur,101,3193,130,,,,,,
2020-07-17,Mexico,Baja California Sur,102,3283,137,,,,,,
2020-07-18,Mexico,Baja California Sur,103,3345,139,,,,,,
2020-07-19,Mexico,Baja California Sur,104,3385,142,,,,,,
2020-07-20,Mexico,Baja California Sur,105,3540,146,,,,,,
2020-07-21,Mexico,Baja California Sur,106,3651,150,,,,,,
2020-07-22,Mexico,Baja California Sur,107,3766,155,,,,,,
2020-07-23,Mexico,Baja California Sur,108,3909,159,,,,,,
2020-07-24,Mexico,Baja California Sur,109,4015,166,,,,,,
2020-07-25,Mexico,Baja California Sur,110,4082,170,,,,,,
2020-07-26,Mexico,Baja California Sur,111,4121,177,,,,,,
2020-07-27,Mexico,Baja California Sur,112,4294,182,,,,,,
2020-07-28,Mexico,Baja California Sur,113,4446,188,,,,,,
2020-07-29,Mexico,Baja California Sur,114,4566,196,,,,,,
2020-07-30,Mexico,Baja California Sur,115,4719,205,,,,,,
2020-07-31,Mexico,Baja California Sur,116,4820,208,,,,,,
2020-08-01,Mexico,Baja California Sur,117,4885,214,,,,,,
2020-08-02,Mexico,Baja California Sur,118,4925,218,,,,,,
2020-08-03,Mexico,Baja California Sur,119,5088,221,,,,,,
2020-08-04,Mexico,Baja California Sur,120,5234,226,,,,,,
2020-08-05,Mexico,Baja California Sur,121,5386,230,,,,,,
2020-08-06,Mexico,Baja California Sur,122,5509,231,,,,,,
2020-08-07,Mexico,Baja California Sur,123,5621,237,,,,,,
2020-08-08,Mexico,Baja California Sur,124,5703,245,,,,,,
