date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-08,Mexico,Chihuahua,0,110,18,,,,,,
2020-04-09,Mexico,Chihuahua,1,121,22,,,,,,
2020-04-10,Mexico,Chihuahua,2,133,23,,,,,,
2020-04-11,Mexico,Chihuahua,3,151,24,,,,,,
2020-04-12,Mexico,Chihuahua,4,162,28,,,,,,
2020-04-13,Mexico,Chihuahua,5,182,31,,,,,,
2020-04-14,Mexico,Chihuahua,6,200,33,,,,,,
2020-04-15,Mexico,Chihuahua,7,226,40,,,,,,
2020-04-16,Mexico,Chihuahua,8,256,42,,,,,,
2020-04-17,Mexico,Chihuahua,9,277,49,,,,,,
2020-04-18,Mexico,Chihuahua,10,300,54,,,,,,
2020-04-19,Mexico,Chihuahua,11,323,58,,,,,,
2020-04-20,Mexico,Chihuahua,12,369,67,,,,,,
2020-04-21,Mexico,Chihuahua,13,410,77,,,,,,
2020-04-22,Mexico,Chihuahua,14,448,84,,,,,,
2020-04-23,Mexico,Chihuahua,15,506,86,,,,,,
2020-04-24,Mexico,Chihuahua,16,555,100,,,,,,
2020-04-25,Mexico,Chihuahua,17,594,108,,,,,,
2020-04-26,Mexico,Chihuahua,18,623,113,,,,,,
2020-04-27,Mexico,Chihuahua,19,681,119,,,,,,
2020-04-28,Mexico,Chihuahua,20,740,126,,,,,,
2020-04-29,Mexico,Chihuahua,21,808,133,,,,,,
2020-04-30,Mexico,Chihuahua,22,883,143,,,,,,
2020-05-01,Mexico,Chihuahua,23,933,158,,,,,,
2020-05-02,Mexico,Chihuahua,24,983,164,,,,,,
2020-05-03,Mexico,Chihuahua,25,1014,173,,,,,,
2020-05-04,Mexico,Chihuahua,26,1077,184,,,,,,
2020-05-05,Mexico,Chihuahua,27,1157,189,,,,,,
2020-05-06,Mexico,Chihuahua,28,1233,201,,,,,,
2020-05-07,Mexico,Chihuahua,29,1299,218,,,,,,
2020-05-08,Mexico,Chihuahua,30,1358,229,,,,,,
2020-05-09,Mexico,Chihuahua,31,1404,240,,,,,,
2020-05-10,Mexico,Chihuahua,32,1455,253,,,,,,
2020-05-11,Mexico,Chihuahua,33,1527,261,,,,,,
2020-05-12,Mexico,Chihuahua,34,1579,271,,,,,,
2020-05-13,Mexico,Chihuahua,35,1660,285,,,,,,
