date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-15,Mexico,Colima,-32,11,1,,,,,,
2020-04-16,Mexico,Colima,-31,13,2,,,,,,
2020-04-17,Mexico,Colima,-30,15,2,,,,,,
2020-04-18,Mexico,Colima,-29,16,2,,,,,,
2020-04-19,Mexico,Colima,-28,17,2,,,,,,
2020-04-20,Mexico,Colima,-27,18,2,,,,,,
2020-04-21,Mexico,Colima,-26,19,2,,,,,,
2020-04-22,Mexico,Colima,-25,20,2,,,,,,
2020-04-23,Mexico,Colima,-24,23,2,,,,,,
2020-04-24,Mexico,Colima,-23,25,2,,,,,,
2020-04-25,Mexico,Colima,-22,26,2,,,,,,
2020-04-26,Mexico,Colima,-21,26,3,,,,,,
2020-04-27,Mexico,Colima,-20,28,3,,,,,,
2020-04-30,Mexico,Colima,-19,31,3,,,,,,
2020-05-01,Mexico,Colima,-18,32,3,,,,,,
2020-05-02,Mexico,Colima,-17,32,4,,,,,,
2020-05-03,Mexico,Colima,-16,34,4,,,,,,
2020-05-04,Mexico,Colima,-15,37,6,,,,,,
2020-05-05,Mexico,Colima,-14,42,7,,,,,,
2020-05-06,Mexico,Colima,-13,43,7,,,,,,
2020-05-07,Mexico,Colima,-12,44,7,,,,,,
2020-05-08,Mexico,Colima,-11,46,7,,,,,,
2020-05-09,Mexico,Colima,-10,49,7,,,,,,
2020-05-10,Mexico,Colima,-9,50,7,,,,,,
2020-05-11,Mexico,Colima,-8,52,8,,,,,,
2020-05-12,Mexico,Colima,-7,58,8,,,,,,
2020-05-13,Mexico,Colima,-6,62,8,,,,,,
2020-05-14,Mexico,Colima,-5,74,8,,,,,,
2020-05-15,Mexico,Colima,-4,78,9,,,,,,
2020-05-16,Mexico,Colima,-3,81,10,,,,,,
2020-05-17,Mexico,Colima,-2,86,10,,,,,,
2020-05-18,Mexico,Colima,-1,93,11,,,,,,
2020-05-19,Mexico,Colima,0,100,11,,,,,,
2020-05-20,Mexico,Colima,1,109,13,,,,,,
2020-05-21,Mexico,Colima,2,113,14,,,,,,
2020-05-22,Mexico,Colima,3,120,15,,,,,,
2020-05-23,Mexico,Colima,4,124,15,,,,,,
2020-05-24,Mexico,Colima,5,131,19,,,,,,
2020-05-25,Mexico,Colima,6,138,19,,,,,,
2020-05-26,Mexico,Colima,7,145,21,,,,,,
2020-05-27,Mexico,Colima,8,150,22,,,,,,
2020-05-28,Mexico,Colima,9,157,22,,,,,,
2020-05-29,Mexico,Colima,10,165,23,,,,,,
2020-05-30,Mexico,Colima,11,171,23,,,,,,
2020-05-31,Mexico,Colima,12,175,25,,,,,,
2020-06-01,Mexico,Colima,13,186,26,,,,,,
2020-06-02,Mexico,Colima,14,198,26,,,,,,
2020-06-03,Mexico,Colima,15,209,27,,,,,,
