date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-21,Mexico,Guerrero,-22,11,0,,,,,,
2020-03-22,Mexico,Guerrero,-21,12,1,,,,,,
2020-03-23,Mexico,Guerrero,-20,13,1,,,,,,
2020-03-25,Mexico,Guerrero,-19,16,1,,,,,,
2020-03-26,Mexico,Guerrero,-18,20,1,,,,,,
2020-03-27,Mexico,Guerrero,-17,23,1,,,,,,
2020-03-28,Mexico,Guerrero,-16,26,2,,,,,,
2020-03-29,Mexico,Guerrero,-15,27,2,,,,,,
2020-03-30,Mexico,Guerrero,-14,29,2,,,,,,
2020-03-31,Mexico,Guerrero,-13,34,2,,,,,,
2020-04-01,Mexico,Guerrero,-12,37,2,,,,,,
2020-04-02,Mexico,Guerrero,-11,38,2,,,,,,
2020-04-03,Mexico,Guerrero,-10,39,2,,,,,,
2020-04-04,Mexico,Guerrero,-9,41,4,,,,,,
2020-04-05,Mexico,Guerrero,-8,44,4,,,,,,
2020-04-06,Mexico,Guerrero,-7,52,6,,,,,,
2020-04-07,Mexico,Guerrero,-6,63,6,,,,,,
2020-04-08,Mexico,Guerrero,-5,69,6,,,,,,
2020-04-09,Mexico,Guerrero,-4,76,7,,,,,,
2020-04-10,Mexico,Guerrero,-3,81,7,,,,,,
2020-04-11,Mexico,Guerrero,-2,86,7,,,,,,
2020-04-12,Mexico,Guerrero,-1,98,8,,,,,,
2020-04-13,Mexico,Guerrero,0,115,9,,,,,,
2020-04-14,Mexico,Guerrero,1,122,10,,,,,,
2020-04-15,Mexico,Guerrero,2,127,13,,,,,,
2020-04-16,Mexico,Guerrero,3,139,14,,,,,,
2020-04-17,Mexico,Guerrero,4,152,15,,,,,,
2020-04-18,Mexico,Guerrero,5,161,18,,,,,,
2020-04-19,Mexico,Guerrero,6,167,22,,,,,,
2020-04-20,Mexico,Guerrero,7,183,25,,,,,,
2020-04-21,Mexico,Guerrero,8,190,32,,,,,,
2020-04-22,Mexico,Guerrero,9,203,35,,,,,,
2020-04-23,Mexico,Guerrero,10,222,38,,,,,,
2020-04-24,Mexico,Guerrero,11,247,39,,,,,,
2020-04-25,Mexico,Guerrero,12,260,43,,,,,,
2020-04-26,Mexico,Guerrero,13,278,44,,,,,,
2020-04-27,Mexico,Guerrero,14,304,52,,,,,,
2020-04-28,Mexico,Guerrero,15,333,57,,,,,,
2020-04-29,Mexico,Guerrero,16,365,61,,,,,,
2020-04-30,Mexico,Guerrero,17,384,63,,,,,,
2020-05-01,Mexico,Guerrero,18,399,65,,,,,,
2020-05-02,Mexico,Guerrero,19,440,73,,,,,,
2020-05-03,Mexico,Guerrero,20,470,77,,,,,,
2020-05-04,Mexico,Guerrero,21,524,82,,,,,,
2020-05-05,Mexico,Guerrero,22,562,88,,,,,,
2020-05-06,Mexico,Guerrero,23,613,98,,,,,,
2020-05-07,Mexico,Guerrero,24,655,106,,,,,,
2020-05-08,Mexico,Guerrero,25,696,110,,,,,,
2020-05-09,Mexico,Guerrero,26,734,123,,,,,,
2020-05-10,Mexico,Guerrero,27,767,130,,,,,,
2020-05-11,Mexico,Guerrero,28,816,140,,,,,,
2020-05-12,Mexico,Guerrero,29,882,148,,,,,,
2020-05-13,Mexico,Guerrero,30,933,158,,,,,,
2020-05-14,Mexico,Guerrero,31,1010,168,,,,,,
2020-05-15,Mexico,Guerrero,32,1072,182,,,,,,
2020-05-16,Mexico,Guerrero,33,1124,197,,,,,,
2020-05-17,Mexico,Guerrero,34,1166,214,,,,,,
2020-05-18,Mexico,Guerrero,35,1295,232,,,,,,
2020-05-19,Mexico,Guerrero,36,1407,245,,,,,,
2020-05-20,Mexico,Guerrero,37,1550,268,,,,,,
2020-05-21,Mexico,Guerrero,38,1693,286,,,,,,
2020-05-22,Mexico,Guerrero,39,1825,304,,,,,,
2020-05-23,Mexico,Guerrero,40,1891,324,,,,,,
2020-05-24,Mexico,Guerrero,41,1962,346,,,,,,
2020-05-25,Mexico,Guerrero,42,2100,373,,,,,,
2020-05-26,Mexico,Guerrero,43,2218,396,,,,,,
2020-05-27,Mexico,Guerrero,44,2341,424,,,,,,
2020-05-28,Mexico,Guerrero,45,2454,441,,,,,,
2020-05-29,Mexico,Guerrero,46,2555,464,,,,,,
2020-05-30,Mexico,Guerrero,47,2617,484,,,,,,
2020-05-31,Mexico,Guerrero,48,2697,508,,,,,,
2020-06-01,Mexico,Guerrero,49,2854,530,,,,,,
2020-06-02,Mexico,Guerrero,50,2966,559,,,,,,
2020-06-03,Mexico,Guerrero,51,3082,577,,,,,,
2020-06-04,Mexico,Guerrero,52,3215,597,,,,,,
2020-06-05,Mexico,Guerrero,53,3341,620,,,,,,
2020-06-06,Mexico,Guerrero,54,3434,639,,,,,,
2020-06-07,Mexico,Guerrero,55,3501,665,,,,,,
2020-06-08,Mexico,Guerrero,56,3662,691,,,,,,
2020-06-09,Mexico,Guerrero,57,3773,713,,,,,,
2020-06-10,Mexico,Guerrero,58,3927,736,,,,,,
2020-06-11,Mexico,Guerrero,59,4082,755,,,,,,
2020-06-12,Mexico,Guerrero,60,4236,776,,,,,,
2020-06-13,Mexico,Guerrero,61,4317,805,,,,,,
2020-06-14,Mexico,Guerrero,62,4415,829,,,,,,
2020-06-15,Mexico,Guerrero,63,4558,846,,,,,,
2020-06-16,Mexico,Guerrero,64,4712,868,,,,,,
2020-06-17,Mexico,Guerrero,65,4826,895,,,,,,
2020-06-18,Mexico,Guerrero,66,4934,918,,,,,,
2020-06-19,Mexico,Guerrero,67,5068,949,,,,,,
2020-06-20,Mexico,Guerrero,68,5122,963,,,,,,
2020-06-21,Mexico,Guerrero,69,5194,979,,,,,,
2020-06-22,Mexico,Guerrero,70,5377,1008,,,,,,
2020-06-23,Mexico,Guerrero,71,5504,1024,,,,,,
2020-06-24,Mexico,Guerrero,72,5601,1040,,,,,,
2020-06-25,Mexico,Guerrero,73,5737,1056,,,,,,
2020-06-26,Mexico,Guerrero,74,5864,1080,,,,,,
2020-06-27,Mexico,Guerrero,75,6007,1107,,,,,,
2020-06-28,Mexico,Guerrero,76,6180,1130,,,,,,
2020-06-29,Mexico,Guerrero,77,6433,1151,,,,,,
2020-06-30,Mexico,Guerrero,78,6685,1175,,,,,,
2020-07-01,Mexico,Guerrero,79,6949,1187,,,,,,
2020-07-02,Mexico,Guerrero,80,7251,1198,,,,,,
2020-07-03,Mexico,Guerrero,81,7527,1216,,,,,,
2020-07-04,Mexico,Guerrero,82,7715,1238,,,,,,
2020-07-05,Mexico,Guerrero,83,7869,1251,,,,,,
2020-07-06,Mexico,Guerrero,84,8029,1267,,,,,,
2020-07-07,Mexico,Guerrero,85,8178,1291,,,,,,
2020-07-08,Mexico,Guerrero,86,8296,1300,,,,,,
2020-07-09,Mexico,Guerrero,87,8437,1312,,,,,,
2020-07-10,Mexico,Guerrero,88,8578,1331,,,,,,
2020-07-11,Mexico,Guerrero,89,8619,1345,,,,,,
2020-07-12,Mexico,Guerrero,90,8748,1355,,,,,,
2020-07-13,Mexico,Guerrero,91,8909,1375,,,,,,
2020-07-14,Mexico,Guerrero,92,9080,1399,,,,,,
2020-07-15,Mexico,Guerrero,93,9219,1414,,,,,,
2020-07-16,Mexico,Guerrero,94,9389,1424,,,,,,
2020-07-17,Mexico,Guerrero,95,9510,1439,,,,,,
2020-07-18,Mexico,Guerrero,96,9624,1455,,,,,,
2020-07-19,Mexico,Guerrero,97,9750,1472,,,,,,
