date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-14,Mexico,Michoacan,0,107,15,,,,,,
2020-04-15,Mexico,Michoacan,1,116,16,,,,,,
2020-04-16,Mexico,Michoacan,2,124,18,,,,,,
2020-04-17,Mexico,Michoacan,3,138,18,,,,,,
2020-04-18,Mexico,Michoacan,4,145,19,,,,,,
2020-04-19,Mexico,Michoacan,5,153,21,,,,,,
2020-04-20,Mexico,Michoacan,6,181,25,,,,,,
2020-04-21,Mexico,Michoacan,7,193,25,,,,,,
2020-04-22,Mexico,Michoacan,8,205,26,,,,,,
2020-04-23,Mexico,Michoacan,9,225,29,,,,,,
2020-04-24,Mexico,Michoacan,10,248,31,,,,,,
2020-04-25,Mexico,Michoacan,11,275,35,,,,,,
2020-04-26,Mexico,Michoacan,12,295,38,,,,,,
2020-04-27,Mexico,Michoacan,13,327,39,,,,,,
2020-04-28,Mexico,Michoacan,14,356,42,,,,,,
2020-04-29,Mexico,Michoacan,15,379,47,,,,,,
2020-04-30,Mexico,Michoacan,16,405,52,,,,,,
2020-05-01,Mexico,Michoacan,17,429,54,,,,,,
2020-05-02,Mexico,Michoacan,18,445,55,,,,,,
2020-05-03,Mexico,Michoacan,19,472,56,,,,,,
2020-05-04,Mexico,Michoacan,20,515,60,,,,,,
2020-05-05,Mexico,Michoacan,21,536,65,,,,,,
2020-05-06,Mexico,Michoacan,22,571,65,,,,,,
2020-05-07,Mexico,Michoacan,23,600,67,,,,,,
2020-05-08,Mexico,Michoacan,24,643,71,,,,,,
2020-05-09,Mexico,Michoacan,25,688,75,,,,,,
2020-05-10,Mexico,Michoacan,26,713,78,,,,,,
2020-05-11,Mexico,Michoacan,27,782,81,,,,,,
2020-05-12,Mexico,Michoacan,28,840,83,,,,,,
2020-05-13,Mexico,Michoacan,29,941,89,,,,,,
2020-05-14,Mexico,Michoacan,30,1018,99,,,,,,
2020-05-15,Mexico,Michoacan,31,1121,103,,,,,,
2020-05-16,Mexico,Michoacan,32,1164,109,,,,,,
2020-05-17,Mexico,Michoacan,33,1191,116,,,,,,
2020-05-18,Mexico,Michoacan,34,1258,120,,,,,,
2020-05-19,Mexico,Michoacan,35,1324,128,,,,,,
2020-05-20,Mexico,Michoacan,36,1425,137,,,,,,
2020-05-21,Mexico,Michoacan,37,1504,147,,,,,,
2020-05-22,Mexico,Michoacan,38,1599,154,,,,,,
2020-05-23,Mexico,Michoacan,39,1620,158,,,,,,
2020-05-24,Mexico,Michoacan,40,1655,167,,,,,,
2020-05-25,Mexico,Michoacan,41,1774,178,,,,,,
2020-05-26,Mexico,Michoacan,42,1875,184,,,,,,
2020-05-27,Mexico,Michoacan,43,1965,196,,,,,,
2020-05-28,Mexico,Michoacan,44,2077,204,,,,,,
2020-05-29,Mexico,Michoacan,45,2205,207,,,,,,
2020-05-30,Mexico,Michoacan,46,2252,211,,,,,,
2020-05-31,Mexico,Michoacan,47,2298,219,,,,,,
2020-06-01,Mexico,Michoacan,48,2466,227,,,,,,
2020-06-02,Mexico,Michoacan,49,2592,233,,,,,,
2020-06-03,Mexico,Michoacan,50,2740,240,,,,,,
2020-06-04,Mexico,Michoacan,51,2883,254,,,,,,
2020-06-05,Mexico,Michoacan,52,3014,261,,,,,,
2020-06-06,Mexico,Michoacan,53,3086,270,,,,,,
2020-06-07,Mexico,Michoacan,54,3125,277,,,,,,
2020-06-08,Mexico,Michoacan,55,3315,289,,,,,,
2020-06-09,Mexico,Michoacan,56,3511,297,,,,,,
2020-06-10,Mexico,Michoacan,57,3663,308,,,,,,
2020-06-11,Mexico,Michoacan,58,3835,320,,,,,,
2020-06-12,Mexico,Michoacan,59,4031,329,,,,,,
2020-06-13,Mexico,Michoacan,60,4110,343,,,,,,
2020-06-14,Mexico,Michoacan,61,4158,361,,,,,,
2020-06-15,Mexico,Michoacan,62,4361,381,,,,,,
2020-06-16,Mexico,Michoacan,63,4555,397,,,,,,
2020-06-17,Mexico,Michoacan,64,4755,421,,,,,,
2020-06-18,Mexico,Michoacan,65,4919,433,,,,,,
2020-06-19,Mexico,Michoacan,66,5163,447,,,,,,
2020-06-20,Mexico,Michoacan,67,5285,461,,,,,,
2020-06-21,Mexico,Michoacan,68,5335,471,,,,,,
2020-06-22,Mexico,Michoacan,69,5553,479,,,,,,
2020-06-23,Mexico,Michoacan,70,5749,489,,,,,,
2020-06-24,Mexico,Michoacan,71,5917,499,,,,,,
2020-06-25,Mexico,Michoacan,72,6072,505,,,,,,
2020-06-26,Mexico,Michoacan,73,6176,513,,,,,,
2020-06-27,Mexico,Michoacan,74,6246,530,,,,,,
2020-06-28,Mexico,Michoacan,75,6275,541,,,,,,
2020-06-29,Mexico,Michoacan,76,6446,547,,,,,,
2020-06-30,Mexico,Michoacan,77,6612,554,,,,,,
2020-07-01,Mexico,Michoacan,78,6728,566,,,,,,
2020-07-02,Mexico,Michoacan,79,6847,575,,,,,,
2020-07-03,Mexico,Michoacan,80,6974,580,,,,,,
2020-07-04,Mexico,Michoacan,81,7017,588,,,,,,
2020-07-05,Mexico,Michoacan,82,7050,598,,,,,,
2020-07-06,Mexico,Michoacan,83,7187,608,,,,,,
2020-07-07,Mexico,Michoacan,84,7314,615,,,,,,
2020-07-08,Mexico,Michoacan,85,7435,625,,,,,,
2020-07-09,Mexico,Michoacan,86,7548,630,,,,,,
2020-07-10,Mexico,Michoacan,87,7663,638,,,,,,
2020-07-11,Mexico,Michoacan,88,7731,653,,,,,,
2020-07-12,Mexico,Michoacan,89,7773,663,,,,,,
2020-07-13,Mexico,Michoacan,90,7916,675,,,,,,
2020-07-14,Mexico,Michoacan,91,8057,683,,,,,,
2020-07-15,Mexico,Michoacan,92,8188,697,,,,,,
2020-07-16,Mexico,Michoacan,93,8307,703,,,,,,
2020-07-17,Mexico,Michoacan,94,8465,715,,,,,,
2020-07-18,Mexico,Michoacan,95,8549,719,,,,,,
2020-07-19,Mexico,Michoacan,96,8595,723,,,,,,
2020-07-20,Mexico,Michoacan,97,8786,728,,,,,,
2020-07-21,Mexico,Michoacan,98,8956,731,,,,,,
2020-07-22,Mexico,Michoacan,99,9119,736,,,,,,
2020-07-23,Mexico,Michoacan,100,9307,744,,,,,,
2020-07-24,Mexico,Michoacan,101,9488,755,,,,,,
2020-07-25,Mexico,Michoacan,102,9567,770,,,,,,
2020-07-26,Mexico,Michoacan,103,9626,787,,,,,,
2020-07-27,Mexico,Michoacan,104,9830,800,,,,,,
2020-07-28,Mexico,Michoacan,105,10062,811,,,,,,
2020-07-29,Mexico,Michoacan,106,10267,825,,,,,,
2020-07-30,Mexico,Michoacan,107,10443,833,,,,,,
2020-07-31,Mexico,Michoacan,108,10616,841,,,,,,
2020-08-01,Mexico,Michoacan,109,10690,858,,,,,,
2020-08-02,Mexico,Michoacan,110,10736,866,,,,,,
2020-08-03,Mexico,Michoacan,111,10938,884,,,,,,
2020-08-04,Mexico,Michoacan,112,11128,891,,,,,,
2020-08-05,Mexico,Michoacan,113,11324,901,,,,,,
2020-08-06,Mexico,Michoacan,114,11523,913,,,,,,
2020-08-07,Mexico,Michoacan,115,11726,928,,,,,,
2020-08-08,Mexico,Michoacan,116,11813,943,,,,,,
2020-08-09,Mexico,Michoacan,117,11880,961,,,,,,
2020-08-10,Mexico,Michoacan,118,12126,977,,,,,,
2020-08-11,Mexico,Michoacan,119,12385,991,,,,,,
2020-08-12,Mexico,Michoacan,120,12577,1007,,,,,,
2020-08-13,Mexico,Michoacan,121,12743,1016,,,,,,
2020-08-14,Mexico,Michoacan,122,12946,1027,,,,,,
2020-08-15,Mexico,Michoacan,123,13027,1041,,,,,,
2020-08-16,Mexico,Michoacan,124,13087,1055,,,,,,
2020-08-17,Mexico,Michoacan,125,13361,1075,,,,,,
2020-08-18,Mexico,Michoacan,126,13604,1088,,,,,,
2020-08-19,Mexico,Michoacan,127,13821,1105,,,,,,
2020-08-20,Mexico,Michoacan,128,14054,1111,,,,,,
2020-08-21,Mexico,Michoacan,129,14258,1127,,,,,,
2020-08-22,Mexico,Michoacan,130,14340,1143,,,,,,
2020-08-23,Mexico,Michoacan,131,14408,1161,,,,,,
2020-08-24,Mexico,Michoacan,132,14691,1170,,,,,,
2020-08-25,Mexico,Michoacan,133,14930,1182,,,,,,
2020-08-26,Mexico,Michoacan,134,15144,1196,,,,,,
2020-08-27,Mexico,Michoacan,135,15357,1204,,,,,,
2020-08-28,Mexico,Michoacan,136,15573,1221,,,,,,
2020-08-29,Mexico,Michoacan,137,15651,1237,,,,,,
2020-08-30,Mexico,Michoacan,138,15726,1253,,,,,,
2020-08-31,Mexico,Michoacan,139,16004,1265,,,,,,
2020-09-01,Mexico,Michoacan,140,16254,1279,,,,,,
2020-09-02,Mexico,Michoacan,141,16440,1287,,,,,,
2020-09-03,Mexico,Michoacan,142,16519,1305,,,,,,
2020-09-04,Mexico,Michoacan,143,16522,1311,,,,,,
