date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-19,Mexico,Queretaro,-27,13,0,,,,,,
2020-03-21,Mexico,Queretaro,-26,14,0,,,,,,
2020-03-23,Mexico,Queretaro,-25,17,0,,,,,,
2020-03-24,Mexico,Queretaro,-24,22,0,,,,,,
2020-03-25,Mexico,Queretaro,-23,24,0,,,,,,
2020-03-26,Mexico,Queretaro,-22,25,0,,,,,,
2020-03-27,Mexico,Queretaro,-21,29,0,,,,,,
2020-03-28,Mexico,Queretaro,-20,31,1,,,,,,
2020-03-29,Mexico,Queretaro,-19,32,1,,,,,,
2020-03-30,Mexico,Queretaro,-18,33,1,,,,,,
2020-03-31,Mexico,Queretaro,-17,37,1,,,,,,
2020-04-01,Mexico,Queretaro,-16,40,1,,,,,,
2020-04-02,Mexico,Queretaro,-15,41,2,,,,,,
2020-04-03,Mexico,Queretaro,-14,44,2,,,,,,
2020-04-04,Mexico,Queretaro,-13,45,2,,,,,,
2020-04-06,Mexico,Queretaro,-12,49,2,,,,,,
2020-04-07,Mexico,Queretaro,-11,54,2,,,,,,
2020-04-08,Mexico,Queretaro,-10,57,2,,,,,,
2020-04-09,Mexico,Queretaro,-9,60,2,,,,,,
2020-04-10,Mexico,Queretaro,-8,62,2,,,,,,
2020-04-11,Mexico,Queretaro,-7,65,3,,,,,,
2020-04-12,Mexico,Queretaro,-6,66,3,,,,,,
2020-04-13,Mexico,Queretaro,-5,74,3,,,,,,
2020-04-14,Mexico,Queretaro,-4,82,4,,,,,,
2020-04-15,Mexico,Queretaro,-3,85,5,,,,,,
2020-04-16,Mexico,Queretaro,-2,92,5,,,,,,
2020-04-17,Mexico,Queretaro,-1,98,5,,,,,,
2020-04-18,Mexico,Queretaro,0,100,5,,,,,,
2020-04-19,Mexico,Queretaro,1,102,5,,,,,,
2020-04-20,Mexico,Queretaro,2,107,5,,,,,,
2020-04-21,Mexico,Queretaro,3,109,6,,,,,,
2020-04-22,Mexico,Queretaro,4,116,6,,,,,,
2020-04-23,Mexico,Queretaro,5,125,6,,,,,,
2020-04-24,Mexico,Queretaro,6,135,6,,,,,,
2020-04-25,Mexico,Queretaro,7,136,7,,,,,,
2020-04-26,Mexico,Queretaro,8,138,8,,,,,,
2020-04-27,Mexico,Queretaro,9,141,9,,,,,,
2020-04-28,Mexico,Queretaro,10,150,9,,,,,,
2020-04-29,Mexico,Queretaro,11,162,10,,,,,,
2020-04-30,Mexico,Queretaro,12,168,11,,,,,,
2020-05-01,Mexico,Queretaro,13,176,12,,,,,,
2020-05-02,Mexico,Queretaro,14,188,13,,,,,,
2020-05-03,Mexico,Queretaro,15,192,14,,,,,,
2020-05-04,Mexico,Queretaro,16,202,16,,,,,,
2020-05-05,Mexico,Queretaro,17,213,17,,,,,,
2020-05-06,Mexico,Queretaro,18,222,19,,,,,,
2020-05-07,Mexico,Queretaro,19,237,19,,,,,,
2020-05-08,Mexico,Queretaro,20,263,19,,,,,,
2020-05-09,Mexico,Queretaro,21,289,19,,,,,,
2020-05-10,Mexico,Queretaro,22,308,23,,,,,,
2020-05-11,Mexico,Queretaro,23,355,25,,,,,,
2020-05-12,Mexico,Queretaro,24,389,29,,,,,,
2020-05-13,Mexico,Queretaro,25,418,30,,,,,,
2020-05-14,Mexico,Queretaro,26,459,32,,,,,,
2020-05-15,Mexico,Queretaro,27,508,36,,,,,,
2020-05-16,Mexico,Queretaro,28,536,44,,,,,,
2020-05-17,Mexico,Queretaro,29,553,52,,,,,,
2020-05-18,Mexico,Queretaro,30,599,53,,,,,,
2020-05-19,Mexico,Queretaro,31,660,56,,,,,,
2020-05-20,Mexico,Queretaro,32,702,61,,,,,,
2020-05-21,Mexico,Queretaro,33,739,70,,,,,,
2020-05-22,Mexico,Queretaro,34,776,72,,,,,,
2020-05-23,Mexico,Queretaro,35,798,77,,,,,,
2020-05-24,Mexico,Queretaro,36,810,80,,,,,,
2020-05-25,Mexico,Queretaro,37,862,85,,,,,,
2020-05-26,Mexico,Queretaro,38,900,90,,,,,,
2020-05-27,Mexico,Queretaro,39,936,96,,,,,,
2020-05-28,Mexico,Queretaro,40,967,98,,,,,,
2020-05-29,Mexico,Queretaro,41,1004,104,,,,,,
2020-05-30,Mexico,Queretaro,42,1031,106,,,,,,
2020-05-31,Mexico,Queretaro,43,1052,113,,,,,,
2020-06-01,Mexico,Queretaro,44,1091,118,,,,,,
2020-06-02,Mexico,Queretaro,45,1141,124,,,,,,
2020-06-03,Mexico,Queretaro,46,1188,129,,,,,,
2020-06-04,Mexico,Queretaro,47,1234,138,,,,,,
2020-06-05,Mexico,Queretaro,48,1270,141,,,,,,
2020-06-06,Mexico,Queretaro,49,1300,148,,,,,,
2020-06-07,Mexico,Queretaro,50,1328,155,,,,,,
2020-06-08,Mexico,Queretaro,51,1381,158,,,,,,
2020-06-09,Mexico,Queretaro,52,1424,165,,,,,,
2020-06-10,Mexico,Queretaro,53,1463,167,,,,,,
2020-06-11,Mexico,Queretaro,54,1496,175,,,,,,
2020-06-12,Mexico,Queretaro,55,1538,182,,,,,,
2020-06-13,Mexico,Queretaro,56,1572,191,,,,,,
2020-06-14,Mexico,Queretaro,57,1594,195,,,,,,
2020-06-15,Mexico,Queretaro,58,1653,202,,,,,,
2020-06-16,Mexico,Queretaro,59,1699,209,,,,,,
2020-06-17,Mexico,Queretaro,60,1743,214,,,,,,
2020-06-18,Mexico,Queretaro,61,1783,220,,,,,,
2020-06-19,Mexico,Queretaro,62,1812,226,,,,,,
2020-06-20,Mexico,Queretaro,63,1843,231,,,,,,
2020-06-21,Mexico,Queretaro,64,1859,234,,,,,,
2020-06-22,Mexico,Queretaro,65,1910,239,,,,,,
2020-06-23,Mexico,Queretaro,66,1950,244,,,,,,
2020-06-24,Mexico,Queretaro,67,1992,247,,,,,,
