date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-24,Mexico,Sonora,-16,12,0,,,,,,
2020-03-25,Mexico,Sonora,-15,15,0,,,,,,
2020-03-26,Mexico,Sonora,-14,16,0,,,,,,
2020-03-27,Mexico,Sonora,-13,21,0,,,,,,
2020-03-28,Mexico,Sonora,-12,25,0,,,,,,
2020-03-30,Mexico,Sonora,-11,27,1,,,,,,
2020-03-31,Mexico,Sonora,-10,32,1,,,,,,
2020-04-01,Mexico,Sonora,-9,33,1,,,,,,
2020-04-02,Mexico,Sonora,-8,36,1,,,,,,
2020-04-03,Mexico,Sonora,-7,37,1,,,,,,
2020-04-04,Mexico,Sonora,-6,44,1,,,,,,
2020-04-05,Mexico,Sonora,-5,46,3,,,,,,
2020-04-06,Mexico,Sonora,-4,57,4,,,,,,
2020-04-07,Mexico,Sonora,-3,71,5,,,,,,
2020-04-08,Mexico,Sonora,-2,87,6,,,,,,
2020-04-09,Mexico,Sonora,-1,94,7,,,,,,
2020-04-10,Mexico,Sonora,0,101,7,,,,,,
2020-04-11,Mexico,Sonora,1,107,8,,,,,,
2020-04-12,Mexico,Sonora,2,110,11,,,,,,
2020-04-13,Mexico,Sonora,3,128,11,,,,,,
2020-04-14,Mexico,Sonora,4,137,12,,,,,,
2020-04-15,Mexico,Sonora,5,150,14,,,,,,
2020-04-16,Mexico,Sonora,6,165,14,,,,,,
2020-04-17,Mexico,Sonora,7,180,15,,,,,,
2020-04-18,Mexico,Sonora,8,194,15,,,,,,
2020-04-19,Mexico,Sonora,9,201,17,,,,,,
2020-04-20,Mexico,Sonora,10,210,20,,,,,,
2020-04-21,Mexico,Sonora,11,225,23,,,,,,
2020-04-22,Mexico,Sonora,12,247,26,,,,,,
2020-04-23,Mexico,Sonora,13,256,27,,,,,,
2020-04-24,Mexico,Sonora,14,277,28,,,,,,
2020-04-25,Mexico,Sonora,15,286,29,,,,,,
2020-04-26,Mexico,Sonora,16,301,29,,,,,,
2020-04-27,Mexico,Sonora,17,336,32,,,,,,
2020-04-28,Mexico,Sonora,18,351,33,,,,,,
2020-04-29,Mexico,Sonora,19,368,36,,,,,,
2020-04-30,Mexico,Sonora,20,402,37,,,,,,
2020-05-01,Mexico,Sonora,21,426,38,,,,,,
2020-05-02,Mexico,Sonora,22,458,41,,,,,,
2020-05-03,Mexico,Sonora,23,484,42,,,,,,
2020-05-04,Mexico,Sonora,24,551,44,,,,,,
2020-05-05,Mexico,Sonora,25,615,44,,,,,,
2020-05-06,Mexico,Sonora,26,661,44,,,,,,
2020-05-07,Mexico,Sonora,27,705,48,,,,,,
2020-05-08,Mexico,Sonora,28,763,50,,,,,,
2020-05-09,Mexico,Sonora,29,816,52,,,,,,
2020-05-10,Mexico,Sonora,30,845,56,,,,,,
2020-05-11,Mexico,Sonora,31,926,60,,,,,,
2020-05-12,Mexico,Sonora,32,1003,61,,,,,,
2020-05-13,Mexico,Sonora,33,1116,65,,,,,,
2020-05-14,Mexico,Sonora,34,1202,72,,,,,,
2020-05-15,Mexico,Sonora,35,1311,77,,,,,,
2020-05-16,Mexico,Sonora,36,1380,84,,,,,,
2020-05-17,Mexico,Sonora,37,1442,93,,,,,,
2020-05-18,Mexico,Sonora,38,1614,100,,,,,,
2020-05-19,Mexico,Sonora,39,1771,110,,,,,,
2020-05-20,Mexico,Sonora,40,1925,120,,,,,,
2020-05-21,Mexico,Sonora,41,2105,124,,,,,,
2020-05-22,Mexico,Sonora,42,2263,133,,,,,,
2020-05-23,Mexico,Sonora,43,2397,147,,,,,,
2020-05-24,Mexico,Sonora,44,2505,158,,,,,,
2020-05-25,Mexico,Sonora,45,2739,172,,,,,,
2020-05-26,Mexico,Sonora,46,3024,189,,,,,,
2020-05-27,Mexico,Sonora,47,3262,201,,,,,,
2020-05-28,Mexico,Sonora,48,3529,215,,,,,,
2020-05-29,Mexico,Sonora,49,3746,238,,,,,,
2020-05-30,Mexico,Sonora,50,3894,256,,,,,,
2020-05-31,Mexico,Sonora,51,4020,269,,,,,,
2020-06-01,Mexico,Sonora,52,4271,290,,,,,,
2020-06-02,Mexico,Sonora,53,4520,303,,,,,,
2020-06-03,Mexico,Sonora,54,4772,319,,,,,,
2020-06-04,Mexico,Sonora,55,5019,343,,,,,,
2020-06-05,Mexico,Sonora,56,5275,378,,,,,,
2020-06-06,Mexico,Sonora,57,5439,403,,,,,,
2020-06-07,Mexico,Sonora,58,5556,425,,,,,,
2020-06-08,Mexico,Sonora,59,5830,454,,,,,,
2020-06-09,Mexico,Sonora,60,6123,478,,,,,,
2020-06-10,Mexico,Sonora,61,6388,511,,,,,,
2020-06-11,Mexico,Sonora,62,6666,544,,,,,,
2020-06-12,Mexico,Sonora,63,6927,580,,,,,,
2020-06-13,Mexico,Sonora,64,7095,605,,,,,,
2020-06-14,Mexico,Sonora,65,7230,636,,,,,,
2020-06-15,Mexico,Sonora,66,7526,677,,,,,,
2020-06-16,Mexico,Sonora,67,7842,719,,,,,,
2020-06-17,Mexico,Sonora,68,8171,752,,,,,,
2020-06-18,Mexico,Sonora,69,8452,793,,,,,,
