date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-10,Mexico,State of Mexico,-10,11,0,,,,,,
2020-03-11,Mexico,State of Mexico,-9,13,0,,,,,,
2020-03-12,Mexico,State of Mexico,-8,16,0,,,,,,
2020-03-13,Mexico,State of Mexico,-7,27,0,,,,,,
2020-03-14,Mexico,State of Mexico,-6,31,0,,,,,,
2020-03-15,Mexico,State of Mexico,-5,41,0,,,,,,
2020-03-16,Mexico,State of Mexico,-4,48,0,,,,,,
2020-03-17,Mexico,State of Mexico,-3,55,0,,,,,,
2020-03-18,Mexico,State of Mexico,-2,62,1,,,,,,
2020-03-19,Mexico,State of Mexico,-1,87,1,,,,,,
2020-03-20,Mexico,State of Mexico,0,112,1,,,,,,
2020-03-21,Mexico,State of Mexico,1,121,1,,,,,,
2020-03-22,Mexico,State of Mexico,2,134,1,,,,,,
2020-03-23,Mexico,State of Mexico,3,158,1,,,,,,
2020-03-24,Mexico,State of Mexico,4,203,1,,,,,,
2020-03-25,Mexico,State of Mexico,5,238,1,,,,,,
2020-03-26,Mexico,State of Mexico,6,281,1,,,,,,
2020-03-27,Mexico,State of Mexico,7,334,1,,,,,,
2020-03-28,Mexico,State of Mexico,8,368,5,,,,,,
2020-03-29,Mexico,State of Mexico,9,392,7,,,,,,
2020-03-30,Mexico,State of Mexico,10,449,8,,,,,,
2020-03-31,Mexico,State of Mexico,11,487,10,,,,,,
2020-04-01,Mexico,State of Mexico,12,548,11,,,,,,
2020-04-02,Mexico,State of Mexico,13,604,16,,,,,,
2020-04-03,Mexico,State of Mexico,14,665,19,,,,,,
2020-04-04,Mexico,State of Mexico,15,700,24,,,,,,
2020-04-05,Mexico,State of Mexico,16,749,30,,,,,,
2020-04-06,Mexico,State of Mexico,17,850,34,,,,,,
2020-04-07,Mexico,State of Mexico,18,935,44,,,,,,
2020-04-08,Mexico,State of Mexico,19,1034,53,,,,,,
2020-04-09,Mexico,State of Mexico,20,1105,59,,,,,,
2020-04-10,Mexico,State of Mexico,21,1203,66,,,,,,
2020-04-11,Mexico,State of Mexico,22,1285,79,,,,,,
2020-04-12,Mexico,State of Mexico,23,1372,96,,,,,,
2020-04-13,Mexico,State of Mexico,24,1546,116,,,,,,
2020-04-14,Mexico,State of Mexico,25,1718,134,,,,,,
2020-04-15,Mexico,State of Mexico,26,1922,153,,,,,,
2020-04-16,Mexico,State of Mexico,27,2123,172,,,,,,
2020-04-17,Mexico,State of Mexico,28,2290,196,,,,,,
2020-04-18,Mexico,State of Mexico,29,2459,224,,,,,,
2020-04-19,Mexico,State of Mexico,30,2621,252,,,,,,
2020-04-20,Mexico,State of Mexico,31,2897,292,,,,,,
2020-04-21,Mexico,State of Mexico,32,3188,332,,,,,,
2020-04-22,Mexico,State of Mexico,33,3455,373,,,,,,
2020-04-23,Mexico,State of Mexico,34,3740,414,,,,,,
2020-04-24,Mexico,State of Mexico,35,4080,471,,,,,,
2020-04-25,Mexico,State of Mexico,36,4303,523,,,,,,
2020-04-26,Mexico,State of Mexico,37,4532,593,,,,,,
2020-04-27,Mexico,State of Mexico,38,4918,647,,,,,,
2020-04-28,Mexico,State of Mexico,39,5287,716,,,,,,
2020-04-29,Mexico,State of Mexico,40,5620,796,,,,,,
2020-04-30,Mexico,State of Mexico,41,5937,866,,,,,,
2020-05-01,Mexico,State of Mexico,42,6232,945,,,,,,
2020-05-02,Mexico,State of Mexico,43,6477,1013,,,,,,
2020-05-03,Mexico,State of Mexico,44,6741,1080,,,,,,
2020-05-04,Mexico,State of Mexico,45,7258,1176,,,,,,
2020-05-05,Mexico,State of Mexico,46,7631,1246,,,,,,
2020-05-06,Mexico,State of Mexico,47,8001,1310,,,,,,
2020-05-07,Mexico,State of Mexico,48,8466,1380,,,,,,
2020-05-08,Mexico,State of Mexico,49,8921,1449,,,,,,
2020-05-09,Mexico,State of Mexico,50,9201,1523,,,,,,
2020-05-10,Mexico,State of Mexico,51,9474,1591,,,,,,
2020-05-11,Mexico,State of Mexico,52,10096,1668,,,,,,
2020-05-12,Mexico,State of Mexico,53,10672,1743,,,,,,
2020-05-13,Mexico,State of Mexico,54,11266,1834,,,,,,
2020-05-14,Mexico,State of Mexico,55,11823,1917,,,,,,
2020-05-15,Mexico,State of Mexico,56,12461,2017,,,,,,
2020-05-16,Mexico,State of Mexico,57,12844,2110,,,,,,
2020-05-17,Mexico,State of Mexico,58,13179,2221,,,,,,
2020-05-18,Mexico,State of Mexico,59,13903,2319,,,,,,
2020-05-19,Mexico,State of Mexico,60,14508,2425,,,,,,
