date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-23,Mexico,Tabasco,-11,12,0,,,,,,
2020-03-24,Mexico,Tabasco,-10,24,0,,,,,,
2020-03-25,Mexico,Tabasco,-9,27,0,,,,,,
2020-03-26,Mexico,Tabasco,-8,32,0,,,,,,
2020-03-27,Mexico,Tabasco,-7,43,0,,,,,,
2020-03-28,Mexico,Tabasco,-6,44,0,,,,,,
2020-03-29,Mexico,Tabasco,-5,53,0,,,,,,
2020-03-30,Mexico,Tabasco,-4,63,0,,,,,,
2020-03-31,Mexico,Tabasco,-3,74,1,,,,,,
2020-04-01,Mexico,Tabasco,-2,83,4,,,,,,
2020-04-02,Mexico,Tabasco,-1,98,4,,,,,,
2020-04-03,Mexico,Tabasco,0,119,5,,,,,,
2020-04-04,Mexico,Tabasco,1,122,6,,,,,,
2020-04-05,Mexico,Tabasco,2,131,9,,,,,,
2020-04-06,Mexico,Tabasco,3,139,12,,,,,,
2020-04-07,Mexico,Tabasco,4,152,12,,,,,,
2020-04-08,Mexico,Tabasco,5,170,13,,,,,,
2020-04-09,Mexico,Tabasco,6,181,14,,,,,,
2020-04-10,Mexico,Tabasco,7,197,15,,,,,,
2020-04-11,Mexico,Tabasco,8,216,16,,,,,,
2020-04-12,Mexico,Tabasco,9,245,18,,,,,,
2020-04-13,Mexico,Tabasco,10,275,24,,,,,,
2020-04-14,Mexico,Tabasco,11,322,29,,,,,,
2020-04-15,Mexico,Tabasco,12,361,32,,,,,,
2020-04-16,Mexico,Tabasco,13,405,35,,,,,,
2020-04-17,Mexico,Tabasco,14,462,45,,,,,,
2020-04-18,Mexico,Tabasco,15,510,54,,,,,,
2020-04-19,Mexico,Tabasco,16,551,62,,,,,,
2020-04-20,Mexico,Tabasco,17,623,70,,,,,,
2020-04-21,Mexico,Tabasco,18,708,75,,,,,,
2020-04-22,Mexico,Tabasco,19,773,84,,,,,,
2020-04-23,Mexico,Tabasco,20,839,96,,,,,,
2020-04-24,Mexico,Tabasco,21,909,105,,,,,,
2020-04-25,Mexico,Tabasco,22,954,117,,,,,,
2020-04-26,Mexico,Tabasco,23,995,127,,,,,,
2020-04-27,Mexico,Tabasco,24,1054,133,,,,,,
2020-04-28,Mexico,Tabasco,25,1112,142,,,,,,
2020-04-29,Mexico,Tabasco,26,1162,152,,,,,,
2020-04-30,Mexico,Tabasco,27,1246,162,,,,,,
2020-05-01,Mexico,Tabasco,28,1302,182,,,,,,
2020-05-02,Mexico,Tabasco,29,1353,199,,,,,,
2020-05-03,Mexico,Tabasco,30,1400,213,,,,,,
2020-05-04,Mexico,Tabasco,31,1486,228,,,,,,
2020-05-05,Mexico,Tabasco,32,1558,236,,,,,,
2020-05-06,Mexico,Tabasco,33,1653,251,,,,,,
2020-05-07,Mexico,Tabasco,34,1758,262,,,,,,
2020-05-08,Mexico,Tabasco,35,1840,285,,,,,,
2020-05-09,Mexico,Tabasco,36,1893,300,,,,,,
2020-05-10,Mexico,Tabasco,37,1959,313,,,,,,
2020-05-11,Mexico,Tabasco,38,2076,329,,,,,,
2020-05-12,Mexico,Tabasco,39,2166,343,,,,,,
2020-05-13,Mexico,Tabasco,40,2283,358,,,,,,
2020-05-14,Mexico,Tabasco,41,2411,374,,,,,,
2020-05-15,Mexico,Tabasco,42,2559,400,,,,,,
2020-05-16,Mexico,Tabasco,43,2644,418,,,,,,
2020-05-17,Mexico,Tabasco,44,2726,436,,,,,,
2020-05-18,Mexico,Tabasco,45,2850,451,,,,,,
2020-05-19,Mexico,Tabasco,46,2958,469,,,,,,
2020-05-20,Mexico,Tabasco,47,3119,490,,,,,,
2020-05-21,Mexico,Tabasco,48,3262,511,,,,,,
2020-05-22,Mexico,Tabasco,49,3403,536,,,,,,
2020-05-23,Mexico,Tabasco,50,3501,558,,,,,,
2020-05-24,Mexico,Tabasco,51,3584,576,,,,,,
2020-05-25,Mexico,Tabasco,52,3759,589,,,,,,
2020-05-26,Mexico,Tabasco,53,3961,611,,,,,,
2020-05-27,Mexico,Tabasco,54,4188,632,,,,,,
2020-05-28,Mexico,Tabasco,55,4410,653,,,,,,
2020-05-29,Mexico,Tabasco,56,4582,671,,,,,,
