date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-19,Mexico,Veracruz,-20,14,0,,,,,,
2020-03-20,Mexico,Veracruz,-19,16,0,,,,,,
2020-03-21,Mexico,Veracruz,-18,17,0,,,,,,
2020-03-23,Mexico,Veracruz,-17,21,0,,,,,,
2020-03-24,Mexico,Veracruz,-16,24,0,,,,,,
2020-03-25,Mexico,Veracruz,-15,26,0,,,,,,
2020-03-26,Mexico,Veracruz,-14,31,0,,,,,,
2020-03-27,Mexico,Veracruz,-13,33,0,,,,,,
2020-03-28,Mexico,Veracruz,-12,34,1,,,,,,
2020-03-29,Mexico,Veracruz,-11,35,1,,,,,,
2020-03-30,Mexico,Veracruz,-10,39,1,,,,,,
2020-03-31,Mexico,Veracruz,-9,41,1,,,,,,
2020-04-01,Mexico,Veracruz,-8,50,2,,,,,,
2020-04-02,Mexico,Veracruz,-7,56,2,,,,,,
2020-04-03,Mexico,Veracruz,-6,64,3,,,,,,
2020-04-04,Mexico,Veracruz,-5,66,3,,,,,,
2020-04-05,Mexico,Veracruz,-4,68,3,,,,,,
2020-04-06,Mexico,Veracruz,-3,74,3,,,,,,
2020-04-07,Mexico,Veracruz,-2,85,3,,,,,,
2020-04-08,Mexico,Veracruz,-1,89,3,,,,,,
2020-04-09,Mexico,Veracruz,0,101,4,,,,,,
2020-04-10,Mexico,Veracruz,1,110,4,,,,,,
2020-04-11,Mexico,Veracruz,2,124,4,,,,,,
2020-04-12,Mexico,Veracruz,3,133,7,,,,,,
2020-04-13,Mexico,Veracruz,4,148,8,,,,,,
2020-04-14,Mexico,Veracruz,5,161,9,,,,,,
2020-04-15,Mexico,Veracruz,6,191,9,,,,,,
2020-04-16,Mexico,Veracruz,7,230,10,,,,,,
2020-04-17,Mexico,Veracruz,8,266,11,,,,,,
2020-04-18,Mexico,Veracruz,9,285,14,,,,,,
2020-04-19,Mexico,Veracruz,10,305,21,,,,,,
2020-04-20,Mexico,Veracruz,11,344,25,,,,,,
2020-04-21,Mexico,Veracruz,12,391,28,,,,,,
2020-04-22,Mexico,Veracruz,13,421,36,,,,,,
2020-04-23,Mexico,Veracruz,14,472,39,,,,,,
2020-04-24,Mexico,Veracruz,15,523,44,,,,,,
2020-04-25,Mexico,Veracruz,16,567,54,,,,,,
2020-04-26,Mexico,Veracruz,17,597,65,,,,,,
2020-04-27,Mexico,Veracruz,18,666,71,,,,,,
2020-04-28,Mexico,Veracruz,19,741,74,,,,,,
2020-04-29,Mexico,Veracruz,20,817,87,,,,,,
2020-04-30,Mexico,Veracruz,21,884,92,,,,,,
2020-05-01,Mexico,Veracruz,22,951,99,,,,,,
2020-05-02,Mexico,Veracruz,23,1016,117,,,,,,
2020-05-03,Mexico,Veracruz,24,1075,131,,,,,,
2020-05-04,Mexico,Veracruz,25,1169,143,,,,,,
2020-05-05,Mexico,Veracruz,26,1275,159,,,,,,
2020-05-06,Mexico,Veracruz,27,1384,177,,,,,,
2020-05-07,Mexico,Veracruz,28,1505,190,,,,,,
2020-05-08,Mexico,Veracruz,29,1613,211,,,,,,
2020-05-09,Mexico,Veracruz,30,1692,241,,,,,,
2020-05-10,Mexico,Veracruz,31,1762,265,,,,,,
2020-05-11,Mexico,Veracruz,32,1901,291,,,,,,
2020-05-12,Mexico,Veracruz,33,2028,318,,,,,,
2020-05-13,Mexico,Veracruz,34,2162,340,,,,,,
2020-05-14,Mexico,Veracruz,35,2332,378,,,,,,
2020-05-15,Mexico,Veracruz,36,2526,403,,,,,,
2020-05-16,Mexico,Veracruz,37,2661,424,,,,,,
2020-05-17,Mexico,Veracruz,38,2750,449,,,,,,
2020-05-18,Mexico,Veracruz,39,2918,485,,,,,,
2020-05-19,Mexico,Veracruz,40,3074,524,,,,,,
2020-05-20,Mexico,Veracruz,41,3257,561,,,,,,
2020-05-21,Mexico,Veracruz,42,3434,592,,,,,,
2020-05-22,Mexico,Veracruz,43,3611,629,,,,,,
2020-05-23,Mexico,Veracruz,44,3729,657,,,,,,
2020-05-24,Mexico,Veracruz,45,3836,689,,,,,,
2020-05-25,Mexico,Veracruz,46,4048,720,,,,,,
2020-05-26,Mexico,Veracruz,47,4245,756,,,,,,
2020-05-27,Mexico,Veracruz,48,4434,780,,,,,,
2020-05-28,Mexico,Veracruz,49,4613,811,,,,,,
2020-05-29,Mexico,Veracruz,50,4803,840,,,,,,
2020-05-30,Mexico,Veracruz,51,4940,881,,,,,,
2020-05-31,Mexico,Veracruz,52,5055,911,,,,,,
2020-06-01,Mexico,Veracruz,53,5294,949,,,,,,
2020-06-02,Mexico,Veracruz,54,5482,983,,,,,,
2020-06-03,Mexico,Veracruz,55,5679,1020,,,,,,
2020-06-04,Mexico,Veracruz,56,5913,1047,,,,,,
2020-06-05,Mexico,Veracruz,57,6123,1087,,,,,,
2020-06-06,Mexico,Veracruz,58,6238,1122,,,,,,
2020-06-07,Mexico,Veracruz,59,6340,1155,,,,,,
2020-06-08,Mexico,Veracruz,60,6558,1198,,,,,,
2020-06-09,Mexico,Veracruz,61,6782,1241,,,,,,
2020-06-10,Mexico,Veracruz,62,7018,1283,,,,,,
2020-06-11,Mexico,Veracruz,63,7231,1316,,,,,,
2020-06-12,Mexico,Veracruz,64,7426,1351,,,,,,
2020-06-13,Mexico,Veracruz,65,7565,1384,,,,,,
2020-06-14,Mexico,Veracruz,66,7704,1422,,,,,,
2020-06-15,Mexico,Veracruz,67,8049,1468,,,,,,
2020-06-16,Mexico,Veracruz,68,8358,1512,,,,,,
2020-06-17,Mexico,Veracruz,69,8611,1549,,,,,,
2020-06-18,Mexico,Veracruz,70,8878,1583,,,,,,
2020-06-19,Mexico,Veracruz,71,9160,1620,,,,,,
2020-06-20,Mexico,Veracruz,72,9327,1668,,,,,,
2020-06-21,Mexico,Veracruz,73,9468,1714,,,,,,
2020-06-22,Mexico,Veracruz,74,9841,1742,,,,,,
2020-06-23,Mexico,Veracruz,75,10143,1773,,,,,,
2020-06-24,Mexico,Veracruz,76,10441,1809,,,,,,
2020-06-25,Mexico,Veracruz,77,10759,1857,,,,,,
2020-06-26,Mexico,Veracruz,78,11084,1896,,,,,,
2020-06-27,Mexico,Veracruz,79,11249,1940,,,,,,
2020-06-28,Mexico,Veracruz,80,11412,1981,,,,,,
2020-06-29,Mexico,Veracruz,81,11771,2030,,,,,,
2020-06-30,Mexico,Veracruz,82,12156,2072,,,,,,
