date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-02,Mexico,Zacatecas,-24,11,1,,,,,,
2020-04-04,Mexico,Zacatecas,-23,12,2,,,,,,
2020-04-05,Mexico,Zacatecas,-22,13,2,,,,,,
2020-04-06,Mexico,Zacatecas,-21,14,2,,,,,,
2020-04-08,Mexico,Zacatecas,-20,16,2,,,,,,
2020-04-09,Mexico,Zacatecas,-19,18,2,,,,,,
2020-04-11,Mexico,Zacatecas,-18,20,2,,,,,,
2020-04-12,Mexico,Zacatecas,-17,21,2,,,,,,
2020-04-14,Mexico,Zacatecas,-16,22,2,,,,,,
2020-04-15,Mexico,Zacatecas,-15,28,2,,,,,,
2020-04-16,Mexico,Zacatecas,-14,32,2,,,,,,
2020-04-17,Mexico,Zacatecas,-13,34,2,,,,,,
2020-04-18,Mexico,Zacatecas,-12,41,2,,,,,,
2020-04-19,Mexico,Zacatecas,-11,42,3,,,,,,
2020-04-20,Mexico,Zacatecas,-10,51,3,,,,,,
2020-04-21,Mexico,Zacatecas,-9,53,3,,,,,,
2020-04-22,Mexico,Zacatecas,-8,55,3,,,,,,
2020-04-23,Mexico,Zacatecas,-7,63,4,,,,,,
2020-04-24,Mexico,Zacatecas,-6,68,4,,,,,,
2020-04-25,Mexico,Zacatecas,-5,72,4,,,,,,
2020-04-26,Mexico,Zacatecas,-4,75,5,,,,,,
2020-04-27,Mexico,Zacatecas,-3,79,6,,,,,,
2020-04-28,Mexico,Zacatecas,-2,89,7,,,,,,
2020-04-29,Mexico,Zacatecas,-1,98,8,,,,,,
2020-04-30,Mexico,Zacatecas,0,102,9,,,,,,
2020-05-01,Mexico,Zacatecas,1,109,10,,,,,,
2020-05-02,Mexico,Zacatecas,2,116,13,,,,,,
2020-05-03,Mexico,Zacatecas,3,118,16,,,,,,
2020-05-04,Mexico,Zacatecas,4,125,17,,,,,,
2020-05-05,Mexico,Zacatecas,5,130,18,,,,,,
2020-05-06,Mexico,Zacatecas,6,141,18,,,,,,
2020-05-07,Mexico,Zacatecas,7,150,18,,,,,,
2020-05-08,Mexico,Zacatecas,8,159,18,,,,,,
2020-05-09,Mexico,Zacatecas,9,163,19,,,,,,
2020-05-10,Mexico,Zacatecas,10,165,20,,,,,,
2020-05-11,Mexico,Zacatecas,11,176,20,,,,,,
2020-05-12,Mexico,Zacatecas,12,179,21,,,,,,
2020-05-13,Mexico,Zacatecas,13,191,22,,,,,,
2020-05-14,Mexico,Zacatecas,14,209,23,,,,,,
2020-05-15,Mexico,Zacatecas,15,217,25,,,,,,
2020-05-16,Mexico,Zacatecas,16,220,25,,,,,,
2020-05-17,Mexico,Zacatecas,17,223,26,,,,,,
2020-05-18,Mexico,Zacatecas,18,229,26,,,,,,
2020-05-19,Mexico,Zacatecas,19,229,28,,,,,,
2020-05-20,Mexico,Zacatecas,20,245,28,,,,,,
2020-05-21,Mexico,Zacatecas,21,252,28,,,,,,
2020-05-22,Mexico,Zacatecas,22,261,29,,,,,,
2020-05-23,Mexico,Zacatecas,23,272,30,,,,,,
2020-05-24,Mexico,Zacatecas,24,278,30,,,,,,
2020-05-25,Mexico,Zacatecas,25,289,31,,,,,,
2020-05-26,Mexico,Zacatecas,26,301,32,,,,,,
2020-05-27,Mexico,Zacatecas,27,305,33,,,,,,
2020-05-28,Mexico,Zacatecas,28,312,34,,,,,,
2020-05-29,Mexico,Zacatecas,29,327,35,,,,,,
2020-05-30,Mexico,Zacatecas,30,334,36,,,,,,
2020-05-31,Mexico,Zacatecas,31,339,37,,,,,,
2020-06-01,Mexico,Zacatecas,32,355,38,,,,,,
2020-06-02,Mexico,Zacatecas,33,368,41,,,,,,
2020-06-03,Mexico,Zacatecas,34,384,43,,,,,,
2020-06-04,Mexico,Zacatecas,35,402,45,,,,,,
2020-06-05,Mexico,Zacatecas,36,419,47,,,,,,
2020-06-06,Mexico,Zacatecas,37,433,48,,,,,,
2020-06-07,Mexico,Zacatecas,38,445,51,,,,,,
2020-06-08,Mexico,Zacatecas,39,465,56,,,,,,
2020-06-09,Mexico,Zacatecas,40,495,58,,,,,,
2020-06-10,Mexico,Zacatecas,41,533,60,,,,,,
2020-06-11,Mexico,Zacatecas,42,553,62,,,,,,
2020-06-12,Mexico,Zacatecas,43,578,63,,,,,,
2020-06-13,Mexico,Zacatecas,44,597,63,,,,,,
2020-06-14,Mexico,Zacatecas,45,606,67,,,,,,
2020-06-15,Mexico,Zacatecas,46,643,70,,,,,,
2020-06-16,Mexico,Zacatecas,47,677,72,,,,,,
2020-06-17,Mexico,Zacatecas,48,697,77,,,,,,
2020-06-18,Mexico,Zacatecas,49,720,83,,,,,,
2020-06-19,Mexico,Zacatecas,50,746,84,,,,,,
2020-06-20,Mexico,Zacatecas,51,757,86,,,,,,
2020-06-21,Mexico,Zacatecas,52,766,88,,,,,,
