date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-12,Peru,Arequipa,0,111,7,,,,,,
2020-04-13,Peru,Arequipa,1,123,9,,,,,,
2020-04-14,Peru,Arequipa,2,136,9,,,,,,
2020-04-15,Peru,Arequipa,3,163,10,,,,,,
2020-04-16,Peru,Arequipa,4,204,11,,,,,,
2020-04-17,Peru,Arequipa,5,216,11,,,,,,
2020-04-18,Peru,Arequipa,6,249,11,,,,,,
2020-04-19,Peru,Arequipa,7,252,14,,,,,,
2020-04-20,Peru,Arequipa,8,280,15,,,,,,
2020-04-21,Peru,Arequipa,9,308,15,,,,,,
2020-04-22,Peru,Arequipa,10,351,15,,,,,,
2020-04-23,Peru,Arequipa,11,407,16,,,,,,
2020-04-24,Peru,Arequipa,12,473,16,,,,,,
2020-04-25,Peru,Arequipa,13,497,18,,,,,,
2020-04-26,Peru,Arequipa,14,501,18,,,,,,
2020-04-27,Peru,Arequipa,15,577,18,,,,,,
2020-04-28,Peru,Arequipa,16,653,18,,,,,,
2020-04-29,Peru,Arequipa,17,764,18,,,,,,
2020-04-30,Peru,Arequipa,18,833,18,,,,,,
2020-05-01,Peru,Arequipa,19,871,19,,,,,,
2020-05-02,Peru,Arequipa,20,902,20,,,,,,
2020-05-03,Peru,Arequipa,21,909,20,,,,,,
2020-05-04,Peru,Arequipa,22,969,20,,,,,,
2020-05-05,Peru,Arequipa,23,1026,20,,,,,,
2020-05-06,Peru,Arequipa,24,1082,20,,,,,,
2020-05-07,Peru,Arequipa,25,1129,23,,,,,,
2020-05-08,Peru,Arequipa,26,1168,23,,,,,,
2020-05-09,Peru,Arequipa,27,1227,23,,,,,,
2020-05-10,Peru,Arequipa,28,1252,24,,,,,,
2020-05-11,Peru,Arequipa,29,1303,25,,,,,,
2020-05-12,Peru,Arequipa,30,1407,25,,,,,,
2020-05-13,Peru,Arequipa,31,1519,25,,,,,,
2020-05-14,Peru,Arequipa,32,1640,25,,,,,,
2020-05-15,Peru,Arequipa,33,1736,25,,,,,,
2020-05-16,Peru,Arequipa,34,1821,26,,,,,,
2020-05-17,Peru,Arequipa,35,1829,26,,,,,,
2020-05-18,Peru,Arequipa,36,1915,30,,,,,,
2020-05-19,Peru,Arequipa,37,2037,32,,,,,,
2020-05-20,Peru,Arequipa,38,2193,33,,,,,,
2020-05-21,Peru,Arequipa,39,2337,34,,,,,,
2020-05-22,Peru,Arequipa,40,2534,36,,,,,,
