date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-10,Peru,Ayacucho,-16,12,0,,,,,,
2020-04-13,Peru,Ayacucho,-15,17,0,,,,,,
2020-04-14,Peru,Ayacucho,-14,22,0,,,,,,
2020-04-15,Peru,Ayacucho,-13,26,0,,,,,,
2020-04-16,Peru,Ayacucho,-12,27,0,,,,,,
2020-04-17,Peru,Ayacucho,-11,31,0,,,,,,
2020-04-19,Peru,Ayacucho,-10,34,0,,,,,,
2020-04-20,Peru,Ayacucho,-9,37,0,,,,,,
2020-04-21,Peru,Ayacucho,-8,38,0,,,,,,
2020-04-22,Peru,Ayacucho,-7,40,0,,,,,,
2020-04-23,Peru,Ayacucho,-6,42,0,,,,,,
2020-04-24,Peru,Ayacucho,-5,47,0,,,,,,
2020-04-25,Peru,Ayacucho,-4,54,0,,,,,,
2020-04-26,Peru,Ayacucho,-3,67,0,,,,,,
2020-04-27,Peru,Ayacucho,-2,85,0,,,,,,
2020-04-28,Peru,Ayacucho,-1,98,0,,,,,,
2020-04-29,Peru,Ayacucho,0,130,0,,,,,,
2020-04-30,Peru,Ayacucho,1,151,0,,,,,,
2020-05-01,Peru,Ayacucho,2,177,0,,,,,,
2020-05-02,Peru,Ayacucho,3,197,0,,,,,,
2020-05-03,Peru,Ayacucho,4,202,2,,,,,,
2020-05-04,Peru,Ayacucho,5,229,4,,,,,,
2020-05-05,Peru,Ayacucho,6,247,4,,,,,,
2020-05-06,Peru,Ayacucho,7,270,4,,,,,,
2020-05-07,Peru,Ayacucho,8,285,5,,,,,,
2020-05-08,Peru,Ayacucho,9,310,5,,,,,,
2020-05-09,Peru,Ayacucho,10,321,6,,,,,,
2020-05-10,Peru,Ayacucho,11,323,6,,,,,,
2020-05-11,Peru,Ayacucho,12,338,6,,,,,,
2020-05-12,Peru,Ayacucho,13,357,6,,,,,,
2020-05-13,Peru,Ayacucho,14,377,6,,,,,,
2020-05-14,Peru,Ayacucho,15,390,7,,,,,,
2020-05-15,Peru,Ayacucho,16,440,8,,,,,,
2020-05-16,Peru,Ayacucho,17,480,9,,,,,,
2020-05-17,Peru,Ayacucho,18,489,10,,,,,,
2020-05-18,Peru,Ayacucho,19,504,11,,,,,,
2020-05-19,Peru,Ayacucho,20,521,13,,,,,,
2020-05-20,Peru,Ayacucho,21,538,15,,,,,,
2020-05-21,Peru,Ayacucho,22,560,15,,,,,,
2020-05-22,Peru,Ayacucho,23,601,15,,,,,,
2020-05-23,Peru,Ayacucho,24,637,15,,,,,,
2020-05-24,Peru,Ayacucho,25,643,16,,,,,,
2020-05-25,Peru,Ayacucho,26,670,17,,,,,,
2020-05-26,Peru,Ayacucho,27,694,17,,,,,,
2020-05-27,Peru,Ayacucho,28,747,18,,,,,,
2020-05-28,Peru,Ayacucho,29,777,18,,,,,,
2020-05-29,Peru,Ayacucho,30,794,20,,,,,,
2020-05-30,Peru,Ayacucho,31,845,21,,,,,,
2020-05-31,Peru,Ayacucho,32,849,23,,,,,,
2020-06-01,Peru,Ayacucho,33,882,25,,,,,,
2020-06-02,Peru,Ayacucho,34,909,25,,,,,,
2020-06-03,Peru,Ayacucho,35,927,26,,,,,,
2020-06-04,Peru,Ayacucho,36,967,27,,,,,,
2020-06-05,Peru,Ayacucho,37,985,27,,,,,,
2020-06-06,Peru,Ayacucho,38,1014,27,,,,,,
2020-06-07,Peru,Ayacucho,39,1024,27,,,,,,
2020-06-08,Peru,Ayacucho,40,1065,28,,,,,,
2020-06-09,Peru,Ayacucho,41,1097,31,,,,,,
2020-06-10,Peru,Ayacucho,42,1117,35,,,,,,
2020-06-11,Peru,Ayacucho,43,1155,35,,,,,,
2020-06-12,Peru,Ayacucho,44,1192,37,,,,,,
2020-06-13,Peru,Ayacucho,45,1252,40,,,,,,
2020-06-14,Peru,Ayacucho,46,1260,42,,,,,,
2020-06-15,Peru,Ayacucho,47,1320,43,,,,,,
2020-06-16,Peru,Ayacucho,48,1348,45,,,,,,
2020-06-17,Peru,Ayacucho,49,1389,47,,,,,,
2020-06-18,Peru,Ayacucho,50,1431,49,,,,,,
2020-06-19,Peru,Ayacucho,51,1508,50,,,,,,
2020-06-20,Peru,Ayacucho,52,1529,51,,,,,,
2020-06-21,Peru,Ayacucho,53,1541,57,,,,,,
2020-06-22,Peru,Ayacucho,54,1575,58,,,,,,
2020-06-23,Peru,Ayacucho,55,1620,59,,,,,,
2020-06-24,Peru,Ayacucho,56,1667,60,,,,,,
2020-06-25,Peru,Ayacucho,57,1696,61,,,,,,
2020-06-26,Peru,Ayacucho,58,1726,64,,,,,,
2020-06-27,Peru,Ayacucho,59,1753,66,,,,,,
2020-06-28,Peru,Ayacucho,60,1764,69,,,,,,
2020-06-29,Peru,Ayacucho,61,1796,71,,,,,,
2020-06-30,Peru,Ayacucho,62,1839,73,,,,,,
2020-07-01,Peru,Ayacucho,63,1871,74,,,,,,
2020-07-02,Peru,Ayacucho,64,1919,75,,,,,,
2020-07-03,Peru,Ayacucho,65,1944,78,,,,,,
2020-07-04,Peru,Ayacucho,66,1992,80,,,,,,
2020-07-05,Peru,Ayacucho,67,2006,82,,,,,,
2020-07-06,Peru,Ayacucho,68,2054,85,,,,,,
2020-07-07,Peru,Ayacucho,69,2097,89,,,,,,
2020-07-08,Peru,Ayacucho,70,2155,90,,,,,,
2020-07-09,Peru,Ayacucho,71,2188,93,,,,,,
2020-07-10,Peru,Ayacucho,72,2259,94,,,,,,
2020-07-11,Peru,Ayacucho,73,2309,99,,,,,,
2020-07-12,Peru,Ayacucho,74,2332,106,,,,,,
2020-07-13,Peru,Ayacucho,75,2371,108,,,,,,
2020-07-14,Peru,Ayacucho,76,2450,113,,,,,,
2020-07-15,Peru,Ayacucho,77,2525,117,,,,,,
2020-07-16,Peru,Ayacucho,78,2615,125,,,,,,
2020-07-17,Peru,Ayacucho,79,2730,126,,,,,,
2020-07-18,Peru,Ayacucho,80,2836,130,,,,,,
2020-07-19,Peru,Ayacucho,81,2861,134,,,,,,
