date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-11,Peru,Huancavelica,-18,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-12,Peru,Huancavelica,-17,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-13,Peru,Huancavelica,-16,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-14,Peru,Huancavelica,-15,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-15,Peru,Huancavelica,-14,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-16,Peru,Huancavelica,-13,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-17,Peru,Huancavelica,-12,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-18,Peru,Huancavelica,-11,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-19,Peru,Huancavelica,-10,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-20,Peru,Huancavelica,-9,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-21,Peru,Huancavelica,-8,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,Peru,Huancavelica,-7,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,Peru,Huancavelica,-6,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,Peru,Huancavelica,-5,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,Peru,Huancavelica,-4,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,Peru,Huancavelica,-3,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,Peru,Huancavelica,-2,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,Peru,Huancavelica,-1,98.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,Peru,Huancavelica,0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,Peru,Huancavelica,1,134.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,Peru,Huancavelica,2,202.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-02,Peru,Huancavelica,3,264.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-03,Peru,Huancavelica,4,289.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-04,Peru,Huancavelica,5,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-05,Peru,Huancavelica,6,336.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-06,Peru,Huancavelica,7,339.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-07,Peru,Huancavelica,8,344.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-08,Peru,Huancavelica,9,358.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-09,Peru,Huancavelica,10,362.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-10,Peru,Huancavelica,11,363.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11,Peru,Huancavelica,12,365.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
