date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-28,Peru,La Libertad,-11,12,2,,,,,,
2020-03-29,Peru,La Libertad,-10,14,2,,,,,,
2020-03-30,Peru,La Libertad,-9,18,2,,,,,,
2020-03-31,Peru,La Libertad,-8,29,3,,,,,,
2020-04-01,Peru,La Libertad,-7,36,3,,,,,,
2020-04-02,Peru,La Libertad,-6,43,4,,,,,,
2020-04-03,Peru,La Libertad,-5,48,4,,,,,,
2020-04-04,Peru,La Libertad,-4,49,5,,,,,,
2020-04-05,Peru,La Libertad,-3,56,5,,,,,,
2020-04-06,Peru,La Libertad,-2,60,7,,,,,,
2020-04-07,Peru,La Libertad,-1,82,7,,,,,,
2020-04-08,Peru,La Libertad,0,104,8,,,,,,
2020-04-09,Peru,La Libertad,1,111,8,,,,,,
2020-04-10,Peru,La Libertad,2,116,8,,,,,,
2020-04-11,Peru,La Libertad,3,125,8,,,,,,
2020-04-12,Peru,La Libertad,4,128,11,,,,,,
2020-04-13,Peru,La Libertad,5,151,12,,,,,,
2020-04-14,Peru,La Libertad,6,176,15,,,,,,
2020-04-15,Peru,La Libertad,7,203,18,,,,,,
2020-04-16,Peru,La Libertad,8,228,18,,,,,,
2020-04-17,Peru,La Libertad,9,254,19,,,,,,
2020-04-18,Peru,La Libertad,10,281,20,,,,,,
2020-04-19,Peru,La Libertad,11,291,23,,,,,,
2020-04-20,Peru,La Libertad,12,344,25,,,,,,
2020-04-21,Peru,La Libertad,13,389,25,,,,,,
2020-04-22,Peru,La Libertad,14,435,27,,,,,,
2020-04-23,Peru,La Libertad,15,475,31,,,,,,
2020-04-24,Peru,La Libertad,16,497,32,,,,,,
2020-04-25,Peru,La Libertad,17,550,32,,,,,,
2020-04-26,Peru,La Libertad,18,558,39,,,,,,
2020-04-27,Peru,La Libertad,19,629,42,,,,,,
2020-04-28,Peru,La Libertad,20,806,49,,,,,,
2020-04-29,Peru,La Libertad,21,948,52,,,,,,
