date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-13,Peru,Moquegua,-12,12,0,,,,,,
2020-04-14,Peru,Moquegua,-11,18,0,,,,,,
2020-04-15,Peru,Moquegua,-10,22,0,,,,,,
2020-04-16,Peru,Moquegua,-9,27,0,,,,,,
2020-04-17,Peru,Moquegua,-8,32,0,,,,,,
2020-04-19,Peru,Moquegua,-7,33,0,,,,,,
2020-04-20,Peru,Moquegua,-6,42,0,,,,,,
2020-04-21,Peru,Moquegua,-5,50,0,,,,,,
2020-04-22,Peru,Moquegua,-4,54,0,,,,,,
2020-04-23,Peru,Moquegua,-3,61,0,,,,,,
2020-04-24,Peru,Moquegua,-2,77,0,,,,,,
2020-04-25,Peru,Moquegua,-1,96,0,,,,,,
2020-04-26,Peru,Moquegua,0,102,0,,,,,,
2020-04-27,Peru,Moquegua,1,105,0,,,,,,
2020-04-28,Peru,Moquegua,2,117,1,,,,,,
2020-04-29,Peru,Moquegua,3,140,1,,,,,,
2020-04-30,Peru,Moquegua,4,150,1,,,,,,
2020-05-01,Peru,Moquegua,5,162,1,,,,,,
2020-05-02,Peru,Moquegua,6,168,1,,,,,,
2020-05-04,Peru,Moquegua,7,184,1,,,,,,
2020-05-05,Peru,Moquegua,8,198,1,,,,,,
2020-05-06,Peru,Moquegua,9,203,1,,,,,,
2020-05-07,Peru,Moquegua,10,207,1,,,,,,
2020-05-08,Peru,Moquegua,11,232,1,,,,,,
2020-05-09,Peru,Moquegua,12,234,1,,,,,,
2020-05-11,Peru,Moquegua,13,239,1,,,,,,
2020-05-12,Peru,Moquegua,14,241,1,,,,,,
2020-05-13,Peru,Moquegua,15,253,1,,,,,,
2020-05-14,Peru,Moquegua,16,262,1,,,,,,
2020-05-15,Peru,Moquegua,17,263,2,,,,,,
2020-05-16,Peru,Moquegua,18,276,2,,,,,,
2020-05-17,Peru,Moquegua,19,277,2,,,,,,
2020-05-18,Peru,Moquegua,20,288,3,,,,,,
2020-05-19,Peru,Moquegua,21,333,3,,,,,,
2020-05-20,Peru,Moquegua,22,397,3,,,,,,
2020-05-21,Peru,Moquegua,23,446,4,,,,,,
2020-05-22,Peru,Moquegua,24,506,4,,,,,,
2020-05-23,Peru,Moquegua,25,542,4,,,,,,
2020-05-24,Peru,Moquegua,26,560,4,,,,,,
2020-05-25,Peru,Moquegua,27,592,5,,,,,,
2020-05-26,Peru,Moquegua,28,619,5,,,,,,
2020-05-27,Peru,Moquegua,29,658,5,,,,,,
2020-05-28,Peru,Moquegua,30,675,5,,,,,,
2020-05-29,Peru,Moquegua,31,691,6,,,,,,
2020-05-30,Peru,Moquegua,32,702,6,,,,,,
2020-05-31,Peru,Moquegua,33,703,6,,,,,,
2020-06-01,Peru,Moquegua,34,711,6,,,,,,
2020-06-02,Peru,Moquegua,35,721,6,,,,,,
2020-06-03,Peru,Moquegua,36,735,6,,,,,,
2020-06-04,Peru,Moquegua,37,757,6,,,,,,
2020-06-05,Peru,Moquegua,38,762,6,,,,,,
2020-06-06,Peru,Moquegua,39,764,7,,,,,,
2020-06-07,Peru,Moquegua,40,766,9,,,,,,
2020-06-08,Peru,Moquegua,41,773,9,,,,,,
2020-06-09,Peru,Moquegua,42,777,10,,,,,,
2020-06-10,Peru,Moquegua,43,782,10,,,,,,
2020-06-11,Peru,Moquegua,44,807,11,,,,,,
2020-06-12,Peru,Moquegua,45,816,11,,,,,,
2020-06-13,Peru,Moquegua,46,829,11,,,,,,
2020-06-14,Peru,Moquegua,47,832,12,,,,,,
2020-06-15,Peru,Moquegua,48,846,12,,,,,,
2020-06-16,Peru,Moquegua,49,850,12,,,,,,
2020-06-17,Peru,Moquegua,50,852,14,,,,,,
2020-06-18,Peru,Moquegua,51,857,15,,,,,,
2020-06-19,Peru,Moquegua,52,864,15,,,,,,
2020-06-20,Peru,Moquegua,53,875,16,,,,,,
2020-06-21,Peru,Moquegua,54,879,16,,,,,,
2020-06-22,Peru,Moquegua,55,883,16,,,,,,
2020-06-23,Peru,Moquegua,56,894,18,,,,,,
2020-06-24,Peru,Moquegua,57,916,21,,,,,,
2020-06-25,Peru,Moquegua,58,928,21,,,,,,
2020-06-26,Peru,Moquegua,59,943,21,,,,,,
2020-06-27,Peru,Moquegua,60,955,23,,,,,,
2020-06-28,Peru,Moquegua,61,961,23,,,,,,
2020-06-29,Peru,Moquegua,62,967,27,,,,,,
