date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-20,Peru,Piura,-14,17,0,,,,,,
2020-03-21,Peru,Piura,-13,18,1,,,,,,
2020-03-25,Peru,Piura,-12,19,1,,,,,,
2020-03-28,Peru,Piura,-11,20,1,,,,,,
2020-03-29,Peru,Piura,-10,20,2,,,,,,
2020-03-31,Peru,Piura,-9,25,2,,,,,,
2020-04-01,Peru,Piura,-8,29,2,,,,,,
2020-04-02,Peru,Piura,-7,30,3,,,,,,
2020-04-03,Peru,Piura,-6,32,4,,,,,,
2020-04-04,Peru,Piura,-5,37,7,,,,,,
2020-04-05,Peru,Piura,-4,38,7,,,,,,
2020-04-06,Peru,Piura,-3,46,9,,,,,,
2020-04-07,Peru,Piura,-2,57,11,,,,,,
2020-04-08,Peru,Piura,-1,78,13,,,,,,
2020-04-09,Peru,Piura,0,118,14,,,,,,
2020-04-10,Peru,Piura,1,154,20,,,,,,
2020-04-11,Peru,Piura,2,203,23,,,,,,
2020-04-12,Peru,Piura,3,235,27,,,,,,
2020-04-13,Peru,Piura,4,266,33,,,,,,
2020-04-14,Peru,Piura,5,321,39,,,,,,
2020-04-15,Peru,Piura,6,398,45,,,,,,
2020-04-16,Peru,Piura,7,450,52,,,,,,
2020-04-17,Peru,Piura,8,499,58,,,,,,
2020-04-18,Peru,Piura,9,541,64,,,,,,
2020-04-19,Peru,Piura,10,553,72,,,,,,
2020-04-20,Peru,Piura,11,607,79,,,,,,
2020-04-21,Peru,Piura,12,657,88,,,,,,
2020-04-22,Peru,Piura,13,729,92,,,,,,
2020-04-23,Peru,Piura,14,832,99,,,,,,
2020-04-24,Peru,Piura,15,984,111,,,,,,
2020-04-25,Peru,Piura,16,1142,118,,,,,,
2020-04-26,Peru,Piura,17,1222,131,,,,,,
2020-04-27,Peru,Piura,18,1459,144,,,,,,
2020-04-28,Peru,Piura,19,1602,158,,,,,,
2020-04-29,Peru,Piura,20,1755,177,,,,,,
2020-04-30,Peru,Piura,21,1935,192,,,,,,
2020-05-01,Peru,Piura,22,2077,205,,,,,,
2020-05-02,Peru,Piura,23,2279,223,,,,,,
2020-05-03,Peru,Piura,24,2365,245,,,,,,
2020-05-04,Peru,Piura,25,2588,261,,,,,,
2020-05-05,Peru,Piura,26,2835,279,,,,,,
2020-05-06,Peru,Piura,27,3048,305,,,,,,
2020-05-07,Peru,Piura,28,3204,321,,,,,,
2020-05-08,Peru,Piura,29,3349,349,,,,,,
2020-05-09,Peru,Piura,30,3440,367,,,,,,
2020-05-10,Peru,Piura,31,3478,393,,,,,,
2020-05-11,Peru,Piura,32,3642,419,,,,,,
2020-05-12,Peru,Piura,33,3777,431,,,,,,
2020-05-13,Peru,Piura,34,3892,455,,,,,,
2020-05-14,Peru,Piura,35,4027,473,,,,,,
2020-05-15,Peru,Piura,36,4129,493,,,,,,
2020-05-16,Peru,Piura,37,4187,507,,,,,,
2020-05-17,Peru,Piura,38,4237,519,,,,,,
2020-05-18,Peru,Piura,39,4440,538,,,,,,
2020-05-19,Peru,Piura,40,4780,553,,,,,,
2020-05-20,Peru,Piura,41,5247,573,,,,,,
2020-05-21,Peru,Piura,42,5681,588,,,,,,
2020-05-22,Peru,Piura,43,6162,605,,,,,,
2020-05-23,Peru,Piura,44,6702,624,,,,,,
2020-05-24,Peru,Piura,45,6901,647,,,,,,
2020-05-25,Peru,Piura,46,7384,665,,,,,,
2020-05-26,Peru,Piura,47,7803,679,,,,,,
2020-05-27,Peru,Piura,48,8261,711,,,,,,
2020-05-28,Peru,Piura,49,8636,730,,,,,,
2020-05-29,Peru,Piura,50,8929,750,,,,,,
2020-05-30,Peru,Piura,51,9145,779,,,,,,
2020-05-31,Peru,Piura,52,9170,802,,,,,,
2020-06-01,Peru,Piura,53,9675,823,,,,,,
2020-06-02,Peru,Piura,54,10022,848,,,,,,
2020-06-03,Peru,Piura,55,10298,876,,,,,,
2020-06-04,Peru,Piura,56,10792,898,,,,,,
2020-06-05,Peru,Piura,57,11262,922,,,,,,
2020-06-06,Peru,Piura,58,11707,952,,,,,,
2020-06-07,Peru,Piura,59,11781,981,,,,,,
2020-06-08,Peru,Piura,60,12126,1011,,,,,,
2020-06-09,Peru,Piura,61,12596,1032,,,,,,
