date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-08,Philippines,Calabarzon,-1,34,0,,,,,,
2020-03-09,Philippines,Calabarzon,0,139,0,,,,,,
2020-03-10,Philippines,Calabarzon,1,141,0,,,,,,
2020-03-11,Philippines,Calabarzon,2,147,1,,,,,,
2020-03-12,Philippines,Calabarzon,3,154,2,,,,,,
2020-03-13,Philippines,Calabarzon,4,162,3,,,,,,
2020-03-14,Philippines,Calabarzon,5,178,4,,,,,,
2020-03-15,Philippines,Calabarzon,6,187,5,,,,,,
2020-03-16,Philippines,Calabarzon,7,195,6,,,,,,
2020-03-17,Philippines,Calabarzon,8,211,8,,,,,,
2020-03-18,Philippines,Calabarzon,9,232,8,,,,,,
2020-03-19,Philippines,Calabarzon,10,257,8,,,,,,
2020-03-20,Philippines,Calabarzon,11,278,10,,,,,,
2020-03-21,Philippines,Calabarzon,12,289,11,,,,,,
2020-03-22,Philippines,Calabarzon,13,303,12,,,,,,
2020-03-23,Philippines,Calabarzon,14,324,18,,,,,,
2020-03-24,Philippines,Calabarzon,15,345,20,,,,,,
2020-03-25,Philippines,Calabarzon,16,359,24,,,,,,
2020-03-26,Philippines,Calabarzon,17,398,27,,,,,,
2020-03-27,Philippines,Calabarzon,18,434,30,,,,,,
2020-03-28,Philippines,Calabarzon,19,460,33,,,,,,
2020-03-29,Philippines,Calabarzon,20,479,37,,,,,,
2020-03-30,Philippines,Calabarzon,21,507,43,,,,,,
2020-03-31,Philippines,Calabarzon,22,533,48,,,,,,
2020-04-01,Philippines,Calabarzon,23,569,52,,,,,,
2020-04-02,Philippines,Calabarzon,24,651,57,,,,,,
2020-04-03,Philippines,Calabarzon,25,679,61,,,,,,
2020-04-04,Philippines,Calabarzon,26,709,70,,,,,,
2020-04-05,Philippines,Calabarzon,27,726,78,,,,,,
2020-04-06,Philippines,Calabarzon,28,772,80,,,,,,
2020-04-07,Philippines,Calabarzon,29,834,83,,,,,,
2020-04-08,Philippines,Calabarzon,30,937,86,,,,,,
2020-04-09,Philippines,Calabarzon,31,1093,90,,,,,,
2020-04-10,Philippines,Calabarzon,32,1135,93,,,,,,
2020-04-11,Philippines,Calabarzon,33,1182,96,,,,,,
2020-04-12,Philippines,Calabarzon,34,1229,99,,,,,,
2020-04-13,Philippines,Calabarzon,35,1266,101,,,,,,
2020-04-14,Philippines,Calabarzon,36,1292,101,,,,,,
2020-04-15,Philippines,Calabarzon,37,1330,103,,,,,,
2020-04-16,Philippines,Calabarzon,38,1362,105,,,,,,
2020-04-17,Philippines,Calabarzon,39,1417,109,,,,,,
2020-04-18,Philippines,Calabarzon,40,1426,111,,,,,,
2020-04-19,Philippines,Calabarzon,41,1433,113,,,,,,
2020-04-20,Philippines,Calabarzon,42,1448,115,,,,,,
2020-04-21,Philippines,Calabarzon,43,1456,115,,,,,,
2020-04-22,Philippines,Calabarzon,44,1476,117,,,,,,
2020-04-23,Philippines,Calabarzon,45,1486,120,,,,,,
2020-04-24,Philippines,Calabarzon,46,1502,121,,,,,,
2020-04-25,Philippines,Calabarzon,47,1514,122,,,,,,
2020-04-26,Philippines,Calabarzon,48,1518,123,,,,,,
2020-04-27,Philippines,Calabarzon,49,1535,124,,,,,,
2020-04-28,Philippines,Calabarzon,50,1545,126,,,,,,
2020-04-29,Philippines,Calabarzon,51,1573,126,,,,,,
2020-04-30,Philippines,Calabarzon,52,1583,127,,,,,,
2020-05-01,Philippines,Calabarzon,53,1599,127,,,,,,
2020-05-02,Philippines,Calabarzon,54,1606,127,,,,,,
2020-05-03,Philippines,Calabarzon,55,1616,129,,,,,,
2020-05-04,Philippines,Calabarzon,56,1624,131,,,,,,
2020-05-05,Philippines,Calabarzon,57,1634,131,,,,,,
2020-05-06,Philippines,Calabarzon,58,1650,134,,,,,,
2020-05-07,Philippines,Calabarzon,59,1669,134,,,,,,
2020-05-08,Philippines,Calabarzon,60,1705,135,,,,,,
2020-05-09,Philippines,Calabarzon,61,1818,137,,,,,,
2020-05-10,Philippines,Calabarzon,62,1824,137,,,,,,
2020-05-11,Philippines,Calabarzon,63,1846,139,,,,,,
2020-05-12,Philippines,Calabarzon,64,1866,140,,,,,,
2020-05-13,Philippines,Calabarzon,65,1882,143,,,,,,
2020-05-14,Philippines,Calabarzon,66,1891,143,,,,,,
2020-05-15,Philippines,Calabarzon,67,1909,145,,,,,,
2020-05-16,Philippines,Calabarzon,68,1915,146,,,,,,
2020-05-17,Philippines,Calabarzon,69,1929,148,,,,,,
