date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-04-25,Philippines,Caraga,-64,11,0,,,,,,
2020-04-26,Philippines,Caraga,-63,11,0,,,,,,
2020-04-27,Philippines,Caraga,-62,11,0,,,,,,
2020-04-28,Philippines,Caraga,-61,11,0,,,,,,
2020-04-29,Philippines,Caraga,-60,11,0,,,,,,
2020-04-30,Philippines,Caraga,-59,11,0,,,,,,
2020-05-01,Philippines,Caraga,-58,12,0,,,,,,
2020-05-02,Philippines,Caraga,-57,12,0,,,,,,
2020-05-03,Philippines,Caraga,-56,12,0,,,,,,
2020-05-04,Philippines,Caraga,-55,12,0,,,,,,
2020-05-05,Philippines,Caraga,-54,12,0,,,,,,
2020-05-06,Philippines,Caraga,-53,12,0,,,,,,
2020-05-07,Philippines,Caraga,-52,12,0,,,,,,
2020-05-08,Philippines,Caraga,-51,12,0,,,,,,
2020-05-09,Philippines,Caraga,-50,12,0,,,,,,
2020-05-10,Philippines,Caraga,-49,13,0,,,,,,
2020-05-11,Philippines,Caraga,-48,18,0,,,,,,
2020-05-12,Philippines,Caraga,-47,19,0,,,,,,
2020-05-13,Philippines,Caraga,-46,19,0,,,,,,
2020-05-14,Philippines,Caraga,-45,19,0,,,,,,
2020-05-15,Philippines,Caraga,-44,19,0,,,,,,
2020-05-16,Philippines,Caraga,-43,19,0,,,,,,
2020-05-17,Philippines,Caraga,-42,19,0,,,,,,
2020-05-18,Philippines,Caraga,-41,19,0,,,,,,
2020-05-19,Philippines,Caraga,-40,20,0,,,,,,
2020-05-20,Philippines,Caraga,-39,22,0,,,,,,
2020-05-21,Philippines,Caraga,-38,22,0,,,,,,
2020-05-22,Philippines,Caraga,-37,22,0,,,,,,
2020-05-23,Philippines,Caraga,-36,23,0,,,,,,
2020-05-24,Philippines,Caraga,-35,23,0,,,,,,
2020-05-25,Philippines,Caraga,-34,24,0,,,,,,
2020-05-26,Philippines,Caraga,-33,25,0,,,,,,
2020-05-27,Philippines,Caraga,-32,25,0,,,,,,
2020-05-28,Philippines,Caraga,-31,25,0,,,,,,
2020-05-29,Philippines,Caraga,-30,26,0,,,,,,
2020-05-30,Philippines,Caraga,-29,26,0,,,,,,
2020-05-31,Philippines,Caraga,-28,27,0,,,,,,
2020-06-01,Philippines,Caraga,-27,27,0,,,,,,
2020-06-02,Philippines,Caraga,-26,28,0,,,,,,
2020-06-03,Philippines,Caraga,-25,29,0,,,,,,
2020-06-04,Philippines,Caraga,-24,29,0,,,,,,
2020-06-05,Philippines,Caraga,-23,29,0,,,,,,
2020-06-06,Philippines,Caraga,-22,29,0,,,,,,
2020-06-07,Philippines,Caraga,-21,29,0,,,,,,
2020-06-08,Philippines,Caraga,-20,30,0,,,,,,
2020-06-09,Philippines,Caraga,-19,31,0,,,,,,
2020-06-10,Philippines,Caraga,-18,37,0,,,,,,
2020-06-11,Philippines,Caraga,-17,41,0,,,,,,
2020-06-12,Philippines,Caraga,-16,43,0,,,,,,
2020-06-13,Philippines,Caraga,-15,45,0,,,,,,
2020-06-14,Philippines,Caraga,-14,47,0,,,,,,
2020-06-15,Philippines,Caraga,-13,50,0,,,,,,
2020-06-16,Philippines,Caraga,-12,55,0,,,,,,
2020-06-17,Philippines,Caraga,-11,60,0,,,,,,
2020-06-18,Philippines,Caraga,-10,61,0,,,,,,
2020-06-19,Philippines,Caraga,-9,63,0,,,,,,
2020-06-20,Philippines,Caraga,-8,64,0,,,,,,
2020-06-21,Philippines,Caraga,-7,65,0,,,,,,
2020-06-22,Philippines,Caraga,-6,67,0,,,,,,
2020-06-23,Philippines,Caraga,-5,71,0,,,,,,
2020-06-24,Philippines,Caraga,-4,90,0,,,,,,
2020-06-25,Philippines,Caraga,-3,91,0,,,,,,
2020-06-26,Philippines,Caraga,-2,92,0,,,,,,
2020-06-27,Philippines,Caraga,-1,93,0,,,,,,
2020-06-28,Philippines,Caraga,0,100,0,,,,,,
2020-06-29,Philippines,Caraga,1,108,0,,,,,,
2020-06-30,Philippines,Caraga,2,115,0,,,,,,
2020-07-01,Philippines,Caraga,3,121,0,,,,,,
2020-07-02,Philippines,Caraga,4,123,0,,,,,,
2020-07-03,Philippines,Caraga,5,124,0,,,,,,
2020-07-04,Philippines,Caraga,6,126,0,,,,,,
2020-07-05,Philippines,Caraga,7,128,0,,,,,,
2020-07-06,Philippines,Caraga,8,131,0,,,,,,
2020-07-07,Philippines,Caraga,9,132,0,,,,,,
2020-07-08,Philippines,Caraga,10,133,0,,,,,,
2020-07-09,Philippines,Caraga,11,137,0,,,,,,
2020-07-10,Philippines,Caraga,12,141,0,,,,,,
2020-07-11,Philippines,Caraga,13,143,0,,,,,,
2020-07-12,Philippines,Caraga,14,146,0,,,,,,
2020-07-13,Philippines,Caraga,15,151,0,,,,,,
2020-07-14,Philippines,Caraga,16,155,0,,,,,,
2020-07-15,Philippines,Caraga,17,170,0,,,,,,
2020-07-16,Philippines,Caraga,18,180,0,,,,,,
2020-07-17,Philippines,Caraga,19,184,0,,,,,,
2020-07-18,Philippines,Caraga,20,185,0,,,,,,
2020-07-19,Philippines,Caraga,21,185,0,,,,,,
2020-07-20,Philippines,Caraga,22,212,0,,,,,,
2020-07-21,Philippines,Caraga,23,216,0,,,,,,
2020-07-22,Philippines,Caraga,24,242,0,,,,,,
2020-07-23,Philippines,Caraga,25,245,0,,,,,,
2020-07-24,Philippines,Caraga,26,249,0,,,,,,
2020-07-25,Philippines,Caraga,27,251,0,,,,,,
2020-07-26,Philippines,Caraga,28,266,0,,,,,,
2020-07-27,Philippines,Caraga,29,282,0,,,,,,
2020-07-28,Philippines,Caraga,30,287,0,,,,,,
2020-07-29,Philippines,Caraga,31,303,0,,,,,,
2020-07-30,Philippines,Caraga,32,306,0,,,,,,
2020-07-31,Philippines,Caraga,33,309,0,,,,,,
2020-08-01,Philippines,Caraga,34,313,0,,,,,,
2020-08-02,Philippines,Caraga,35,314,0,,,,,,
2020-08-03,Philippines,Caraga,36,329,0,,,,,,
2020-08-04,Philippines,Caraga,37,333,0,,,,,,
2020-08-05,Philippines,Caraga,38,345,0,,,,,,
2020-08-06,Philippines,Caraga,39,350,0,,,,,,
2020-08-07,Philippines,Caraga,40,357,0,,,,,,
2020-08-08,Philippines,Caraga,41,359,0,,,,,,
2020-08-09,Philippines,Caraga,42,361,0,,,,,,
2020-08-10,Philippines,Caraga,43,371,0,,,,,,
2020-08-11,Philippines,Caraga,44,376,1,,,,,,
2020-08-12,Philippines,Caraga,45,387,1,,,,,,
2020-08-13,Philippines,Caraga,46,397,1,,,,,,
2020-08-14,Philippines,Caraga,47,400,2,,,,,,
2020-08-15,Philippines,Caraga,48,403,2,,,,,,
2020-08-16,Philippines,Caraga,49,403,2,,,,,,
2020-08-17,Philippines,Caraga,50,430,2,,,,,,
2020-08-18,Philippines,Caraga,51,432,2,,,,,,
2020-08-19,Philippines,Caraga,52,466,2,,,,,,
2020-08-20,Philippines,Caraga,53,474,3,,,,,,
2020-08-21,Philippines,Caraga,54,480,3,,,,,,
2020-08-22,Philippines,Caraga,55,484,3,,,,,,
2020-08-23,Philippines,Caraga,56,493,3,,,,,,
2020-08-24,Philippines,Caraga,57,520,4,,,,,,
2020-08-25,Philippines,Caraga,58,536,5,,,,,,
2020-08-26,Philippines,Caraga,59,555,5,,,,,,
2020-08-27,Philippines,Caraga,60,560,8,,,,,,
2020-08-28,Philippines,Caraga,61,563,8,,,,,,
2020-08-29,Philippines,Caraga,62,572,8,,,,,,
2020-08-30,Philippines,Caraga,63,587,10,,,,,,
2020-08-31,Philippines,Caraga,64,611,10,,,,,,
2020-09-01,Philippines,Caraga,65,636,10,,,,,,
2020-09-02,Philippines,Caraga,66,671,13,,,,,,
2020-09-03,Philippines,Caraga,67,704,14,,,,,,
2020-09-04,Philippines,Caraga,68,712,14,,,,,,
2020-09-05,Philippines,Caraga,69,717,14,,,,,,
2020-09-06,Philippines,Caraga,70,731,15,,,,,,
2020-09-07,Philippines,Caraga,71,799,19,,,,,,
2020-09-08,Philippines,Caraga,72,829,19,,,,,,
2020-09-09,Philippines,Caraga,73,887,19,,,,,,
2020-09-10,Philippines,Caraga,74,916,19,,,,,,
2020-09-11,Philippines,Caraga,75,923,19,,,,,,
2020-09-12,Philippines,Caraga,76,929,19,,,,,,
2020-09-13,Philippines,Caraga,77,954,19,,,,,,
2020-09-14,Philippines,Caraga,78,1012,19,,,,,,
2020-09-15,Philippines,Caraga,79,1042,20,,,,,,
2020-09-16,Philippines,Caraga,80,1095,25,,,,,,
2020-09-17,Philippines,Caraga,81,1124,27,,,,,,
2020-09-18,Philippines,Caraga,82,1149,28,,,,,,
2020-09-19,Philippines,Caraga,83,1161,31,,,,,,
2020-09-20,Philippines,Caraga,84,1178,31,,,,,,
2020-09-21,Philippines,Caraga,85,1252,32,,,,,,
2020-09-22,Philippines,Caraga,86,1288,35,,,,,,
2020-09-23,Philippines,Caraga,87,1344,36,,,,,,
2020-09-24,Philippines,Caraga,88,1399,36,,,,,,
2020-09-25,Philippines,Caraga,89,1421,38,,,,,,
2020-09-26,Philippines,Caraga,90,1438,42,,,,,,
2020-09-27,Philippines,Caraga,91,1459,43,,,,,,
2020-09-28,Philippines,Caraga,92,1544,45,,,,,,
2020-09-29,Philippines,Caraga,93,1574,45,,,,,,
2020-09-30,Philippines,Caraga,94,1643,48,,,,,,
2020-10-01,Philippines,Caraga,95,1686,57,,,,,,
2020-10-02,Philippines,Caraga,96,1706,58,,,,,,
2020-10-03,Philippines,Caraga,97,1724,61,,,,,,
2020-10-04,Philippines,Caraga,98,1731,66,,,,,,
2020-10-05,Philippines,Caraga,99,1859,68,,,,,,
2020-10-06,Philippines,Caraga,100,1895,71,,,,,,
2020-10-07,Philippines,Caraga,101,2030,74,,,,,,
2020-10-08,Philippines,Caraga,102,2072,76,,,,,,
2020-10-09,Philippines,Caraga,103,2123,80,,,,,,
2020-10-10,Philippines,Caraga,104,2151,83,,,,,,
2020-10-11,Philippines,Caraga,105,2162,86,,,,,,
2020-10-12,Philippines,Caraga,106,2236,90,,,,,,
2020-10-13,Philippines,Caraga,107,2274,91,,,,,,
2020-10-14,Philippines,Caraga,108,2350,94,,,,,,
2020-10-15,Philippines,Caraga,109,2391,96,,,,,,
2020-10-16,Philippines,Caraga,110,2442,96,,,,,,
2020-10-17,Philippines,Caraga,111,2503,96,,,,,,
2020-10-18,Philippines,Caraga,112,2521,99,,,,,,
2020-10-19,Philippines,Caraga,113,2596,103,,,,,,
2020-10-20,Philippines,Caraga,114,2632,105,,,,,,
2020-10-21,Philippines,Caraga,115,2702,107,,,,,,
2020-10-22,Philippines,Caraga,116,2737,109,,,,,,
2020-10-23,Philippines,Caraga,117,2776,114,,,,,,
2020-10-24,Philippines,Caraga,118,2811,115,,,,,,
2020-10-25,Philippines,Caraga,119,2824,117,,,,,,
2020-10-26,Philippines,Caraga,120,2901,118,,,,,,
2020-10-27,Philippines,Caraga,121,2930,120,,,,,,
2020-10-28,Philippines,Caraga,122,2991,120,,,,,,
2020-10-29,Philippines,Caraga,123,3009,120,,,,,,
2020-10-30,Philippines,Caraga,124,3022,121,,,,,,
2020-10-31,Philippines,Caraga,125,3025,122,,,,,,
2020-11-01,Philippines,Caraga,126,3047,124,,,,,,
2020-11-02,Philippines,Caraga,127,3099,124,,,,,,
2020-11-03,Philippines,Caraga,128,3135,126,,,,,,
2020-11-04,Philippines,Caraga,129,3171,129,,,,,,
2020-11-05,Philippines,Caraga,130,3183,130,,,,,,
2020-11-06,Philippines,Caraga,131,3202,133,,,,,,
2020-11-07,Philippines,Caraga,132,3214,133,,,,,,
2020-11-08,Philippines,Caraga,133,3219,133,,,,,,
2020-11-09,Philippines,Caraga,134,3266,136,,,,,,
2020-11-10,Philippines,Caraga,135,3293,138,,,,,,
2020-11-11,Philippines,Caraga,136,3341,141,,,,,,
2020-11-12,Philippines,Caraga,137,3358,141,,,,,,
2020-11-13,Philippines,Caraga,138,3376,142,,,,,,
2020-11-14,Philippines,Caraga,139,3398,142,,,,,,
2020-11-15,Philippines,Caraga,140,3426,144,,,,,,
2020-11-16,Philippines,Caraga,141,3484,144,,,,,,
2020-11-17,Philippines,Caraga,142,3519,144,,,,,,
2020-11-18,Philippines,Caraga,143,3570,147,,,,,,
2020-11-19,Philippines,Caraga,144,3593,148,,,,,,
2020-11-20,Philippines,Caraga,145,3640,150,,,,,,
2020-11-21,Philippines,Caraga,146,3671,150,,,,,,
2020-11-22,Philippines,Caraga,147,3693,152,,,,,,
2020-11-23,Philippines,Caraga,148,3767,154,,,,,,
2020-11-24,Philippines,Caraga,149,3794,154,,,,,,
2020-11-25,Philippines,Caraga,150,3819,154,,,,,,
2020-11-26,Philippines,Caraga,151,3846,154,,,,,,
2020-11-27,Philippines,Caraga,152,3878,154,,,,,,
2020-11-28,Philippines,Caraga,153,3901,154,,,,,,
2020-11-29,Philippines,Caraga,154,3915,154,,,,,,
2020-11-30,Philippines,Caraga,155,3944,156,,,,,,
2020-12-01,Philippines,Caraga,156,3995,158,,,,,,
2020-12-02,Philippines,Caraga,157,4027,160,,,,,,
2020-12-03,Philippines,Caraga,158,4053,162,,,,,,
2020-12-04,Philippines,Caraga,159,4120,165,,,,,,
2020-12-05,Philippines,Caraga,160,4142,166,,,,,,
2020-12-06,Philippines,Caraga,161,4159,166,,,,,,
2020-12-07,Philippines,Caraga,162,4188,166,,,,,,
2020-12-08,Philippines,Caraga,163,4218,168,,,,,,
2020-12-09,Philippines,Caraga,164,4272,168,,,,,,
2020-12-10,Philippines,Caraga,165,4302,168,,,,,,
2020-12-11,Philippines,Caraga,166,4340,169,,,,,,
2020-12-12,Philippines,Caraga,167,4358,171,,,,,,
2020-12-13,Philippines,Caraga,168,4371,171,,,,,,
2020-12-14,Philippines,Caraga,169,4425,171,,,,,,
2020-12-15,Philippines,Caraga,170,4469,174,,,,,,
2020-12-16,Philippines,Caraga,171,4504,174,,,,,,
2020-12-17,Philippines,Caraga,172,4523,177,,,,,,
2020-12-18,Philippines,Caraga,173,4580,179,,,,,,
2020-12-19,Philippines,Caraga,174,4600,180,,,,,,
2020-12-20,Philippines,Caraga,175,4624,181,,,,,,
2020-12-21,Philippines,Caraga,176,4665,184,,,,,,
2020-12-22,Philippines,Caraga,177,4694,184,,,,,,
