date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-11,Philippines,Davao Region,-17,15,0,,,,,,
2020-03-12,Philippines,Davao Region,-16,37,0,,,,,,
2020-03-13,Philippines,Davao Region,-15,40,0,,,,,,
2020-03-14,Philippines,Davao Region,-14,41,0,,,,,,
2020-03-15,Philippines,Davao Region,-13,44,0,,,,,,
2020-03-16,Philippines,Davao Region,-12,47,0,,,,,,
2020-03-17,Philippines,Davao Region,-11,48,0,,,,,,
2020-03-18,Philippines,Davao Region,-10,50,0,,,,,,
2020-03-19,Philippines,Davao Region,-9,53,0,,,,,,
2020-03-20,Philippines,Davao Region,-8,54,0,,,,,,
2020-03-21,Philippines,Davao Region,-7,55,0,,,,,,
2020-03-22,Philippines,Davao Region,-6,59,0,,,,,,
2020-03-23,Philippines,Davao Region,-5,66,2,,,,,,
2020-03-24,Philippines,Davao Region,-4,76,2,,,,,,
2020-03-25,Philippines,Davao Region,-3,83,2,,,,,,
2020-03-26,Philippines,Davao Region,-2,88,3,,,,,,
2020-03-27,Philippines,Davao Region,-1,93,3,,,,,,
2020-03-28,Philippines,Davao Region,0,100,3,,,,,,
2020-03-29,Philippines,Davao Region,1,101,4,,,,,,
2020-03-30,Philippines,Davao Region,2,106,5,,,,,,
2020-03-31,Philippines,Davao Region,3,107,8,,,,,,
2020-04-01,Philippines,Davao Region,4,114,8,,,,,,
2020-04-02,Philippines,Davao Region,5,115,8,,,,,,
2020-04-03,Philippines,Davao Region,6,117,8,,,,,,
2020-04-04,Philippines,Davao Region,7,118,10,,,,,,
2020-04-05,Philippines,Davao Region,8,121,10,,,,,,
2020-04-06,Philippines,Davao Region,9,122,10,,,,,,
2020-04-07,Philippines,Davao Region,10,125,10,,,,,,
2020-04-08,Philippines,Davao Region,11,125,10,,,,,,
2020-04-09,Philippines,Davao Region,12,136,10,,,,,,
2020-04-10,Philippines,Davao Region,13,141,13,,,,,,
2020-04-11,Philippines,Davao Region,14,160,13,,,,,,
2020-04-12,Philippines,Davao Region,15,184,13,,,,,,
2020-04-13,Philippines,Davao Region,16,188,13,,,,,,
2020-04-14,Philippines,Davao Region,17,190,14,,,,,,
2020-04-15,Philippines,Davao Region,18,195,14,,,,,,
2020-04-16,Philippines,Davao Region,19,196,14,,,,,,
2020-04-17,Philippines,Davao Region,20,199,14,,,,,,
2020-04-18,Philippines,Davao Region,21,201,14,,,,,,
2020-04-19,Philippines,Davao Region,22,201,14,,,,,,
2020-04-20,Philippines,Davao Region,23,201,14,,,,,,
2020-04-21,Philippines,Davao Region,24,201,14,,,,,,
2020-04-22,Philippines,Davao Region,25,209,15,,,,,,
2020-04-23,Philippines,Davao Region,26,213,15,,,,,,
2020-04-24,Philippines,Davao Region,27,218,15,,,,,,
2020-04-25,Philippines,Davao Region,28,218,15,,,,,,
2020-04-26,Philippines,Davao Region,29,218,15,,,,,,
2020-04-27,Philippines,Davao Region,30,222,16,,,,,,
2020-04-28,Philippines,Davao Region,31,224,18,,,,,,
2020-04-29,Philippines,Davao Region,32,225,18,,,,,,
2020-04-30,Philippines,Davao Region,33,231,18,,,,,,
2020-05-01,Philippines,Davao Region,34,235,18,,,,,,
2020-05-02,Philippines,Davao Region,35,240,18,,,,,,
2020-05-03,Philippines,Davao Region,36,243,18,,,,,,
2020-05-04,Philippines,Davao Region,37,255,19,,,,,,
2020-05-05,Philippines,Davao Region,38,256,19,,,,,,
2020-05-06,Philippines,Davao Region,39,265,19,,,,,,
2020-05-07,Philippines,Davao Region,40,270,19,,,,,,
2020-05-08,Philippines,Davao Region,41,272,19,,,,,,
2020-05-09,Philippines,Davao Region,42,274,19,,,,,,
2020-05-10,Philippines,Davao Region,43,287,19,,,,,,
2020-05-11,Philippines,Davao Region,44,300,20,,,,,,
2020-05-12,Philippines,Davao Region,45,318,20,,,,,,
2020-05-13,Philippines,Davao Region,46,321,21,,,,,,
2020-05-14,Philippines,Davao Region,47,323,23,,,,,,
2020-05-15,Philippines,Davao Region,48,343,23,,,,,,
2020-05-16,Philippines,Davao Region,49,347,23,,,,,,
2020-05-17,Philippines,Davao Region,50,348,23,,,,,,
2020-05-18,Philippines,Davao Region,51,349,23,,,,,,
2020-05-19,Philippines,Davao Region,52,357,23,,,,,,
2020-05-20,Philippines,Davao Region,53,364,23,,,,,,
2020-05-21,Philippines,Davao Region,54,368,23,,,,,,
2020-05-22,Philippines,Davao Region,55,382,23,,,,,,
2020-05-23,Philippines,Davao Region,56,388,23,,,,,,
2020-05-24,Philippines,Davao Region,57,395,23,,,,,,
2020-05-25,Philippines,Davao Region,58,398,23,,,,,,
2020-05-26,Philippines,Davao Region,59,410,26,,,,,,
2020-05-27,Philippines,Davao Region,60,438,26,,,,,,
2020-05-28,Philippines,Davao Region,61,455,27,,,,,,
2020-05-29,Philippines,Davao Region,62,461,27,,,,,,
2020-05-30,Philippines,Davao Region,63,466,27,,,,,,
2020-05-31,Philippines,Davao Region,64,470,27,,,,,,
2020-06-01,Philippines,Davao Region,65,474,27,,,,,,
2020-06-02,Philippines,Davao Region,66,478,27,,,,,,
2020-06-03,Philippines,Davao Region,67,484,27,,,,,,
2020-06-04,Philippines,Davao Region,68,485,27,,,,,,
2020-06-05,Philippines,Davao Region,69,486,28,,,,,,
2020-06-06,Philippines,Davao Region,70,488,28,,,,,,
2020-06-07,Philippines,Davao Region,71,489,28,,,,,,
2020-06-08,Philippines,Davao Region,72,496,28,,,,,,
2020-06-09,Philippines,Davao Region,73,525,28,,,,,,
2020-06-10,Philippines,Davao Region,74,536,28,,,,,,
2020-06-11,Philippines,Davao Region,75,559,28,,,,,,
2020-06-12,Philippines,Davao Region,76,565,28,,,,,,
2020-06-13,Philippines,Davao Region,77,571,28,,,,,,
2020-06-14,Philippines,Davao Region,78,573,28,,,,,,
2020-06-15,Philippines,Davao Region,79,578,28,,,,,,
2020-06-16,Philippines,Davao Region,80,583,28,,,,,,
2020-06-17,Philippines,Davao Region,81,592,28,,,,,,
2020-06-18,Philippines,Davao Region,82,607,28,,,,,,
2020-06-19,Philippines,Davao Region,83,610,28,,,,,,
2020-06-20,Philippines,Davao Region,84,612,28,,,,,,
2020-06-21,Philippines,Davao Region,85,612,28,,,,,,
2020-06-22,Philippines,Davao Region,86,629,28,,,,,,
2020-06-23,Philippines,Davao Region,87,634,28,,,,,,
2020-06-24,Philippines,Davao Region,88,643,28,,,,,,
2020-06-25,Philippines,Davao Region,89,655,28,,,,,,
2020-06-26,Philippines,Davao Region,90,670,28,,,,,,
2020-06-27,Philippines,Davao Region,91,676,28,,,,,,
2020-06-28,Philippines,Davao Region,92,679,31,,,,,,
2020-06-29,Philippines,Davao Region,93,707,31,,,,,,
2020-06-30,Philippines,Davao Region,94,723,31,,,,,,
2020-07-01,Philippines,Davao Region,95,734,31,,,,,,
2020-07-02,Philippines,Davao Region,96,747,31,,,,,,
2020-07-03,Philippines,Davao Region,97,763,31,,,,,,
2020-07-04,Philippines,Davao Region,98,769,31,,,,,,
2020-07-05,Philippines,Davao Region,99,779,31,,,,,,
2020-07-06,Philippines,Davao Region,100,815,31,,,,,,
2020-07-07,Philippines,Davao Region,101,854,31,,,,,,
2020-07-08,Philippines,Davao Region,102,865,31,,,,,,
2020-07-09,Philippines,Davao Region,103,885,31,,,,,,
2020-07-10,Philippines,Davao Region,104,929,32,,,,,,
2020-07-11,Philippines,Davao Region,105,947,33,,,,,,
2020-07-12,Philippines,Davao Region,106,999,35,,,,,,
2020-07-13,Philippines,Davao Region,107,1023,38,,,,,,
2020-07-14,Philippines,Davao Region,108,1055,38,,,,,,
2020-07-15,Philippines,Davao Region,109,1099,41,,,,,,
2020-07-16,Philippines,Davao Region,110,1129,41,,,,,,
2020-07-17,Philippines,Davao Region,111,1148,41,,,,,,
2020-07-18,Philippines,Davao Region,112,1154,41,,,,,,
2020-07-19,Philippines,Davao Region,113,1161,41,,,,,,
2020-07-20,Philippines,Davao Region,114,1197,41,,,,,,
2020-07-21,Philippines,Davao Region,115,1239,41,,,,,,
2020-07-22,Philippines,Davao Region,116,1279,42,,,,,,
2020-07-23,Philippines,Davao Region,117,1299,43,,,,,,
2020-07-24,Philippines,Davao Region,118,1346,43,,,,,,
2020-07-25,Philippines,Davao Region,119,1369,43,,,,,,
2020-07-26,Philippines,Davao Region,120,1379,44,,,,,,
2020-07-27,Philippines,Davao Region,121,1447,45,,,,,,
2020-07-28,Philippines,Davao Region,122,1478,45,,,,,,
2020-07-29,Philippines,Davao Region,123,1514,45,,,,,,
2020-07-30,Philippines,Davao Region,124,1543,46,,,,,,
2020-07-31,Philippines,Davao Region,125,1560,47,,,,,,
2020-08-01,Philippines,Davao Region,126,1571,47,,,,,,
2020-08-02,Philippines,Davao Region,127,1584,52,,,,,,
2020-08-03,Philippines,Davao Region,128,1627,52,,,,,,
2020-08-04,Philippines,Davao Region,129,1669,52,,,,,,
2020-08-05,Philippines,Davao Region,130,1702,52,,,,,,
2020-08-06,Philippines,Davao Region,131,1735,52,,,,,,
2020-08-07,Philippines,Davao Region,132,1795,52,,,,,,
2020-08-08,Philippines,Davao Region,133,1813,52,,,,,,
2020-08-09,Philippines,Davao Region,134,1823,52,,,,,,
2020-08-10,Philippines,Davao Region,135,1888,52,,,,,,
2020-08-11,Philippines,Davao Region,136,1919,52,,,,,,
2020-08-12,Philippines,Davao Region,137,1974,52,,,,,,
2020-08-13,Philippines,Davao Region,138,1996,53,,,,,,
2020-08-14,Philippines,Davao Region,139,2056,55,,,,,,
2020-08-15,Philippines,Davao Region,140,2069,56,,,,,,
2020-08-16,Philippines,Davao Region,141,2077,56,,,,,,
2020-08-17,Philippines,Davao Region,142,2104,56,,,,,,
2020-08-18,Philippines,Davao Region,143,2133,57,,,,,,
2020-08-19,Philippines,Davao Region,144,2165,57,,,,,,
2020-08-20,Philippines,Davao Region,145,2189,57,,,,,,
2020-08-21,Philippines,Davao Region,146,2205,57,,,,,,
2020-08-22,Philippines,Davao Region,147,2233,58,,,,,,
2020-08-23,Philippines,Davao Region,148,2241,58,,,,,,
2020-08-24,Philippines,Davao Region,149,2262,60,,,,,,
2020-08-25,Philippines,Davao Region,150,2316,60,,,,,,
2020-08-26,Philippines,Davao Region,151,2353,61,,,,,,
2020-08-27,Philippines,Davao Region,152,2389,61,,,,,,
2020-08-28,Philippines,Davao Region,153,2415,61,,,,,,
2020-08-29,Philippines,Davao Region,154,2433,61,,,,,,
2020-08-30,Philippines,Davao Region,155,2446,61,,,,,,
2020-08-31,Philippines,Davao Region,156,2462,61,,,,,,
2020-09-01,Philippines,Davao Region,157,2492,61,,,,,,
2020-09-02,Philippines,Davao Region,158,2522,61,,,,,,
2020-09-03,Philippines,Davao Region,159,2555,61,,,,,,
2020-09-04,Philippines,Davao Region,160,2587,61,,,,,,
2020-09-05,Philippines,Davao Region,161,2608,62,,,,,,
2020-09-06,Philippines,Davao Region,162,2612,62,,,,,,
2020-09-07,Philippines,Davao Region,163,2636,62,,,,,,
2020-09-08,Philippines,Davao Region,164,2651,65,,,,,,
2020-09-09,Philippines,Davao Region,165,2690,68,,,,,,
2020-09-10,Philippines,Davao Region,166,2731,68,,,,,,
2020-09-11,Philippines,Davao Region,167,2768,68,,,,,,
2020-09-12,Philippines,Davao Region,168,2798,68,,,,,,
2020-09-13,Philippines,Davao Region,169,2812,68,,,,,,
2020-09-14,Philippines,Davao Region,170,2841,68,,,,,,
2020-09-15,Philippines,Davao Region,171,2876,70,,,,,,
2020-09-16,Philippines,Davao Region,172,2920,70,,,,,,
2020-09-17,Philippines,Davao Region,173,2962,70,,,,,,
2020-09-18,Philippines,Davao Region,174,3000,70,,,,,,
2020-09-19,Philippines,Davao Region,175,3019,71,,,,,,
2020-09-20,Philippines,Davao Region,176,3037,71,,,,,,
2020-09-21,Philippines,Davao Region,177,3103,72,,,,,,
2020-09-22,Philippines,Davao Region,178,3154,75,,,,,,
2020-09-23,Philippines,Davao Region,179,3212,77,,,,,,
2020-09-24,Philippines,Davao Region,180,3261,80,,,,,,
2020-09-25,Philippines,Davao Region,181,3327,83,,,,,,
2020-09-26,Philippines,Davao Region,182,3344,83,,,,,,
2020-09-27,Philippines,Davao Region,183,3366,83,,,,,,
2020-09-28,Philippines,Davao Region,184,3430,84,,,,,,
2020-09-29,Philippines,Davao Region,185,3480,84,,,,,,
2020-09-30,Philippines,Davao Region,186,3525,87,,,,,,
2020-10-01,Philippines,Davao Region,187,3621,89,,,,,,
2020-10-02,Philippines,Davao Region,188,3667,90,,,,,,
2020-10-03,Philippines,Davao Region,189,3690,90,,,,,,
2020-10-04,Philippines,Davao Region,190,3711,91,,,,,,
2020-10-05,Philippines,Davao Region,191,3763,91,,,,,,
2020-10-06,Philippines,Davao Region,192,3805,94,,,,,,
2020-10-07,Philippines,Davao Region,193,3860,98,,,,,,
2020-10-08,Philippines,Davao Region,194,3957,99,,,,,,
2020-10-09,Philippines,Davao Region,195,4022,104,,,,,,
2020-10-10,Philippines,Davao Region,196,4063,105,,,,,,
2020-10-11,Philippines,Davao Region,197,4088,107,,,,,,
2020-10-12,Philippines,Davao Region,198,4182,113,,,,,,
2020-10-13,Philippines,Davao Region,199,4257,117,,,,,,
2020-10-14,Philippines,Davao Region,200,4370,117,,,,,,
2020-10-15,Philippines,Davao Region,201,4410,117,,,,,,
2020-10-16,Philippines,Davao Region,202,4473,121,,,,,,
2020-10-17,Philippines,Davao Region,203,4525,122,,,,,,
2020-10-18,Philippines,Davao Region,204,4543,124,,,,,,
2020-10-19,Philippines,Davao Region,205,4676,124,,,,,,
2020-10-20,Philippines,Davao Region,206,4806,130,,,,,,
2020-10-21,Philippines,Davao Region,207,4914,132,,,,,,
2020-10-22,Philippines,Davao Region,208,5042,136,,,,,,
2020-10-23,Philippines,Davao Region,209,5191,136,,,,,,
2020-10-24,Philippines,Davao Region,210,5250,139,,,,,,
2020-10-25,Philippines,Davao Region,211,5276,142,,,,,,
2020-10-26,Philippines,Davao Region,212,5408,148,,,,,,
2020-10-27,Philippines,Davao Region,213,5517,152,,,,,,
2020-10-28,Philippines,Davao Region,214,5719,156,,,,,,
2020-10-29,Philippines,Davao Region,215,5892,156,,,,,,
2020-10-30,Philippines,Davao Region,216,6072,160,,,,,,
2020-10-31,Philippines,Davao Region,217,6143,165,,,,,,
2020-11-01,Philippines,Davao Region,218,6188,168,,,,,,
2020-11-02,Philippines,Davao Region,219,6315,168,,,,,,
2020-11-03,Philippines,Davao Region,220,6505,173,,,,,,
2020-11-04,Philippines,Davao Region,221,6674,177,,,,,,
2020-11-05,Philippines,Davao Region,222,6789,179,,,,,,
2020-11-06,Philippines,Davao Region,223,7082,179,,,,,,
2020-11-07,Philippines,Davao Region,224,7170,182,,,,,,
2020-11-08,Philippines,Davao Region,225,7226,186,,,,,,
2020-11-09,Philippines,Davao Region,226,7409,189,,,,,,
2020-11-10,Philippines,Davao Region,227,7530,198,,,,,,
2020-11-11,Philippines,Davao Region,228,7637,200,,,,,,
2020-11-12,Philippines,Davao Region,229,7739,200,,,,,,
2020-11-13,Philippines,Davao Region,230,7871,203,,,,,,
2020-11-14,Philippines,Davao Region,231,7954,208,,,,,,
2020-11-15,Philippines,Davao Region,232,7988,213,,,,,,
2020-11-16,Philippines,Davao Region,233,8157,221,,,,,,
2020-11-17,Philippines,Davao Region,234,8333,223,,,,,,
2020-11-18,Philippines,Davao Region,235,8483,228,,,,,,
2020-11-19,Philippines,Davao Region,236,8637,234,,,,,,
2020-11-20,Philippines,Davao Region,237,8804,239,,,,,,
2020-11-21,Philippines,Davao Region,238,8905,243,,,,,,
2020-11-22,Philippines,Davao Region,239,8940,248,,,,,,
2020-11-23,Philippines,Davao Region,240,9100,252,,,,,,
2020-11-24,Philippines,Davao Region,241,9314,254,,,,,,
2020-11-25,Philippines,Davao Region,242,9455,255,,,,,,
2020-11-26,Philippines,Davao Region,243,9581,257,,,,,,
2020-11-27,Philippines,Davao Region,244,9694,259,,,,,,
2020-11-28,Philippines,Davao Region,245,9754,261,,,,,,
2020-11-29,Philippines,Davao Region,246,9782,264,,,,,,
2020-11-30,Philippines,Davao Region,247,9835,269,,,,,,
2020-12-01,Philippines,Davao Region,248,10043,275,,,,,,
2020-12-02,Philippines,Davao Region,249,10231,278,,,,,,
2020-12-03,Philippines,Davao Region,250,10439,281,,,,,,
2020-12-04,Philippines,Davao Region,251,10662,283,,,,,,
2020-12-05,Philippines,Davao Region,252,10714,285,,,,,,
2020-12-06,Philippines,Davao Region,253,10737,285,,,,,,
2020-12-07,Philippines,Davao Region,254,10886,285,,,,,,
2020-12-08,Philippines,Davao Region,255,10933,285,,,,,,
2020-12-09,Philippines,Davao Region,256,10983,286,,,,,,
2020-12-10,Philippines,Davao Region,257,11012,286,,,,,,
2020-12-11,Philippines,Davao Region,258,11017,286,,,,,,
2020-12-12,Philippines,Davao Region,259,11020,286,,,,,,
2020-12-13,Philippines,Davao Region,260,11021,286,,,,,,
