date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-16,Philippines,Ilocos Region,-78,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Philippines,Ilocos Region,-77,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,Philippines,Ilocos Region,-76,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,Philippines,Ilocos Region,-75,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,Philippines,Ilocos Region,-74,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,Philippines,Ilocos Region,-73,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,Philippines,Ilocos Region,-72,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,Philippines,Ilocos Region,-71,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,Philippines,Ilocos Region,-70,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,Philippines,Ilocos Region,-69,24.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,Philippines,Ilocos Region,-68,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,Philippines,Ilocos Region,-67,36.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,Philippines,Ilocos Region,-66,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,Philippines,Ilocos Region,-65,38.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,Philippines,Ilocos Region,-64,39.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,Philippines,Ilocos Region,-63,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Philippines,Ilocos Region,-62,43.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,Philippines,Ilocos Region,-61,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,Philippines,Ilocos Region,-60,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,Philippines,Ilocos Region,-59,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-05,Philippines,Ilocos Region,-58,45.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,Philippines,Ilocos Region,-57,48.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
