date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2020-03-19,Philippines,Zamboanga Peninsula,-50,11,0,,,,,,
2020-03-20,Philippines,Zamboanga Peninsula,-49,13,0,,,,,,
2020-03-21,Philippines,Zamboanga Peninsula,-48,13,0,,,,,,
2020-03-22,Philippines,Zamboanga Peninsula,-47,13,0,,,,,,
2020-03-23,Philippines,Zamboanga Peninsula,-46,14,0,,,,,,
2020-03-24,Philippines,Zamboanga Peninsula,-45,14,0,,,,,,
2020-03-25,Philippines,Zamboanga Peninsula,-44,14,0,,,,,,
2020-03-26,Philippines,Zamboanga Peninsula,-43,14,0,,,,,,
2020-03-27,Philippines,Zamboanga Peninsula,-42,15,0,,,,,,
2020-03-28,Philippines,Zamboanga Peninsula,-41,15,0,,,,,,
2020-03-29,Philippines,Zamboanga Peninsula,-40,15,0,,,,,,
2020-03-30,Philippines,Zamboanga Peninsula,-39,15,0,,,,,,
2020-03-31,Philippines,Zamboanga Peninsula,-38,15,0,,,,,,
2020-04-01,Philippines,Zamboanga Peninsula,-37,15,0,,,,,,
2020-04-02,Philippines,Zamboanga Peninsula,-36,16,0,,,,,,
2020-04-03,Philippines,Zamboanga Peninsula,-35,18,0,,,,,,
2020-04-04,Philippines,Zamboanga Peninsula,-34,18,0,,,,,,
2020-04-05,Philippines,Zamboanga Peninsula,-33,18,0,,,,,,
2020-04-06,Philippines,Zamboanga Peninsula,-32,18,0,,,,,,
2020-04-07,Philippines,Zamboanga Peninsula,-31,18,0,,,,,,
2020-04-08,Philippines,Zamboanga Peninsula,-30,18,0,,,,,,
2020-04-09,Philippines,Zamboanga Peninsula,-29,19,0,,,,,,
2020-04-10,Philippines,Zamboanga Peninsula,-28,20,0,,,,,,
2020-04-11,Philippines,Zamboanga Peninsula,-27,24,0,,,,,,
2020-04-12,Philippines,Zamboanga Peninsula,-26,27,0,,,,,,
2020-04-13,Philippines,Zamboanga Peninsula,-25,27,0,,,,,,
2020-04-14,Philippines,Zamboanga Peninsula,-24,27,0,,,,,,
2020-04-15,Philippines,Zamboanga Peninsula,-23,28,0,,,,,,
2020-04-16,Philippines,Zamboanga Peninsula,-22,28,0,,,,,,
2020-04-17,Philippines,Zamboanga Peninsula,-21,28,0,,,,,,
2020-04-18,Philippines,Zamboanga Peninsula,-20,28,0,,,,,,
2020-04-19,Philippines,Zamboanga Peninsula,-19,29,0,,,,,,
2020-04-20,Philippines,Zamboanga Peninsula,-18,30,0,,,,,,
2020-04-21,Philippines,Zamboanga Peninsula,-17,30,1,,,,,,
2020-04-22,Philippines,Zamboanga Peninsula,-16,30,1,,,,,,
2020-04-23,Philippines,Zamboanga Peninsula,-15,30,1,,,,,,
2020-04-24,Philippines,Zamboanga Peninsula,-14,30,1,,,,,,
2020-04-25,Philippines,Zamboanga Peninsula,-13,30,1,,,,,,
2020-04-26,Philippines,Zamboanga Peninsula,-12,31,1,,,,,,
2020-04-27,Philippines,Zamboanga Peninsula,-11,56,1,,,,,,
2020-04-28,Philippines,Zamboanga Peninsula,-10,66,1,,,,,,
2020-04-29,Philippines,Zamboanga Peninsula,-9,77,1,,,,,,
2020-04-30,Philippines,Zamboanga Peninsula,-8,80,2,,,,,,
2020-05-01,Philippines,Zamboanga Peninsula,-7,80,2,,,,,,
2020-05-02,Philippines,Zamboanga Peninsula,-6,81,2,,,,,,
2020-05-03,Philippines,Zamboanga Peninsula,-5,83,2,,,,,,
2020-05-04,Philippines,Zamboanga Peninsula,-4,85,2,,,,,,
2020-05-05,Philippines,Zamboanga Peninsula,-3,87,2,,,,,,
2020-05-06,Philippines,Zamboanga Peninsula,-2,88,2,,,,,,
2020-05-07,Philippines,Zamboanga Peninsula,-1,89,2,,,,,,
2020-05-08,Philippines,Zamboanga Peninsula,0,118,2,,,,,,
2020-05-09,Philippines,Zamboanga Peninsula,1,121,2,,,,,,
2020-05-10,Philippines,Zamboanga Peninsula,2,122,2,,,,,,
2020-05-11,Philippines,Zamboanga Peninsula,3,142,2,,,,,,
2020-05-12,Philippines,Zamboanga Peninsula,4,148,2,,,,,,
2020-05-13,Philippines,Zamboanga Peninsula,5,166,2,,,,,,
2020-05-14,Philippines,Zamboanga Peninsula,6,166,2,,,,,,
2020-05-15,Philippines,Zamboanga Peninsula,7,167,2,,,,,,
2020-05-16,Philippines,Zamboanga Peninsula,8,168,2,,,,,,
2020-05-17,Philippines,Zamboanga Peninsula,9,168,2,,,,,,
2020-05-18,Philippines,Zamboanga Peninsula,10,168,2,,,,,,
2020-05-19,Philippines,Zamboanga Peninsula,11,169,2,,,,,,
2020-05-20,Philippines,Zamboanga Peninsula,12,169,2,,,,,,
2020-05-21,Philippines,Zamboanga Peninsula,13,173,2,,,,,,
2020-05-22,Philippines,Zamboanga Peninsula,14,177,2,,,,,,
2020-05-23,Philippines,Zamboanga Peninsula,15,177,2,,,,,,
2020-05-24,Philippines,Zamboanga Peninsula,16,177,2,,,,,,
2020-05-25,Philippines,Zamboanga Peninsula,17,177,3,,,,,,
2020-05-26,Philippines,Zamboanga Peninsula,18,177,3,,,,,,
2020-05-27,Philippines,Zamboanga Peninsula,19,177,3,,,,,,
2020-05-28,Philippines,Zamboanga Peninsula,20,177,3,,,,,,
2020-05-29,Philippines,Zamboanga Peninsula,21,181,3,,,,,,
2020-05-30,Philippines,Zamboanga Peninsula,22,182,3,,,,,,
2020-05-31,Philippines,Zamboanga Peninsula,23,182,3,,,,,,
2020-06-01,Philippines,Zamboanga Peninsula,24,182,3,,,,,,
2020-06-02,Philippines,Zamboanga Peninsula,25,182,3,,,,,,
2020-06-03,Philippines,Zamboanga Peninsula,26,183,3,,,,,,
2020-06-04,Philippines,Zamboanga Peninsula,27,184,3,,,,,,
2020-06-05,Philippines,Zamboanga Peninsula,28,210,3,,,,,,
2020-06-06,Philippines,Zamboanga Peninsula,29,210,3,,,,,,
2020-06-07,Philippines,Zamboanga Peninsula,30,210,3,,,,,,
2020-06-08,Philippines,Zamboanga Peninsula,31,210,3,,,,,,
2020-06-09,Philippines,Zamboanga Peninsula,32,213,3,,,,,,
2020-06-10,Philippines,Zamboanga Peninsula,33,217,3,,,,,,
2020-06-11,Philippines,Zamboanga Peninsula,34,217,3,,,,,,
2020-06-12,Philippines,Zamboanga Peninsula,35,221,3,,,,,,
2020-06-13,Philippines,Zamboanga Peninsula,36,221,4,,,,,,
2020-06-14,Philippines,Zamboanga Peninsula,37,224,4,,,,,,
2020-06-15,Philippines,Zamboanga Peninsula,38,228,4,,,,,,
2020-06-16,Philippines,Zamboanga Peninsula,39,229,4,,,,,,
2020-06-17,Philippines,Zamboanga Peninsula,40,234,4,,,,,,
2020-06-18,Philippines,Zamboanga Peninsula,41,235,4,,,,,,
2020-06-19,Philippines,Zamboanga Peninsula,42,237,4,,,,,,
2020-06-20,Philippines,Zamboanga Peninsula,43,240,4,,,,,,
2020-06-21,Philippines,Zamboanga Peninsula,44,242,4,,,,,,
2020-06-22,Philippines,Zamboanga Peninsula,45,252,4,,,,,,
2020-06-23,Philippines,Zamboanga Peninsula,46,263,4,,,,,,
2020-06-24,Philippines,Zamboanga Peninsula,47,276,4,,,,,,
2020-06-25,Philippines,Zamboanga Peninsula,48,284,4,,,,,,
2020-06-26,Philippines,Zamboanga Peninsula,49,285,4,,,,,,
2020-06-27,Philippines,Zamboanga Peninsula,50,289,5,,,,,,
2020-06-28,Philippines,Zamboanga Peninsula,51,290,5,,,,,,
2020-06-29,Philippines,Zamboanga Peninsula,52,298,5,,,,,,
2020-06-30,Philippines,Zamboanga Peninsula,53,328,5,,,,,,
2020-07-01,Philippines,Zamboanga Peninsula,54,338,5,,,,,,
2020-07-02,Philippines,Zamboanga Peninsula,55,346,5,,,,,,
2020-07-03,Philippines,Zamboanga Peninsula,56,358,5,,,,,,
2020-07-04,Philippines,Zamboanga Peninsula,57,382,7,,,,,,
2020-07-05,Philippines,Zamboanga Peninsula,58,402,7,,,,,,
2020-07-06,Philippines,Zamboanga Peninsula,59,412,8,,,,,,
2020-07-07,Philippines,Zamboanga Peninsula,60,433,8,,,,,,
2020-07-08,Philippines,Zamboanga Peninsula,61,456,8,,,,,,
2020-07-09,Philippines,Zamboanga Peninsula,62,472,8,,,,,,
2020-07-10,Philippines,Zamboanga Peninsula,63,507,8,,,,,,
2020-07-11,Philippines,Zamboanga Peninsula,64,523,10,,,,,,
2020-07-12,Philippines,Zamboanga Peninsula,65,538,10,,,,,,
2020-07-13,Philippines,Zamboanga Peninsula,66,554,10,,,,,,
2020-07-14,Philippines,Zamboanga Peninsula,67,574,10,,,,,,
2020-07-15,Philippines,Zamboanga Peninsula,68,580,10,,,,,,
2020-07-16,Philippines,Zamboanga Peninsula,69,594,10,,,,,,
2020-07-17,Philippines,Zamboanga Peninsula,70,618,10,,,,,,
2020-07-18,Philippines,Zamboanga Peninsula,71,632,10,,,,,,
2020-07-19,Philippines,Zamboanga Peninsula,72,674,10,,,,,,
2020-07-20,Philippines,Zamboanga Peninsula,73,700,10,,,,,,
2020-07-21,Philippines,Zamboanga Peninsula,74,715,10,,,,,,
2020-07-22,Philippines,Zamboanga Peninsula,75,724,13,,,,,,
2020-07-23,Philippines,Zamboanga Peninsula,76,732,14,,,,,,
2020-07-24,Philippines,Zamboanga Peninsula,77,741,14,,,,,,
2020-07-25,Philippines,Zamboanga Peninsula,78,751,14,,,,,,
2020-07-26,Philippines,Zamboanga Peninsula,79,760,15,,,,,,
2020-07-27,Philippines,Zamboanga Peninsula,80,776,15,,,,,,
2020-07-28,Philippines,Zamboanga Peninsula,81,790,15,,,,,,
2020-07-29,Philippines,Zamboanga Peninsula,82,799,15,,,,,,
2020-07-30,Philippines,Zamboanga Peninsula,83,824,18,,,,,,
2020-07-31,Philippines,Zamboanga Peninsula,84,845,18,,,,,,
2020-08-01,Philippines,Zamboanga Peninsula,85,876,18,,,,,,
2020-08-02,Philippines,Zamboanga Peninsula,86,888,19,,,,,,
2020-08-03,Philippines,Zamboanga Peninsula,87,937,19,,,,,,
2020-08-04,Philippines,Zamboanga Peninsula,88,950,19,,,,,,
2020-08-05,Philippines,Zamboanga Peninsula,89,967,21,,,,,,
2020-08-06,Philippines,Zamboanga Peninsula,90,1001,23,,,,,,
2020-08-07,Philippines,Zamboanga Peninsula,91,1027,27,,,,,,
2020-08-08,Philippines,Zamboanga Peninsula,92,1052,27,,,,,,
2020-08-09,Philippines,Zamboanga Peninsula,93,1066,27,,,,,,
2020-08-10,Philippines,Zamboanga Peninsula,94,1112,27,,,,,,
2020-08-11,Philippines,Zamboanga Peninsula,95,1135,30,,,,,,
2020-08-12,Philippines,Zamboanga Peninsula,96,1181,30,,,,,,
2020-08-13,Philippines,Zamboanga Peninsula,97,1204,31,,,,,,
2020-08-14,Philippines,Zamboanga Peninsula,98,1231,33,,,,,,
2020-08-15,Philippines,Zamboanga Peninsula,99,1265,35,,,,,,
2020-08-16,Philippines,Zamboanga Peninsula,100,1280,35,,,,,,
2020-08-17,Philippines,Zamboanga Peninsula,101,1299,36,,,,,,
2020-08-18,Philippines,Zamboanga Peninsula,102,1315,40,,,,,,
2020-08-19,Philippines,Zamboanga Peninsula,103,1331,40,,,,,,
2020-08-20,Philippines,Zamboanga Peninsula,104,1357,41,,,,,,
2020-08-21,Philippines,Zamboanga Peninsula,105,1384,43,,,,,,
2020-08-22,Philippines,Zamboanga Peninsula,106,1400,44,,,,,,
2020-08-23,Philippines,Zamboanga Peninsula,107,1414,45,,,,,,
2020-08-24,Philippines,Zamboanga Peninsula,108,1447,45,,,,,,
2020-08-25,Philippines,Zamboanga Peninsula,109,1467,46,,,,,,
2020-08-26,Philippines,Zamboanga Peninsula,110,1512,47,,,,,,
2020-08-27,Philippines,Zamboanga Peninsula,111,1535,50,,,,,,
2020-08-28,Philippines,Zamboanga Peninsula,112,1566,52,,,,,,
2020-08-29,Philippines,Zamboanga Peninsula,113,1598,52,,,,,,
2020-08-30,Philippines,Zamboanga Peninsula,114,1609,52,,,,,,
2020-08-31,Philippines,Zamboanga Peninsula,115,1653,52,,,,,,
2020-09-01,Philippines,Zamboanga Peninsula,116,1682,52,,,,,,
2020-09-02,Philippines,Zamboanga Peninsula,117,1704,53,,,,,,
2020-09-03,Philippines,Zamboanga Peninsula,118,1728,56,,,,,,
2020-09-04,Philippines,Zamboanga Peninsula,119,1754,58,,,,,,
2020-09-05,Philippines,Zamboanga Peninsula,120,1773,60,,,,,,
2020-09-06,Philippines,Zamboanga Peninsula,121,1797,61,,,,,,
2020-09-07,Philippines,Zamboanga Peninsula,122,1811,62,,,,,,
2020-09-08,Philippines,Zamboanga Peninsula,123,1828,65,,,,,,
2020-09-09,Philippines,Zamboanga Peninsula,124,1865,66,,,,,,
2020-09-10,Philippines,Zamboanga Peninsula,125,1880,68,,,,,,
2020-09-11,Philippines,Zamboanga Peninsula,126,1899,70,,,,,,
2020-09-12,Philippines,Zamboanga Peninsula,127,1928,71,,,,,,
2020-09-13,Philippines,Zamboanga Peninsula,128,1954,74,,,,,,
2020-09-14,Philippines,Zamboanga Peninsula,129,1987,74,,,,,,
2020-09-15,Philippines,Zamboanga Peninsula,130,2016,74,,,,,,
2020-09-16,Philippines,Zamboanga Peninsula,131,2044,74,,,,,,
2020-09-17,Philippines,Zamboanga Peninsula,132,2079,75,,,,,,
2020-09-18,Philippines,Zamboanga Peninsula,133,2099,75,,,,,,
2020-09-19,Philippines,Zamboanga Peninsula,134,2119,79,,,,,,
2020-09-20,Philippines,Zamboanga Peninsula,135,2141,80,,,,,,
2020-09-21,Philippines,Zamboanga Peninsula,136,2163,81,,,,,,
