date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-02-05,Russia,Bryansk Oblast,0,29926,245,,,,,,
2021-02-06,Russia,Bryansk Oblast,1,30092,245,,,,,,
2021-02-07,Russia,Bryansk Oblast,2,30256,246,,,,,,
2021-02-08,Russia,Bryansk Oblast,3,30421,246,,,,,,
2021-02-09,Russia,Bryansk Oblast,4,30581,247,,,,,,
2021-02-10,Russia,Bryansk Oblast,5,30739,247,,,,,,
2021-02-11,Russia,Bryansk Oblast,6,30894,247,,,,,,
2021-02-12,Russia,Bryansk Oblast,7,31040,248,,,,,,
2021-02-13,Russia,Bryansk Oblast,8,31180,248,,,,,,
2021-02-14,Russia,Bryansk Oblast,9,31318,249,,,,,,
2021-02-15,Russia,Bryansk Oblast,10,31451,249,,,,,,
2021-02-16,Russia,Bryansk Oblast,11,31582,249,,,,,,
2021-02-17,Russia,Bryansk Oblast,12,31714,250,,,,,,
2021-02-18,Russia,Bryansk Oblast,13,31839,250,,,,,,
2021-02-19,Russia,Bryansk Oblast,14,31956,250,,,,,,
2021-02-20,Russia,Bryansk Oblast,15,32067,250,,,,,,
2021-02-21,Russia,Bryansk Oblast,16,32177,250,,,,,,
2021-02-22,Russia,Bryansk Oblast,17,32285,250,,,,,,
2021-02-23,Russia,Bryansk Oblast,18,32388,250,,,,,,
2021-02-24,Russia,Bryansk Oblast,19,32493,252,,,,,,
2021-02-25,Russia,Bryansk Oblast,20,32593,252,,,,,,
2021-02-26,Russia,Bryansk Oblast,21,32696,255,,,,,,
2021-02-27,Russia,Bryansk Oblast,22,32795,255,,,,,,
2021-02-28,Russia,Bryansk Oblast,23,32896,255,,,,,,
2021-03-01,Russia,Bryansk Oblast,24,32993,257,,,,,,
2021-03-02,Russia,Bryansk Oblast,25,33092,257,,,,,,
2021-03-03,Russia,Bryansk Oblast,26,33185,260,,,,,,
