date,country,province,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
2021-01-01,Russia,Chelyabinsk Oblast,0,35008,542,,,,,,
2021-01-02,Russia,Chelyabinsk Oblast,1,35309,547,,,,,,
2021-01-03,Russia,Chelyabinsk Oblast,2,35607,551,,,,,,
2021-01-04,Russia,Chelyabinsk Oblast,3,35906,556,,,,,,
2021-01-05,Russia,Chelyabinsk Oblast,4,36208,560,,,,,,
2021-01-06,Russia,Chelyabinsk Oblast,5,36508,565,,,,,,
2021-01-07,Russia,Chelyabinsk Oblast,6,36806,565,,,,,,
2021-01-08,Russia,Chelyabinsk Oblast,7,37103,574,,,,,,
2021-01-09,Russia,Chelyabinsk Oblast,8,37398,580,,,,,,
2021-01-10,Russia,Chelyabinsk Oblast,9,37692,584,,,,,,
2021-01-11,Russia,Chelyabinsk Oblast,10,37987,595,,,,,,
2021-01-12,Russia,Chelyabinsk Oblast,11,38278,604,,,,,,
2021-01-13,Russia,Chelyabinsk Oblast,12,38567,614,,,,,,
2021-01-14,Russia,Chelyabinsk Oblast,13,38859,625,,,,,,
2021-01-15,Russia,Chelyabinsk Oblast,14,39152,634,,,,,,
2021-01-16,Russia,Chelyabinsk Oblast,15,39447,642,,,,,,
2021-01-17,Russia,Chelyabinsk Oblast,16,39748,650,,,,,,
2021-01-18,Russia,Chelyabinsk Oblast,17,40051,660,,,,,,
2021-01-19,Russia,Chelyabinsk Oblast,18,40353,669,,,,,,
2021-01-20,Russia,Chelyabinsk Oblast,19,40652,675,,,,,,
2021-01-21,Russia,Chelyabinsk Oblast,20,40949,685,,,,,,
2021-01-22,Russia,Chelyabinsk Oblast,21,41243,696,,,,,,
2021-01-23,Russia,Chelyabinsk Oblast,22,41536,706,,,,,,
2021-01-24,Russia,Chelyabinsk Oblast,23,41827,716,,,,,,
2021-01-25,Russia,Chelyabinsk Oblast,24,42119,726,,,,,,
2021-01-26,Russia,Chelyabinsk Oblast,25,42408,736,,,,,,
2021-01-27,Russia,Chelyabinsk Oblast,26,42695,746,,,,,,
2021-01-28,Russia,Chelyabinsk Oblast,27,42980,756,,,,,,
2021-01-29,Russia,Chelyabinsk Oblast,28,43262,766,,,,,,
